RE_PV_Openfield_Lim_[MEX],RE_WIND_Onshore_Lim_[MEX],BESSch_[MEX],BESSdisch_[MEX],PP_CO2_[MEX],PP_CO2_Existing_[MEX],EL_Demand_[MEX]
6.232975094354014,2.486688335016594,20.80034004975097,18.983501292793214,0.0,0.0,24.6446669
0.18159773830714918,2.585834813342494,17.641511188035437,20.346610363431417,0.0,0.0,23.8957202
0.0,2.52524595575606,17.63753654712343,20.219765127931403,0.0,0.0,23.1738763
0.0,2.410026973377417,17.6760354521824,20.117707640402244,0.0,0.0,22.5122237
0.0,2.2960412660533787,17.694299940498688,20.106307623400124,0.0,0.0,21.9715276
0.0,2.196164101568602,17.687211418156977,20.16136685133321,0.0,0.0,21.6978045
0.0,2.126007688428808,17.687031743732046,20.22244266031606,0.0,0.0,21.5315602
0.0,2.0109265305380903,17.72897180806349,20.2383037405499,0.0,0.0,20.9700946
0.0,1.859045152506955,17.714183315551768,20.35222056749682,0.0,0.0,20.8797037
0.0,1.7877054061907114,17.6775131535456,20.527261655969607,0.0,0.0,21.3931379
0.0,1.3687472423290565,17.52146989882746,20.925041774158142,0.0,0.0,22.0326325
0.0,1.4405554359145007,17.599574104846855,21.05489242018405,0.0,0.0,22.5592635
0.0,1.461189382037499,17.74735743888838,21.196531495695073,0.0,0.0,22.7843043
0.0,1.5398698548130365,18.008825220577997,21.368368222077564,0.0,0.0,23.0321202
1.2444583226853971,1.5929505234006307,19.062839458696487,20.86401152589931,0.0,0.0,22.9332566
6.973654596874785,1.732595084579126,23.177833353840963,18.340629400246822,0.0,0.0,23.1192155
14.60161093729592,1.6185197837900454,28.26857682779169,16.16204632264439,0.0,0.0,23.4132785
20.8304687272981,1.5879175142662678,31.339843649075345,15.061695149539947,0.0,0.0,24.071908
24.92897417993275,1.8918375683749997,32.76147292216532,14.599131355714444,0.0,0.0,26.9259066
26.599656720674297,2.1720615976591198,33.272585647039996,14.433714364983825,0.0,0.0,28.5218206
24.878610392146967,2.3817783626745457,32.735323311729275,14.625724801023155,0.0,0.0,28.6278281
21.66448768096497,2.457840547574048,31.561836016544806,15.012251766539704,0.0,0.0,28.1410631
16.71463516002104,2.1384720741922343,29.200775373065905,15.839721908093978,0.0,0.0,26.9572724
10.522945725901817,2.252425401064291,25.565051166748376,17.192557501922533,0.0,0.0,25.5794545
6.704120550645757,2.5713463348347103,21.832303128811525,18.51384853582126,0.0,0.0,29.8070156
0.612740882375032,2.4147023382810646,17.84570917513937,21.35386006627926,0.0,0.0,28.5855657
0.0,2.065182959251593,17.168521004775233,21.533347744504454,0.0,0.0,27.7066029
0.0,1.7992190344561072,16.91127386403083,21.43767148713725,0.0,0.0,27.1532073
0.0,1.6157799245511664,16.697947144589502,21.45561829458598,0.0,0.0,27.2438703
0.0,1.346759254896974,16.50067102231421,21.563569202710244,0.0,0.0,27.3917379
0.0,1.1249385662281084,16.270815324022742,21.817724267689318,0.0,0.0,28.4146486
0.0,0.9396939756590554,16.092056476851358,22.054568103005053,0.0,0.0,29.3510054
0.0,0.7743816289551991,15.921853811325752,22.342279708431754,0.0,0.0,30.5664663
0.0,0.6591171076347627,15.7926777239971,22.615696622331033,0.0,0.0,31.7806757
0.0,0.6020865019384002,15.743373256446505,22.796470055919865,0.0,0.0,32.5378832
0.0,0.565281098912894,15.765676299240747,22.914101686699617,0.0,0.0,32.8588329
0.0,0.5116956525412096,15.83456833805369,23.06071293200184,0.0,0.0,33.1327814
0.0,0.47536871032017136,16.038953821709715,23.156172380230583,0.0,0.0,32.8713385
1.3450460284855925,0.4364236563405521,16.946417511957378,22.494542738738698,0.0,0.0,32.3322415
8.271938893620597,0.4333197371636889,22.420474166942327,19.844174102958817,0.0,0.0,31.878147
17.221380062170695,0.37909337421562467,30.645625863148858,21.854586708788027,0.0,0.0,31.6820251
24.656394274752383,0.3768100114186804,33.147509114896195,21.38299460182504,0.0,0.0,32.0411547
29.323786003860327,0.46960061209057036,34.235301600184954,21.084807374757087,0.0,0.0,33.6258513
31.258883209115552,0.6061320456652984,34.69955920919329,20.952344320163544,0.0,0.0,33.4306123
30.712941242417795,0.8010955018407203,34.65875527149305,21.022971130066267,0.0,0.0,32.7394695
27.920457550167207,0.9977274696199653,34.11401789234738,21.33562726605517,0.0,0.0,32.2603483
22.960759449712178,1.0543633457816326,32.96613424555887,21.980331845170568,0.0,0.0,31.4865632
15.955087093797667,1.2887467189131436,31.15267280229629,23.065964220186412,0.0,0.0,29.6481574
8.074277559169673,7.939936812243514,30.37212056417669,23.2774379551091,0.0,0.0,29.5548552
1.1640890111555908,7.676191162265734,28.016052116453878,24.936064325506667,0.0,0.0,28.4581139
0.0,7.5504443061738895,27.46789599943918,25.04046748167788,0.0,0.0,27.7937272
0.0,7.295834321431886,27.2477960345162,24.909867135958223,0.0,0.0,27.608138
0.0,6.862804297480767,26.982984751840572,24.90937086835417,0.0,0.0,27.811166
0.0,6.50456317955275,26.720054529154677,24.976007653002636,0.0,0.0,28.5903599
0.0,6.165104409470189,26.40741655349942,25.160236330869477,0.0,0.0,30.379166
0.0,5.766551440317838,26.117172629857755,25.380573607695464,0.0,0.0,32.0565253
0.0,5.28434177455483,25.89682391090816,25.57893739509511,0.0,0.0,32.9434857
0.0,5.025524067070016,25.742624369164613,25.756913124254343,0.0,0.0,34.0828022
0.0,4.718151255426428,25.648187372747408,25.92465778009062,0.0,0.0,34.6833435
0.0,4.742787093307257,25.69189240273996,25.995819925182207,0.0,0.0,34.9886043
0.0,4.630807288310495,25.751248242610906,26.141873867445778,0.0,0.0,35.2654944
0.0,4.4304945160525175,25.894087231035563,26.327341053897978,0.0,0.0,35.1003711
1.1231494158798607,4.191708659433211,26.468454851145985,26.247716986800825,0.0,0.0,34.8894748
7.835823343151396,4.185568324383812,28.944227441928806,24.68708553886284,0.0,0.0,34.9291112
17.46424463970935,4.052552295838451,32.056992224491935,23.151230643831017,0.0,0.0,34.7778355
25.281776685972222,3.849360607031489,33.8963759449833,22.34924684148493,0.0,0.0,34.6967896
30.71681765660951,3.7832455107996865,34.90419491715324,21.8886335232881,0.0,0.0,34.9698468
33.73985573165422,3.7197610306657314,35.33664218383689,21.688302558777004,0.0,0.0,36.5931692
33.641318338094315,3.80533033767208,35.35373418761165,21.67266419766594,0.0,0.0,36.3775629
31.264148258471064,3.7784451025033796,35.03167549134638,21.775678400337917,0.0,0.0,35.0697449
26.38144994494724,3.2554708881791914,34.133979185930826,22.094946879614348,0.0,0.0,33.5873088
18.829231148253665,2.636096520794525,32.28961105786024,22.592351664830485,0.0,0.0,31.8184122
7.773405425576359,1.5293169724213016,27.48048872314139,23.39324273507788,0.0,0.0,28.3435113
1.1196228437564206,1.6770526462132298,23.74306801945517,24.630476611061955,0.0,0.0,27.2351237
0.0,1.6670200399415764,22.834891564485236,24.665546522035555,0.0,0.0,26.5277409
0.0,1.5241774625462692,22.531840411291917,24.462426592252935,0.0,0.0,26.0155861
0.0,1.3919785435106473,22.322449250941816,24.36687925126077,0.0,0.0,25.8426182
0.0,1.3052001147005898,22.186767734721233,24.307289525762442,0.0,0.0,25.7518481
0.0,1.2686212993600516,22.086719790319602,24.28951034614584,0.0,0.0,25.9230194
0.0,1.2680535218465412,22.045675561083005,24.259792999021688,0.0,0.0,25.9190642
0.0,1.2226475235715146,21.952645729582954,24.35542345332606,0.0,0.0,26.6546549
0.0,1.1622428345231626,21.857237693244066,24.509588871790655,0.0,0.0,27.6786448
0.0,0.9723008643686554,21.793413928245897,24.682145624015842,0.0,0.0,28.2714044
0.0,0.867299386429202,21.817966872026883,24.808654212592455,0.0,0.0,28.5543395
0.0,0.8159532986504857,21.921676836707217,24.933314909364384,0.0,0.0,28.7204175
0.0,0.8228553416903813,22.14819997238488,25.06815787368091,0.0,0.0,28.7208918
1.2331729675531313,0.7782650943047307,22.96418749924056,24.80000628352315,0.0,0.0,28.7188372
6.892039653914501,0.7969944811156704,26.086035741351044,23.147951462605363,0.0,0.0,28.5280946
14.880460613607925,0.652631330778278,30.320087986416333,22.090977098503743,0.0,0.0,28.455779
22.057887566697843,0.9174633738536496,32.89754173882603,21.1871172411519,0.0,0.0,28.4032607
27.344233919185115,1.5709344829740182,34.28794667876629,20.593486831266176,0.0,0.0,30.0621695
30.934221579490977,2.3599037948831287,35.076383646294666,20.20263954522613,0.0,0.0,32.2186346
30.293235478037015,2.8925112565711864,35.03564275038535,20.246513303530474,0.0,0.0,32.3927175
27.59625939402306,3.2208464733903215,34.56824558370249,20.45149323868808,0.0,0.0,31.6409567
22.87147463685409,2.6280995806999505,33.39608827898861,20.946659513520366,0.0,0.0,30.1976604
15.772718761487072,2.815230665962163,31.34493264238559,21.569067413455965,0.0,0.0,28.2822409
8.046155944282162,2.439227473761954,26.583939770894833,22.117803879479734,0.0,0.0,30.8393764
1.4508306121136114,2.6728582466913275,22.110238863546183,23.261964755482715,0.0,0.0,29.5349997
3.4219904499307346e-06,2.9076159952117266,21.000922642511387,23.404883202104468,0.0,0.0,29.0950652
0.0,2.7018319329541693,20.632331601578393,23.22820226365535,0.0,0.0,28.7169922
0.0,2.634152486013033,20.38280570165989,23.148926316795297,0.0,0.0,28.927953
0.0,2.600177466597993,20.144458238187593,23.200292298424902,0.0,0.0,29.8694831
0.0,2.470702832986349,19.8549845998458,23.4278023545723,0.0,0.0,31.5494251
0.0,2.284183202366351,19.62309587211137,23.6559258564722,0.0,0.0,32.8725246
0.0,2.141422846662635,19.487899309838426,23.806498624982595,0.0,0.0,33.6315922
0.0,1.9422409497393178,19.35374018761502,24.017938111814825,0.0,0.0,34.5265417
0.0,1.7221461114855166,19.26353835965652,24.226789207203673,0.0,0.0,35.2043996
0.0,1.551774841221857,19.27088971341808,24.358527350902218,0.0,0.0,35.3111816
0.0,1.3607298474501293,19.303137518977373,24.56420214730654,0.0,0.0,35.6886737
0.014240174035785251,1.201053108330855,19.46937428913395,24.75201130819539,0.0,0.0,35.7377
