,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh
0,1,linear_red_2055,106.35297518917106,57.0251426,167919.222175867,54.41604549294223,115631.89620143425,14.103500283897962,57.06873347048316,64.46773347048315,2.7083324947785634,49781.66450426292,0.0,7.399,0.0,2855.02837588045
1,2,linear_red_2055,105.87111169987834,58.2449726,171934.82941003,55.782907908130895,115107.99182661054,13.371047829039647,6.629177127959389,71.09691059844255,2.8569319799436217,54900.682250939324,0.0,7.399,0.0,2908.280802415793
2,3,linear_red_2055,105.78465108533986,59.57792659,175341.62100307,56.78815951970954,115013.9878291855,12.723931657310278,5.648426220418318,76.74533681886086,2.931601146880582,59262.36900406039,0.0,7.399,0.0,2792.6679576473443
3,4,linear_red_2055,106.44750596270924,60.8915819,179397.79366619,57.98859202551413,115734.67445069477,12.193962672226903,5.799579651140328,82.5449164700012,2.9865194928686005,63740.77568778546,0.0,7.399,0.0,2865.014555413542
4,5,linear_red_2055,108.02760156303769,62.10057291,183652.901063302,59.76937925579114,117452.62780480173,11.785684355838663,4.97047373723409,87.19139020723529,2.9954355764456433,67328.75969564207,0.0,7.075,0.0,2790.8895051062
5,6,linear_red_2055,109.66322457598712,63.57677205,187494.43597633002,60.74176133602372,119230.95314193134,11.394408480051997,3.7542476629663275,90.85163787020161,2.9570497395915663,70155.18481331322,0.0,6.981,0.0,2693.73605784855
6,7,linear_red_2055,110.9464255027176,65.09629169,191685.950602151,62.18697979340351,120626.10881201309,10.978797838456108,5.371677772806508,96.14131564300813,2.9533691202243206,74239.84779191905,5.413233322555383e-16,6.899000000000001,2.4995984355940552e-17,2711.7487844122934
7,8,linear_red_2055,113.04867481623654,66.47422342,195637.86044785,63.45077730350756,122911.77194440817,10.654121624910916,5.0606603319441,99.98797597495222,2.93217788884202,77210.21984935107,2.4505007386425934e-15,5.685000000000002,1.2726832994632664e-16,2145.738253713361
8,9,linear_red_2055,115.09383962464923,67.81195929,200086.739439276,65.26534465708787,125135.3701504809,10.330348052728375,4.734957764309475,104.4159337392617,2.8963868108401076,80629.46690513325,7.421067110421446e-15,5.378000000000011,4.089119889938517e-16,2082.4500985287286
9,10,linear_red_2055,114.95172413999923,69.52513481,204833.82759686,66.32299684561897,124980.85559232708,9.826278431748985,14.509017327957999,118.47795106721969,3.055333009556267,91488.0870425086,2.4653972156119557e-14,4.931000000000035,1.2706285432149732e-15,1945.1415052549496
