,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,slow_fast_2055,101.23770841583679,57.0251426,190737.857582767,54.61586094621719,125111.00813475184,13.425163206241113,66.26596277103474,73.66496277103474,3.1448088884503584,0.0,7.399,0.0
1,2,slow_fast_2055,102.43124454165854,58.17234609,195383.86325395,55.3419954170931,126585.99715103272,12.936607994040235,4.4399692765457,78.10493204758043,3.190255523697105,0.0,7.399,0.0
2,3,slow_fast_2055,103.81796988760232,59.57792659,199286.274719762,57.01691449143693,128299.73216886185,12.487376383033844,3.232620517994653,81.33755256557508,3.171291648847548,0.0,7.399,0.0
3,4,slow_fast_2055,106.02366163927067,60.8915819,203588.828099105,58.39416689683694,131025.5575851428,12.145409708847415,1.8654605116758516,83.20301307725094,3.0927077015812268,0.0,7.399,0.0
4,5,slow_fast_2055,107.87098401082805,62.30503248,208201.96806880197,59.54863371747865,133308.5049954693,11.768597564979478,4.316926095408905,87.19593917265985,3.1049828309777605,0.0,7.075,0.0
5,6,slow_fast_2055,110.9590543912744,63.49749724,213195.64605113,61.04509573445578,137124.78654247618,11.529049917900497,0.87842479625911,87.98036396891895,2.988259485637305,0.0,6.981,0.0
6,7,slow_fast_2055,114.19062173887222,65.09629169,217734.259799811,62.210758138054715,141118.40369402923,11.299830034524014,2.1813138557407513e-11,87.89836396894077,2.845961414893418,0.0,6.899,0.0
7,8,slow_fast_2055,113.68072790534167,66.47422342,222354.168849151,63.62724310734616,140488.26960118103,10.713688625547348,11.7612704620276,98.44563443096837,3.1010478144001103,0.0,5.685,0.0
8,9,slow_fast_2055,117.22687467014617,67.72740356,227420.62454549,65.28063774881261,144870.64849616733,10.521800475382033,5.800202219844199e-12,98.13863443097416,2.953378870857436,0.0,5.378,0.0
9,10,slow_fast_2055,121.08513264970586,69.52513481,232454.803726074,66.94180613660615,149638.7388946961,10.35057313200624,1.671861618871343e-11,97.6916344309909,2.8127417817695175,3.735278775397816e-14,4.931000000000037,2.0711361918535564e-15
10,11,slow_fast_2055,117.04819436668598,70.97460404,237172.691446311,68.00076430835594,144649.832821362,9.529036615652243,25.969416240453626,122.95905067144453,3.489236339947231,4.775843282773873e-13,4.229000000000515,2.7704318270600808e-14
11,12,slow_fast_2055,119.99628975441982,72.52316903,242575.70004391,69.43795977465042,148293.13127021483,9.30385206260879,2.973156132576978,125.1522068040215,3.414576368516016,0.0,3.449000000000515,2.6385065019619814e-14
