,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_PV_MY_annual_generation_GWh,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD,RE_WIND_MY_annual_generation_GWh
0,1,slow_fast_2055,128.95722544215087,52.48666157,6353.38273807,51.07820163251748,5225.153566154256,17.10105676309518,28.72047673684817,36.11947673684817,1.3629985402106235,1051.2363587150028,0.0,7.399,0.0,76.99281320098899
1,2,slow_fast_2055,103.42005217338581,53.92082334,6348.5642297,50.945510224611354,4190.425566096243,13.061489974830465,36.49572424986343,72.6152009867116,2.902597048741316,2113.4231824226017,0.0,7.399,0.0,112.579335402751
2,3,slow_fast_2055,108.44378416598326,58.6403178,6564.49384039,55.79595085857705,4393.979659684425,13.043776050978543,3.7080759386912954e-13,72.61520098671197,2.764378141658411,2113.4231824226126,0.0,7.399,0.0,97.461189100212
3,4,slow_fast_2055,106.11642704509616,59.44361835,6853.91121484,56.66097839338045,4299.678636083596,12.156036335424332,18.73947879073055,91.35467977744253,3.3603358717738425,2658.8248113473073,0.0,7.399,0.0,113.35117467345
4,5,slow_fast_2055,101.95401686045601,59.56341654,6678.35711806,56.316532481092565,4131.024011687805,11.123063403624817,4.610064497856072e-12,91.03067977744713,3.2003198778800206,2649.3949798273134,0.0,7.075,0.0,151.791328457675
5,6,slow_fast_2055,112.04562995706688,61.38922567,7094.954855,59.483419552341644,4539.921054712818,11.641949077021106,1.512727575284549e-13,90.93667977744728,3.047923693219072,2646.6591645097496,0.0,6.981,0.0,72.643171909191
6,7,slow_fast_2055,114.85930171857912,59.91544914,7252.61940769,57.721510440817774,4653.926818936149,11.365999830284085,1.9154001070630555e-12,90.8546797774492,2.902784469732515,2644.272602211501,9.592467362544519e-15,6.89900000000001,5.935804958735779e-16,104.97159547825115
7,8,slow_fast_2055,117.52914681067159,65.42808402,7324.350730339999,62.45766512602786,4762.10494200134,11.076377734001213,1.8074546008214059e-13,89.64067977744939,2.7645566378404958,2608.939838429299,1.066947807603155e-14,5.68500000000002,1.1991800137580153e-15,74.88401946678027
8,9,slow_fast_2055,114.39392215929162,66.15911406,7396.876363926,63.95750789571946,4635.0703364436895,10.267526349595455,15.219628061256333,104.5533078387057,3.1260305130993142,3042.9632030588673,5.939223639719759e-14,5.37800000000008,4.543993070116133e-15,82.38986584590123
9,10,slow_fast_2055,115.4116851929508,67.87187079,7825.69751527,65.12842005141778,4676.308569715155,9.865596723039314,25.64522653632202,129.75153437502772,3.791196719995447,3776.342927884593,9.009017384997884e-14,4.93100000000017,9.322929552841781e-15,105.79265591870265
10,11,slow_fast_2055,112.49232457709947,67.85149988,7607.63189143,65.20554523973492,4558.020451461177,9.158137685719925,1.413312968077046e-12,129.04953437502914,3.610663542852851,3755.9116262576904,7.491896672881675e-14,4.229000000000244,1.2915546058903015e-14,44.006299098121545
11,12,slow_fast_2055,121.30084079724071,66.75124086,8080.07537078,64.69553078138705,4914.92833143759,9.404999772553552,5.590184320343878e-12,128.26953437503474,3.4387271836695534,3733.210180005693,1.4082487141994546e-13,3.4490000000003853,1.9699178360039917e-14,52.47818999920686
12,13,slow_fast_2055,121.37459936710994,68.52455013,8067.98711291,65.41294839000209,4917.916918180714,8.962589148786641,1.4124868945065259e-11,128.14053437504884,3.274978270161909,3729.4557100490156,2.4799869988358736e-13,3.320000000000633,3.150678658810582e-14,43.73174048016834
13,14,slow_fast_2055,125.19096313999974,74.49958027,8339.85991431,71.32248045468174,5072.550260432662,8.804189074590235,3.2647075556890655,131.4052419307379,3.217410008149095,3824.4731242855487,7.359766294257443e-13,3.3200000000013694,6.711445653033763e-14,50.86172454602099
14,15,slow_fast_2055,122.18596907999967,75.26912148,8415.414769789,70.91347783090933,4950.792403321157,8.183675844453765,1.1952927722876861e-12,129.0442419307391,3.0642000077610776,3755.757592745392,18.065926632587857,19.024926632589228,0.8959257677596932,408.1722809004269
15,16,slow_fast_2055,118.95838287999997,75.43696698,8458.12807092,71.68085591929905,4820.015446193112,7.58809629678932,8.003382171024103e-13,128.5902419307399,2.91828572167724,3742.5441868499265,34.20414563486863,52.77507226745786,2.525468095828699,549.1689796941583
16,17,slow_fast_2055,115.50820451999995,77.56867572,8964.86714637,68.05214684244386,4680.219388238154,7.017158980485895,1.565443136039717e-13,128.43024193074007,2.7793197349307097,3737.8874799264117,26.527637203463577,79.14270947092143,3.686299371135881,1204.1943011500666
17,18,slow_fast_2055,111.83543400999993,75.63975902,9156.008877870001,65.10778917470589,4531.404229861455,6.470511468043883,1.635759659593901e-13,128.26724193074023,2.64697117612449,3733.14345974808,37.47388626078773,116.45359573170917,5.301545024527529,1533.9513332893293
18,19,slow_fast_2055,99.6278802406648,77.46556633,9120.69017157,69.94895412674416,4036.7724409627795,5.489727339875569,6.77041350491448e-14,128.26724193074028,2.5209249296423737,3733.143459748082,35.3372248208234,151.79082055253255,6.722654030540161,2325.404489022357
19,20,slow_fast_2055,70.59777384803394,83.24784011,9307.470174066,69.21241355782979,2860.51602397482,3.7048582164110417,3.093808931757027e-15,128.0852419307403,2.4008808853736894,3727.846455622578,71.91475806925948,223.52357862179204,9.78237131579043,4795.610026942102
20,21,slow_fast_2055,99.48156956000007,85.06620648,9808.22235906,77.80301703008774,4030.844151390632,4.97203200174814,39.66969137130039,139.03445656519253,2.9307712153900614,4046.51697809358,60.96554343480803,284.4891220566001,12.16314261632525,2960.3484027864806
21,22,slow_fast_2055,75.16238842671828,84.85265766,9513.83220095,57.38570700464359,3045.467367818921,3.57768878567021,1.1810872648769764e-13,102.53873231532921,2.1864902996604276,2984.3301543859843,2.3414793936416666e-13,284.4891220566003,11.583945348881201,4328.638503911903
22,23,slow_fast_2055,90.13269917000001,87.18462822,10076.21442547,66.7631034990677,3652.041930031303,4.085968981136581,2.5794980257648e-13,102.5387323153291,2.082371713962314,2984.3301543859807,16.968196477744257,301.4573185343446,11.816511238221825,3970.8594036111103
23,24,slow_fast_2055,81.40174939057871,85.05658997,10014.44694628,72.76124492810881,3298.276926019779,3.514448047241665,0.0,83.79925352459856,1.708988334090781,2438.928525461287,29.766690860338777,331.2240093946833,12.623990489279615,5074.284436401837
24,25,slow_fast_2055,49.7478956090338,92.27525096,10329.75841939,67.24109478296239,2015.7101958340406,2.0455439007787666,0.0,83.79925352459395,1.627607937229251,2438.9285254611523,116.20074647540605,447.42475587008937,17.35350365377752,9599.32128316209
25,26,slow_fast_2055,74.43995244000007,92.90641484,10387.340787886,82.72752292837308,3016.1953440189645,2.915082687442172,67.78095473263427,151.58020825722807,3.5159962932255153,4411.653782875233,48.4197917427724,495.8445476128618,18.74201519015719,5159.679231123931
26,27,slow_fast_2055,51.33125420646163,94.77005344,10927.08603862,57.77468638234271,2079.8655139520056,1.9144206400077692,1.3628819973588615e-13,151.5802082572263,3.348567898309993,4411.6537828751825,1.4287190701102072e-13,495.84454761286196,17.84953827634019,7544.512722440022
27,28,slow_fast_2055,62.865160520000046,95.12989008,10994.47448771,69.33414588404155,2547.2021172267823,2.2329357239589873,2.508179480422098e-12,151.58020825722863,3.189112284104826,4411.65378287525,9.222694770272772,505.0672423831347,17.41954755545849,6652.852279797986
28,29,slow_fast_2055,56.743876339999986,92.36254481,11180.26142897,73.20350125162092,2299.176853400679,1.9195343773794318,4.631682918627069e-14,136.36058019597235,2.851398267628639,3968.6953618361786,0.0,505.06724238313467,16.590045290912844,7737.527397379161
29,30,slow_fast_2055,46.370277533356,94.09821236,11078.995239840002,71.23609268324925,1878.8541718871568,1.4939198235170426,2.5240072061651235e-14,110.71535365965033,2.408820010784301,3222.3059620428694,0.0,505.0672423831346,15.800043134202708,10836.018046896188
