,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,fast_slow_2055,100.84734377786242,56.4756583,74825.59905568001,54.10181825647325,49034.199317304185,13.373396833248702,66.08472443779984,73.48372443779984,3.1362077922397082,0.0,7.399,0.0
1,2,fast_slow_2055,102.5332100145217,57.62769172,76736.67751548,55.008260402564176,49853.90460624828,12.949485777154752,4.329503535027298,77.81322797282714,3.1772074719574754,0.0,7.399,0.0
2,3,fast_slow_2055,104.39299751196975,59.3568174,78757.24052171,56.415569777372255,50758.174242130546,12.55654154185839,3.7772455647162673,81.5904735375434,3.181264581520326,2.931811859224662e-16,7.399,2.229427005747758e-17
3,4,fast_slow_2055,105.81535407274295,60.8915819,80193.04534931,58.38599387579772,51449.75532387766,12.121547292648849,2.7751543721335468,84.36562790967695,3.13752627259866,0.0,7.399,2.1232638149978647e-17
4,5,fast_slow_2055,108.3229171113023,62.10057291,82184.77485076999,59.76989626418043,52668.9876925978,11.817902935043044,3.086482734884116,87.12811064456106,3.1021918970833178,9.721636526088665e-16,7.075000000000001,8.634450231997582e-17
5,6,fast_slow_2055,109.79967609691604,63.70655604,83637.97146716001,60.74901473653076,53387.02043130544,11.408586290099079,2.929742772484265,89.96385341704531,3.0583039108523513,3.57953615005901e-15,6.981000000000004,3.1395042750377995e-16
6,7,fast_slow_2055,109.27562426000013,64.46903521,85416.16557363,62.122953420393756,53132.21488798314,10.813462281326446,10.742361211369179,100.6242146284145,3.2801744166529385,1.2569976898961852e-14,6.899000000000018,1.0768287633772147e-15
7,8,fast_slow_2055,104.26730082999978,66.22752027,87873.59180498001,62.260783501724156,50697.057747373576,9.826532742199324,37.03367826107931,136.4438928894938,4.353916295507908,7.254661117673465,12.93966111767348,0.43099368049732784
8,9,fast_slow_2055,99.48156956000015,67.72740356,89733.59236663,63.8578440313626,48370.12981668737,8.92905512352388,3.1452214223194443e-13,136.1368928894941,4.1465869481027795,30.737009244330878,43.369670362004356,2.171049609859346
9,10,fast_slow_2055,94.91843044000025,69.52513481,91563.26892261,65.10428145745682,46151.43109106179,8.113796750643909,2.2203139000438042e-13,135.68989288949436,3.949130426764559,28.881439494334284,71.80410985633864,3.6690834370729797
10,11,fast_slow_2055,90.57788347000002,70.74169449,93620.55713542001,64.30358501439402,44040.96157049671,7.37405624088441,0.22035843684624656,135.20825132634062,3.7679533826518625,35.91760899324919,107.01971884958783,5.429573160846888
11,12,fast_slow_2055,86.4599286600002,71.82434846,95161.35025414999,64.76017150186793,42038.72125985483,6.70362714749456,3.17212022397865e-13,134.42825132634093,3.588527031097021,28.981912024654722,135.22163087424258,6.693674000772015
12,13,fast_slow_2055,82.56456599000008,73.23537375,97519.770278461,66.03384567615372,40144.710149411454,6.096763961115709,2.6380574861310294e-13,134.29925132634116,3.4176447915209804,33.757316459220434,168.84994733346298,8.109853749740395
13,14,fast_slow_2055,78.89179548000006,75.40985705,100057.12080227,64.06815631614526,38358.928248891185,5.548150333048274,1.7723485539008117e-13,134.29925132634133,3.254899801448558,27.282699176820543,196.1326465102835,9.099265837874068
14,15,fast_slow_2055,75.44161712000006,77.05336202,102089.76889716,69.01225424725989,36681.37555343155,5.052869362498129,2.2975587000525967e-13,131.93825132634157,3.099904572808157,30.052629669413143,223.82427617969668,10.156338031142376
15,16,fast_slow_2055,72.21403092000007,78.65027126,104086.87928453,68.31513741939004,35112.052067895056,4.606375837783935,2.8796465649617315e-13,131.48425132634185,2.9522900693411103,38.64582150737676,262.0160976870734,11.56205730645498
16,17,fast_slow_2055,69.20903686000004,80.49675056,105681.19430209,69.3763862812998,33650.957782557096,4.2044702932668265,4.609743098242589e-13,131.3242513263423,2.8117048279439283,31.061756356470653,292.91785404354414,12.511539740309065
17,18,fast_slow_2055,66.42663496000004,81.38839577,107832.92578039001,71.02534569756067,32298.092707141976,3.8432747822466764,4.756422608199386e-13,131.1612513263428,2.6778141218513745,29.658413020022973,322.4132670635671,13.333053845775783
18,19,fast_slow_2055,63.86682520999984,82.79105361,110244.05441772201,68.39092116944622,31053.456836787613,3.519210241344495,6.491329842255721e-13,131.16125132634343,2.5502991636679946,28.6844460574986,351.0977131210657,14.056635848586126
19,20,fast_slow_2055,61.5296076099999,85.22121469,112911.54447852,74.26371704884879,29917.05017149417,3.2289753611374508,3.257861532804632,134.23711285914808,2.5241662733992705,24.34439107009244,375.2601041911581,14.531407852444902
20,21,fast_slow_2055,59.41498216000011,87.13830051,114759.47029284001,70.92574040596625,28888.872711261436,2.969526857983916,64.87259885736756,133.02498727871583,3.1155291013058264,38.65102457028859,413.91112876144666,15.644126742431625
21,22,fast_slow_2055,57.52294887000005,88.4670316,117078.51850129,73.91973220446664,27968.924460951708,2.73806106216981,5.169544540948558,133.86502828463708,3.04604749072863,47.92169628611714,461.8328250475638,17.124331376522306
