,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,linear_red_2055,100.84734377786202,56.4756583,74825.59905568001,54.10181825647403,49034.19931730412,13.373396833248648,66.08472443780677,73.48372443780677,3.1362077922400373,0.0,7.399,0.0
1,2,linear_red_2055,102.53321001452584,57.62769172,76736.67751548,55.00826040256507,49853.90460625024,12.949485777155274,4.329503535018168,77.81322797282493,3.177207471957388,0.0,7.399,0.0
2,3,linear_red_2055,104.39299751197387,59.3568174,78757.24052171,56.4155697773732,50758.17424213243,12.556541541858884,3.7772455647165435,81.59047353754147,3.1812645815202534,0.0,7.399,0.0
3,4,linear_red_2055,105.99354906885799,60.8915819,80193.04534931,58.38907651074818,51536.397655044086,12.14196020050754,2.336648553957646,83.92712209149911,3.1205004764261384,0.0,7.399,0.0
4,5,linear_red_2055,108.70030713586931,62.10057291,82184.77485076999,59.777553398285725,52852.48303309723,11.859075743142405,2.5877888762006824,86.19091096769979,3.0675458978959416,0.0,7.075,0.0
5,6,linear_red_2055,109.29117450719176,63.70655604,83637.97146716001,60.73776762677875,53139.77576060211,11.355751122717514,5.243539421875017,91.34045038957481,3.107312902455547,0.0,6.981,0.0
6,7,linear_red_2055,112.3248086083667,64.46903521,85416.16557363,62.186002376283085,54614.7954646454,11.11519691028104,0.22785431598571104,91.48630470556053,2.967140684005514,2.2194019660741824e-16,6.899,1.373362733251617e-17
7,8,linear_red_2055,115.80334174817587,66.22752027,87873.59180498001,63.16783954408941,56306.13487845251,10.913731536983821,4.289552030980145,94.56185673654068,2.968310340316077,2.9408595156702923e-15,5.685000000000003,1.8779378346838992e-16
8,9,linear_red_2055,118.17931033999982,67.72740356,89733.59236663,65.28689985901346,57461.38312931162,10.607287170408538,2.992990426682231,97.24784716322291,2.923935803101059,4.2869048318803196e-15,5.378000000000007,4.244000472053542e-16
9,10,linear_red_2055,114.95172413999968,69.52513481,91563.26892261,66.82138169738148,55892.05964377433,9.82627843174902,22.417388112612485,119.2182352758354,3.496268272786906,3.2217372032459475e-14,4.93100000000004,2.190578344791209e-15
10,11,linear_red_2055,111.72413792999981,70.74169449,93620.55713542001,67.0590474144932,54322.7361533756,9.095598671534578,29.06794351255332,147.58417878838873,4.236910534622423,6.491016010629196,10.720016010629237,0.3497300168796946
11,12,linear_red_2055,108.49655172000045,71.82434846,95161.35025414999,67.74154573935141,52753.41266297707,8.41222564940919,2.4873073548787277e-13,146.80417878838898,4.035152890116601,23.315391335318658,33.255407345947894,1.5580204367392314
12,13,linear_red_2055,105.2689655200003,73.23537375,97519.770278461,68.77528475602458,51184.089177440364,7.77331083268823,1.5878181129538432e-13,146.6751787883891,3.8430027524920054,28.530199690996977,61.65660703694487,2.9501122743319437
13,14,linear_red_2055,102.04137930999971,75.40985705,100057.12080227,68.08922239796547,49614.76568704136,7.176169703819241,1.0772841727474353e-13,146.67517878838922,3.660002621420961,25.348737213102215,87.00534425004707,4.087715840057121
14,15,linear_red_2055,98.81379309999988,77.05336202,102089.76889716,71.61761940000696,48045.442196642594,6.618272603475949,9.373768347599716e-14,144.3141787883893,3.485716782305679,27.771142046881554,112.41548629692863,5.270289694935551
15,16,linear_red_2055,95.58620689999985,78.65027126,104086.87928453,70.91818359524355,46476.118711106144,6.097236067286616,9.878306085518606e-14,143.86017878838942,3.3197302688625547,32.8771805169807,144.83866681390933,6.626655020624025
16,17,linear_red_2055,92.35862068999994,80.49675056,105681.19430209,72.11054356956701,44906.79522070735,5.610814636876357,1.115326912362527e-13,143.70017878838954,3.1616478751071977,25.146542946261338,169.82520976017068,7.525494887149108
17,18,linear_red_2055,89.13103448000018,81.38839577,107832.92578039001,73.91791907070824,43337.471730308775,5.156893124856003,1.4324713531000364e-13,143.53717878838967,3.0110932143878117,29.52438251875912,199.18659227892977,8.578034715974479
18,19,linear_red_2055,85.90344828000013,82.79105361,110244.05441772201,71.55284986801821,41768.14824477207,4.733479297894544,1.908675446632686e-13,143.53717878838987,2.8677078232264925,25.054762044401162,224.24135432333094,9.356145130143002
19,20,linear_red_2055,82.67586207000033,85.22121469,112911.54447852,76.22240693322097,40198.82475437334,4.3386969615818405,4.4654235296899727e-13,143.35517878839033,2.731150307834768,28.596303336259346,252.65565765959028,10.254581035486243
20,21,linear_red_2055,79.4482758599998,87.13830051,114759.47029284001,74.23250884556643,38629.50126397433,3.9707794298660124,56.2647322963484,133.53518664693195,3.061401912996191,42.06201135112855,294.71766901071885,11.73022388004569
21,22,linear_red_2055,76.22068966000008,88.4670316,117078.51850129,76.63465811488412,37060.177778438156,3.6280633484459086,6.409810939947727,135.6154940518615,3.0306330637900203,39.48084639811843,334.19851540883724,13.00486822889478
22,23,linear_red_2055,72.99310345000026,90.47568759,118782.17012501,77.72336507336409,35490.85428803959,3.30898285838603,1.9979592009898737,133.83620768813483,2.8858897352591764,27.13534082002216,361.3338562288594,13.639643982637473
23,24,linear_red_2055,69.76551724000036,90.90393363,121047.115222458,74.97729307384827,33921.530797640145,3.012064085410202,3.8772686070772484,135.37682774125443,2.8269305470225774,31.611753406536153,392.9456096353956,14.44523620546433
24,25,linear_red_2055,66.53793102999967,93.40272064,123930.84495944,81.02385056437137,32352.20730724101,2.735919928322322,1.3654442909539857e-12,132.78903886505512,2.6562688394126304,33.346639075247595,426.2922487106432,15.28712947872176
25,26,linear_red_2055,63.31034482999992,95.10874414,126011.75931312001,75.38435977076604,30782.883821705575,2.4792451378670792,2.861584361787779e-13,127.54549944318038,2.4597384723640077,51.92109903918239,478.2133477498256,16.93420025273101
26,27,linear_red_2055,60.08275862000001,97.07851964,127850.5482159,80.74003968789823,29213.56033130605,2.2408116651132484,13.826228503125726,141.1438736303204,2.7404183855479394,58.8561263696796,537.0694741195052,18.813537441119912
27,28,linear_red_2055,56.855172409999646,98.72086847,129606.96188963001,81.38813893771689,27644.236840907026,2.0194642710845576,3.486712176254274,140.34103377559452,2.6572371479335013,17.379165860502017,554.4486399800072,18.709075108823722
28,29,linear_red_2055,53.627586209999315,99.38211661,131673.12493343,86.14474977545038,26074.913355370365,1.8141163759975314,15.695742175936152,153.04378552484846,2.948650726037859,40.22455288479189,594.6731928647991,19.64675369854495
29,30,linear_red_2055,50.40000000000086,100.567136,133914.575666519,83.85218563203884,24505.589864972037,1.6237461389162173,21.00008073717762,151.6264781494136,3.1479363445732984,36.99016445096209,631.6633573157612,20.39028283326781
