,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_maxRE,22.19219542484065,3073.2095480380003,3073.2095480380003,2018.2582853427718,2018.2582853427718,2.15500000000001,6.852000000000009,411.52918897514365,411.52918897514365,0.0,0.1840000000000107,4.881000000000011,643.4220737201415,643.4220737201415,0.0,3.8797651771905883,1.2624473263358948,1.262447326335918
1,2,CHL_maxRE,20.545911171724168,3098.8987612339997,2951.33215355619,1868.537774583276,1779.5597853174056,2.4782500000000196,9.330250000000028,560.3721855568214,533.6877957684013,0.0,0.20153520000002043,5.082535200000031,669.9888010939616,638.0845724704395,0.0,3.4209070939751607,1.159106097174828,1.15910609717485
2,3,CHL_maxRE,18.785639115046738,3132.759093719,2841.5048469106573,1708.450699157205,1549.6151466278502,2.8499875000000308,12.18023750000006,731.5416316257514,663.5298246038561,0.0,0.22074150456003153,5.303276704560063,699.087337586508,634.0928232077171,0.0,2.9788768502009377,1.046233952084579,1.0483448069566499
3,4,CHL_maxRE,17.053994836011913,3125.696478469,2700.0941396989524,1550.96716287235,1339.7837493768275,3.2774856250000446,15.457723125000104,928.3864946050214,801.9751600086569,0.0,0.24177816994461165,5.545054874504674,730.9589646067955,631.4298366109883,0.0,2.5755109608853903,0.9287182362194204,0.9538596906745436
4,5,CHL_maxRE,16.62675617459456,3193.6688480149996,2627.439264927679,1512.112153184615,1244.0184105878639,3.7691084687500593,19.083831593750162,1146.1695473313216,942.9565231205693,0.0,0.2648196295403419,5.666874504045016,747.0174441516972,614.5731000163076,0.0,2.3914180579534037,0.8536059454150935,0.9101706326289632
5,6,CHL_maxRE,16.554829164325213,3348.119748371,2623.3394313184704,1505.5707866529578,1179.654106813094,4.334474739062574,23.39730633281274,1405.2356245396097,1101.038881880431,0.0,0.2900569402355455,5.935931444280563,782.4850070353585,613.0974778814596,0.0,2.2676884113303712,0.783639464406125,0.8644281347117359
6,7,CHL_maxRE,15.75998688945019,3327.030708502,2482.6815397670593,1433.284247349523,1069.5387731289543,4.984645949921962,28.3819522827347,1704.6120555232083,1272.0077611238275,0.0,0.31769936664000215,6.253630810920564,824.3647008077587,615.1536321864963,0.0,2.0560100348782293,0.695373192796299,0.8281408637980758
7,8,CHL_maxRE,15.252006971492271,3369.113513659,2394.366073246545,1387.0862638431795,985.7763109932913,5.732342842410264,34.09629512514496,2047.8138762270914,1455.343089415989,0.0,0.3479761162808031,6.583606927201367,867.8627374837497,616.7738446453195,0.0,1.8949906618327743,0.6197046495646837,0.791437317378682
8,9,CHL_maxRE,14.826500884406823,3371.891102408,2282.2286225840367,1348.3888222749292,912.6426302351757,6.592194268771804,40.589489393916764,2437.7932941029976,1649.9944579384842,0.0,0.3811382401623724,6.865745167363739,905.0547005161252,612.5766460983986,0.0,1.7544033495220883,0.5525307888995694,0.7687237519331775
9,10,CHL_maxRE,15.278028213612883,3503.9809734150003,2258.6973777208254,1389.4527528948242,895.6536331793674,7.581023409087574,47.739512803004345,2867.2216850392347,1848.2366629493072,0.0,0.4174607144498554,6.852205881813594,903.2699278905641,582.2558492696643,0.0,1.7217448341818071,0.5176395620991606,0.7622733577169869
10,11,CHL_maxRE,14.99154818465661,3509.122000248,2154.2965042437063,1363.3989677258694,837.0086961507009,8.718176920450713,56.279689723455064,3380.1423040960535,2075.1141593383663,0.0,0.45724472053693976,7.131450602350535,940.0804620358783,577.1278550385462,0.0,1.609009716900368,0.4611333063702573,0.7468840587778013
11,12,CHL_maxRE,15.291311308839543,3684.7981174,2154.4251437084745,1390.6607774495355,813.0905547195866,10.025903458518309,66.17659318197336,3974.5475366776823,2323.835628184958,0.0,0.5008201424041188,7.503270744754653,989.0944524223926,578.3030412816635,0.0,1.563031076355957,0.42070918967276555,0.7254979737497244
