,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX_maxRE,143.19642311495045,12309.572899269999,12309.572899269999,11596.54851923956,11596.54851923956,1.0820000000000403,8.615000000000041,495.7957243744574,495.7957243744574,0.0,0.9090000000000874,8.126000000000086,217.2286556562603,217.2286556562603,0.0,32.6238451648942,2.650282461613934,2.650282461613994
1,2,MEX_maxRE,144.185538250194,12489.02047526,11894.305214533333,11676.650531618443,11120.619553922326,1.2519822000000707,9.86698220000011,567.8476595750328,540.8072948333646,0.0,1.020988800000122,9.146988800000209,244.5222840668095,232.8783657779138,0.0,31.284943952327577,2.6302455997262144,2.630245599726274
2,3,MEX_maxRE,149.0566827578128,12997.530337749999,11789.143163492061,12071.13289645715,10948.873375471336,1.448668603620107,11.315650803620219,651.2189537956206,590.6747880232385,0.0,1.146774620160161,10.29376342016037,275.178487497539,249.59499999776776,0.0,30.801781162627535,2.6127243291108706,2.6127243291109328
3,4,MEX_maxRE,147.77336163434433,13024.50446493,11251.056659047617,11967.20505140112,10337.721672736094,1.67625444124885,12.99190524486907,747.6878783382638,645.8809012748202,0.0,1.2880572533639159,11.581820673524287,309.61153519093494,267.4540850369808,0.0,29.082466274303904,2.584865329152557,2.5848653291526205
4,5,MEX_maxRE,150.42519709114632,13362.25115426,10993.157093400383,12181.959986412015,10022.128628636845,1.939594013969069,14.60749925883814,840.6657778682496,691.6178159250513,0.0,1.4467459069783744,12.70456658050266,339.62538998006596,279.4106488387583,0.0,28.194628087904757,2.5647434898233543,2.5647434898234174
5,6,MEX_maxRE,154.1759402456569,13830.67723917,10836.697516869439,12485.708320541653,9782.87917603734,2.244304233563635,16.757803492401774,964.4164041137677,755.6454879945564,0.0,1.6249850027181338,14.235551583220795,380.5525145149358,298.1728528378202,0.0,27.521562555997342,2.5396632611691836,2.5396632611692493
6,7,MEX_maxRE,155.25241907883296,14109.18631243,10528.492060350027,12572.885351554762,9382.08062947728,2.596884428656506,19.27268792105828,1109.1487253005107,827.6638559791303,0.0,1.8251831550530317,15.978734738273825,427.152235575089,318.74757489388713,0.0,26.394021054869107,2.50691370650005,2.506913706500114
7,8,MEX_maxRE,156.58189924421046,14342.266125909999,10192.7807674419,12680.55131769969,9011.831077246079,3.00485497239847,21.06354289345675,1212.2129433260352,861.4971069638962,0.0,2.0500457197555892,16.814780458029418,449.5018648846725,319.4525832322091,0.0,25.352421130174044,2.487291908715906,2.487291908715975
8,9,MEX_maxRE,156.9330000221063,14606.476940659999,9886.238534003041,12708.984689968662,8601.941089590739,3.4769176885622928,24.233460582019042,1394.642616757044,943.9490189838563,0.0,2.3026113524295018,18.810391810458917,502.8496339347127,340.34842542872974,0.0,24.199303246027505,2.447776589933063,2.447776589933133
9,10,MEX_maxRE,162.32154675521159,15305.85706717,9866.291935852965,13145.3681015046,8473.621485194883,4.023141457435454,27.809602039454496,1600.4505847610753,1031.6647169029764,0.0,2.58629307104884,20.949684881507757,560.0383809047703,361.00573375539386,0.0,23.838309722955913,2.4161366679542042,2.4161366679542744
