,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_maxRE_high,27.29442475957789,93298.49082726167,93298.49082726167,75502.62310292832,75502.62310292832,2.1550000000000957,6.8520000000000945,12734.53547550036,12734.53547550036,0.0,0.18400000000018113,4.881000000000181,5061.332248910431,5061.332248910431,0.0,2.714923321535096,0.029099327303797568,0.029099327303821722
1,2,CHL_maxRE_high,25.438882480995105,94404.13441219501,89908.69944018572,70369.76866304046,67018.82729813376,3.2151423994952433,10.067142399495339,18709.921486177092,17818.972843978183,0.0,0.2537374900323696,5.134737490032551,5324.444263058837,5070.899298151274,0.0,2.4098629919862926,0.02680344624034345,0.026803446240366555
2,3,CHL_maxRE_high,22.5157738148605,95107.90331860584,86265.67194431368,62283.7813651906,56493.22572806403,4.796817006511108,14.863959406006447,27624.871331316954,25056.57263611515,0.0,0.3499060535209659,5.484643543553517,5687.277861250721,5158.528672336254,0.0,2.0313834107297266,0.02342777770206835,0.02354799267130299
3,4,CHL_maxRE_high,20.001833328812616,95174.48972858835,82215.30264860239,55329.64685995028,47795.82927109407,7.156589206613737,22.020548612620185,40925.49000253768,35352.977002516076,0.0,0.48252328134475664,5.967166824898273,6187.628331383931,5345.1059983880195,0.0,1.7186424289300013,0.019421024393717817,0.020904167150921717
4,5,CHL_maxRE_high,19.04254489483268,97150.27764382835,79925.77384429601,52676.0355926027,43336.70484425949,10.677240554037976,32.55478916665816,60503.51978112046,49776.39545754738,0.0,0.665403512448072,6.489570337346345,6729.332438021384,5536.238450457481,0.0,1.5583012327898849,0.01579636774558832,0.019496855117419606
5,6,CHL_maxRE_high,18.780795861542284,101925.42668695917,79861.23883769507,51951.97788550114,40705.73407308086,15.929860238929956,48.46364940558812,90070.35356504165,70572.47884127576,0.0,0.9175968321036532,7.386167169449999,7659.054720462889,6001.069783896442,0.0,1.4636967857998386,0.012480437739082806,0.018328000004790353
6,7,CHL_maxRE_high,17.88888188018367,101004.15841602876,75370.85813436566,49484.73976753622,36926.27471309233,23.766482168079207,72.23013157366732,134240.684898557,100172.46592634922,0.0,1.2653734621701969,8.651540631620197,8971.178365412126,6694.431422243941,0.0,1.3277949861333758,0.009234061444612739,0.017616821925607904
7,8,CHL_maxRE_high,17.338445592483623,102635.89407014583,72941.41371686547,47962.10707098872,34085.774049053565,35.458294434072634,107.67042600773996,200106.9555834475,142212.27736233358,0.0,1.7449602513271072,10.378500882947304,10761.942473715348,7648.311592003872,0.0,1.2256562632558667,0.006663117678675015,0.01680329734235013
8,9,CHL_maxRE_high,16.64349298406131,102670.88225200833,69491.69444237177,46039.70916994138,31161.487382569412,52.90184030104009,160.47326630878004,298241.7546232557,201861.75892952058,0.0,2.4063143172682984,12.6858152002156,13154.502269323288,8903.484923773689,0.0,1.12050476330243,0.004631587247834994,0.016124297619935644
9,10,CHL_maxRE_high,16.371372110045026,106561.09726338251,68690.23341792828,45286.960578598395,29192.378577368414,70.3847385763309,230.427004885111,428251.73208153824,276054.8848854748,0.0,3.3183269298464166,15.573142130062017,16148.503683619263,10409.469458036918,0.0,1.0496995488850116,0.0033254464087357845,0.015281641896576204
