,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX_maxRE_high,143.31047743655543,374452.1939849834,374452.1939849834,353009.29491131176,353009.29491131176,1.0820000000000602,8.61500000000006,15080.453283056446,15080.453283056446,0.0,0.9090000000001307,8.126000000000131,6362.445790725617,6362.445790725617,0.0,8.772633987841008,0.02342791450753318,0.02342791450754009
1,2,MEX_maxRE_high,144.03136575388302,379910.9161654542,361819.9201575754,354785.02185857756,337890.49700816907,1.5809022624481328,10.195902262448193,17847.803569060758,16997.908161010244,0.0,1.1694450665252132,9.295445066525343,7278.090737931874,6931.514988506547,0.0,8.396916741150012,0.023207447333166525,0.02320744733317361
2,3,MEX_maxRE_high,148.1914472297032,395379.57904738747,358620.9333763151,365032.33562670724,331095.0890038161,2.3098446981640155,12.505746960612209,21891.158770660037,19855.926322594136,0.0,1.504512391221069,10.799957457746412,8456.084650141926,7669.918050015352,0.0,8.228044056833838,0.022943568796630433,0.022943568796637497
3,4,MEX_maxRE_high,145.5109682889892,396200.1210200833,342252.56107986893,358429.6503394089,309625.00839167164,3.37489714346678,15.88064410407899,27798.875393663067,24013.713761937644,0.0,1.9355826110442793,12.73554006879069,9971.59528713924,8613.838926370145,0.0,7.694491083541434,0.022481909439220658,0.022481909439227916
4,5,MEX_maxRE_high,145.71943484214913,406474.23776424583,334407.3613477888,358943.15522935067,295303.4221167934,4.9310374580739085,20.487681562152897,35863.43873200018,29504.939799363576,0.0,2.4901623051015944,14.901702373892288,11667.643803029216,9598.9994317423,0.0,7.338585343024437,0.021945047242515014,0.021945047242522255
5,6,MEX_maxRE_high,145.46260543842328,420723.56842009997,329647.9247071313,358310.52062828396,280745.66863319697,7.204702655901031,27.59838421805393,48310.63771192126,37852.648766068225,0.0,3.203639188721254,18.01134156261354,14102.410080035694,11049.60730797652,0.0,6.976810611203582,0.021164430558450034,0.021164430558457122
6,7,MEX_maxRE_high,140.195532063324,429195.7010480417,320272.4402922998,345336.41090756917,257695.34683846106,10.526738196838338,38.04312241489227,66594.02557392644,49693.48720727723,0.0,4.121540202614147,22.050881765227686,17265.264566694426,12883.60624667219,0.0,6.403987064282593,0.019995435943335367,0.019995435943342275
7,8,MEX_maxRE_high,131.78564198801678,436285.8940402417,310060.23949352815,324620.76318334654,230701.91576699584,15.38053995524909,52.20966237014136,91392.38239083707,64950.85988128077,0.0,5.302436585733331,26.13931835096102,20466.40364441375,14545.090964991927,0.0,5.733173308725611,0.0184823105694447,0.01849051435324483
8,9,MEX_maxRE_high,118.87770592889592,444323.0794083416,300735.3496013636,292825.31117944245,198195.6968045456,22.472394096973286,74.37505646711465,130192.63661950086,88119.50111037564,0.0,6.821681304452739,32.653999655413756,25567.228975872466,17304.90694887088,0.0,4.925361261289764,0.016222118306359667,0.01637772635580926
9,10,MEX_maxRE_high,110.02231159257268,465597.93798560835,300128.5821981441,271012.27582610666,174696.9294019853,32.83425015760439,106.76230662471903,186886.12622697756,120468.46328331444,0.0,8.77621732332025,40.983216978734006,32088.788623767738,20684.7192575089,0.0,4.34139339256873,0.01374510639196744,0.014465111455804475
