,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,USA_maxRE_high,474.5605786657408,1441501.1822344584,1441501.1822344584,1261958.0287400945,1261958.0287400945,10.925600000000054,59.33200000000005,104690.92118557202,104690.92118557202,0.0,1.5566000000001903,49.963000000000186,74852.23230894654,74852.23230894654,0.0,48.44025893318849,0.033604036909700256,0.033604036909703865
1,2,USA_maxRE_high,468.2168582015105,1452222.6914922919,1383069.2299926588,1245088.719885097,1185798.7808429494,14.192908043854521,73.52490804385457,129734.21346314976,123556.39377442833,0.0,1.7004440533148624,51.66344405331505,77399.75814420641,73714.05537543468,0.0,45.51688620265661,0.03291005628322246,0.032910056283226116
2,3,USA_maxRE_high,447.278950826581,1431859.7659386252,1298739.0167243765,1189410.348135177,1078830.247741657,18.43730676038929,91.96221480424387,162266.71917551628,147180.69766486736,0.0,1.8575806105958614,53.521024663910914,80182.69862810282,72728.07131800709,0.0,41.41089905956346,0.031885466230161696,0.031885466230165506
3,4,USA_maxRE_high,432.32871531245877,1430880.0834424584,1236048.0150674514,1149654.4758887987,993114.7615927425,23.95099577382851,113.91321057807238,200999.1058893082,173630.58493839385,0.0,2.029238020583528,53.55026268449444,80226.50166452923,69302.6685364684,0.0,38.120710123737425,0.03084080040503316,0.03084080040503699
4,5,USA_maxRE_high,425.92883213502853,1455002.1798421668,1197033.8941837335,1132635.818373116,931822.2908134909,31.11355720296311,139.7917677810355,246661.64874192953,202929.1488562313,0.0,2.216758142657869,50.53202082715231,75704.7127273085,62282.45451416518,0.0,35.767998632875845,0.0298805228545861,0.02988052285458994
5,6,USA_maxRE_high,404.388011401598,1462507.7210146668,1145913.0680771442,1075354.1711140191,842568.1312888345,40.41808745504679,177.11185523608225,312512.6959743665,244861.87464951837,0.0,2.421606836258109,49.85562766341042,74691.37209074562,58522.64444253115,0.0,32.34197771952191,0.028222787135901563,0.02822376201171362
6,7,USA_maxRE_high,371.50563480768244,1449077.4755909585,1081323.9232053098,987912.9022597526,737195.818202203,52.50514375026936,225.08479898635164,397160.6376112459,296367.3827235317,0.0,2.6453854196204363,47.96881308303086,71864.63463914189,53626.49684139358,0.0,28.29726148169157,0.026027897008046093,0.02616908853529434
7,8,USA_maxRE_high,353.20992690554345,1458769.6969363752,1036720.3885722571,939260.7037490751,667515.0462793466,58.16920543499976,274.3784044213514,484138.87804723723,344068.46181831515,0.0,2.889843187407687,41.983056270438546,62897.05343943377,44699.76159960211,0.0,25.622565051432712,0.024257285698348955,0.024715019916526776
8,9,USA_maxRE_high,326.6924215155999,1436060.3356950835,971982.1614465624,868744.9880883163,588000.8035033153,63.986125978499594,338.107330399851,596588.1460115103,403794.3401403078,0.0,3.1568910850823566,44.882747355520905,67241.2351483937,45511.51469985971,0.0,22.570410842474786,0.021758667661999194,0.023221013448316934
9,10,USA_maxRE_high,317.3100759300398,1448915.2188255417,933983.6688986048,843795.325447985,543917.990246669,70.38473857634933,406.89906897620034,717970.7132857478,462810.3233672447,0.0,3.448616646916518,46.73836400243742,70021.23331366286,45136.31131855373,0.0,20.878292055618353,0.01984883944258397,0.022354022613948876
