,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,slow_fast_2055,100.2598529089626,56.90897009,143732.09574078,54.6205154141747,94111.78078373427,13.295489491008595,65.69281987070217,73.09181987070217,3.117609028794717,0.0,7.399,0.0
1,2,slow_fast_2055,102.59398456214376,58.14726887,148745.32465298002,55.57746309390623,96302.78027247265,12.957161330665008,5.19491800426626,78.28673787496842,3.1975415684723787,0.0,7.399,0.0
2,3,slow_fast_2055,104.5426879662526,59.57792659,152034.93014428,56.75459718715227,98131.9865026726,12.574546527369096,2.6554543668914024,80.94219224185983,3.1544927214493628,0.0,7.399,0.0
3,4,slow_fast_2055,106.63423432094898,60.8915819,155483.369807115,58.320315103705695,100095.27635719637,12.215353108852248,2.492343069577952,83.43453531143777,3.1010485932122633,0.0,7.399,0.0
4,5,slow_fast_2055,109.03500203868376,62.07380229,158382.60613869003,59.33415955244478,102348.82569532767,11.895590563642028,1.4475144696102134,84.55804978104798,3.006877512939809,0.0,7.075,0.0
5,6,slow_fast_2055,110.24491295081543,63.70655604,160921.01445153402,61.05224541288916,103484.5432056435,11.454848020987612,2.6359155206631906,87.09996530171117,2.957114532184672,0.0,6.981,0.0
6,7,slow_fast_2055,112.86745034563013,64.96367652,164075.45870617,61.92525851571185,105946.26299912881,11.168894484629462,1.0095239037876578,88.02748920549882,2.850836104764098,0.0,6.899,0.0
7,8,slow_fast_2055,118.46295182998773,66.47422342,169633.36073088,63.541839031197085,111198.64063376494,11.164382942960259,1.2296826687062685,88.0431718742051,2.755921499421191,0.0,5.685,0.0
8,9,slow_fast_2055,114.51058854106405,67.81195929,173385.81622056,65.2653446570888,107488.64169966798,10.277997842541492,20.584087488802037,108.32025936300715,3.291616283885601,0.0,5.378,0.0
9,10,slow_fast_2055,118.41010524979127,69.52513481,177528.681454134,66.75970777141427,111149.03467857474,10.121907018115635,5.3687690503048075e-14,107.87325936300721,3.134872651319621,0.0,4.931,0.0
