,year,scenario,Annual_Emissions,Peak_Annual_Demand,Total_Annual_Demand,Peak_Annual_Fossil_Gen_GWp,Total_Annual_Fossil_Gen_GWh,Annual_NPV_OPEX_PP_BUSD,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_payments_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_payments_BUSD
0,1,fast_slow_2055,101.20269495955549,57.0251426,125259.79660752,54.34012841723859,82011.6314784634,13.420520061188277,66.31504547989692,73.71404547989692,3.1471382251511977,0.0,7.399,0.0
1,2,fast_slow_2055,102.30573484354834,58.2449726,128128.54118435,55.72685146973032,82905.50194810095,12.920756680594154,4.210252967480985,77.92429844737791,3.1823746591862863,0.0,7.399,0.0
2,3,fast_slow_2055,103.90727927431416,59.3568174,130671.42750158202,57.02031952668168,84203.34556486327,12.49811864593511,2.9921497792630816,80.916448226641,3.153895846316143,0.0,7.399,0.0
3,4,fast_slow_2055,105.43889306515437,60.76753263,133647.86081304,58.38360216558292,85444.51948648591,12.078422266537931,3.7894012687850473,84.70584949542604,3.150840814629745,0.0,7.399,0.0
4,5,fast_slow_2055,107.91971057042942,62.1781037,136837.42070835002,59.54853393141983,87454.8996556036,11.773913575359218,2.826430308380388,87.20827980380643,3.105261277046943,4.747230310977265e-14,7.075000000000047,3.2288888245506547e-15
5,6,fast_slow_2055,109.9663123520177,63.47012443,139710.477478694,60.43304396391199,89113.40441342416,11.425900403974135,2.6703269299929384,89.78460673379936,3.0520329583712127,2.4996583227248703e-13,6.981000000000297,1.9256411672139557e-14
6,7,fast_slow_2055,109.27562426000277,65.09629169,142988.65176896,62.14117199052303,88553.69147997408,10.813462281326704,12.017865307181681,101.72047204098104,3.317838007952304,1.03581895072756e-12,6.899000000001333,8.243576685471975e-14
7,8,fast_slow_2055,104.26730083000294,66.22752027,145796.978217631,63.19092600859078,84495.09624562635,9.826532742199621,37.202642239673885,137.70911428065494,4.395397914373561,4.20269508507115,9.887695085072483,0.249678791792317
8,9,fast_slow_2055,99.4815695600031,67.95038888,149235.03178542003,63.30161509110028,80616.88302781493,8.929055123524144,4.515111000695374e-12,137.40211428065942,4.18609325178449,31.209915970399514,40.790611055472,2.0254562999144556
9,10,fast_slow_2055,94.91843044000315,69.38349713,152597.21048464,65.11132417930408,76919.05181843931,8.113796750644156,7.10527381790315e-12,136.95511428066655,3.986755477890216,31.18621737316706,71.52982842863905,3.6582183926856353
10,11,fast_slow_2055,90.57788347000215,70.83001347,155877.96628932998,63.99211599708949,73401.602617497,7.374056240884583,8.594292736314378e-12,136.25311428067516,3.796909978943331,32.01399679843781,102.84182522707687,5.208902438151611
