,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_2035_highIR_MEX_FF_cost,27.79237200055476,93298.49082726167,93298.49082726167,76880.05908818117,76880.05908818117,1.4702732654801736,6.167273265480173,11461.96149830139,11461.96149830139,0.08809042063015037,0.08287419036065798,4.779874190360658,4956.470269495213,4956.470269495213,0.008865716472899179,1.9105463484003904,0.02151698775709421,0.02151698776371687
1,2,CHL_2035_highIR_MEX_FF_cost,27.862541000506,94404.13441219501,89908.69944018572,77074.16259479446,73403.96437599472,0.4267031272369907,6.593976392717163,12254.995081387544,11671.423887035755,0.10635104646780041,0.11428417968478967,4.894158370045448,5074.97676492215,4833.311204687762,0.019998113556992,1.824161918707846,0.021694353163599817,0.021694353170243222
2,3,CHL_2035_highIR_MEX_FF_cost,27.705855000504833,95107.90331860584,86265.67194431368,76640.73327331955,69515.40432954153,0.5239546187298699,7.117931011447034,13228.77188812539,11998.886066326882,0.12533347048608434,0.15759880932587558,5.051757179371323,5238.398181851246,4751.381570840132,0.03410385379442305,1.7275273129934365,0.02187387629696036,0.021873876302638894
3,4,CHL_2035_highIR_MEX_FF_cost,27.123258630464104,95174.48972858835,82215.30264860239,75029.13843167032,64812.99076269976,0.7817116923263814,7.899642703773415,14681.593732483763,12682.512672483543,0.15038805596602003,0.21733003436455395,5.269087213735878,5463.757639254664,4719.799278051756,0.05210244511254252,1.610667633443851,0.022053779219747743,0.022053779237085083
4,5,CHL_2035_highIR_MEX_FF_cost,27.091278335068125,97150.27764382835,79925.77384429601,74940.67361838804,61653.87764841854,1.166271186177447,8.922913889950863,16583.35719153716,13643.169001835375,0.1828380725763484,0.2996998773968521,5.4257870911327295,5626.24691253247,4628.727258730647,0.07519060041240602,1.5321605134408485,0.022398146416050722,0.022398146434178836
5,6,CHL_2035_highIR_MEX_FF_cost,27.51552308866003,101925.42668695917,79861.23883769507,76114.23166242064,59637.49214814864,1.74001296515714,10.641926855108002,19778.166238186073,15496.710772381834,0.2240652496167214,0.4132885579694841,5.818075649102214,6033.028868961366,4727.035981890842,0.10492601560392,1.4820513173736405,0.022677366485725436,0.02267736650410508
6,7,CHL_2035_highIR_MEX_FF_cost,25.224692119630323,101004.15841602876,75370.85813436566,69777.26912260852,52068.872554548005,2.5960043892827964,13.237931244390799,24602.875810555593,18359.044731375427,0.2826610882490962,0.569928268320114,6.388003917422328,6624.013569640359,4942.940913195583,0.14288321378779895,1.293963551853071,0.022813961456393035,0.022813961475993193
7,8,CHL_2035_highIR_MEX_FF_cost,24.979186046787156,102635.89407014583,72941.41371686547,69098.14316004893,49106.760290505124,0.9288418975333169,14.148773141924117,26295.68790289505,18687.854455515997,0.29222963055113177,0.7859356973616115,7.155939614783939,7420.32123408324,5273.483764631061,0.191439446028143,1.2203520999793422,0.02332100070060257,0.023361504661440557
8,9,CHL_2035_highIR_MEX_FF_cost,24.126666453821663,102670.88225200833,69491.69444237177,66739.87893273824,45172.17707870636,1.0945989982238704,15.144372140147986,28146.022223130643,19050.33572514899,0.3035152885850696,1.0838116912370228,8.140751306020963,8441.517540569981,5713.551346713357,0.25364763620538633,1.1225737725829312,0.02401817599796582,0.024171761976049713
9,10,CHL_2035_highIR_MEX_FF_cost,24.34912651981111,106561.09726338251,68690.23341792828,67355.25436804429,43417.79751975908,1.633081970849757,16.346454110997744,30380.107964847724,19583.288469800158,0.3239549840939527,1.4945850989896268,9.204336405010588,9544.397598135354,6152.403791685777,0.33342673538395673,1.0789756861635325,0.025108745937972264,0.025278082767269346
10,11,CHL_2035_highIR_MEX_FF_cost,22.859325740495315,106746.2510468,65532.938283419644,63234.12458678161,38820.267159872805,2.43646918115583,18.604923292153572,34577.50374823254,21227.587825395232,0.356806480728664,2.0610449552181778,11.087381360228767,11497.013078158609,7058.168704813009,0.43580501339603706,0.964722459189999,0.02618742486413261,0.02681604090014257
11,12,CHL_2035_highIR_MEX_FF_cost,22.496763000524023,112174.787227525,65586.27484961168,62231.19310358151,36385.28974280284,3.635079057130128,22.1110023492837,41093.59950610351,24026.576545231368,0.4065648351548995,2.842197683999972,13.80057904422874,14310.451909483676,8367.024848942565,0.5672307729793353,0.9042108353983931,0.027304982858657602,0.028634137978393617
12,13,CHL_2035_highIR_MEX_FF_cost,20.83873500054363,111345.93981244584,62001.585649716246,57644.70834417316,32098.73056596779,3.6911605998141765,25.53916294909788,47464.88274808331,26430.222763543286,0.4499678691965766,3.9194136225741087,17.456992666802847,18101.954507985836,10079.845612194464,0.7359688525841535,0.7976855532948653,0.02891206821388914,0.03199308943939362
13,14,CHL_2035_highIR_MEX_FF_cost,19.588179000583388,112761.16642831666,59799.65408060373,54185.38435527066,28735.666216521546,4.207164333847989,29.356327282945866,54559.1347365832,28933.874023543405,0.4947304934443454,5.404903125036173,22.47189579183902,23302.137034498097,12357.620785056768,0.9526061752894213,0.714110041146776,0.030865833745639636,0.0361448028941294
14,15,CHL_2035_highIR_MEX_FF_cost,18.289922000565333,113280.10695893875,57214.15173686459,50594.108487523845,25553.46280742686,0.8288351192035018,29.878162402149368,55528.972424536914,28045.904434405456,0.48322651357418533,7.341758419109796,29.506654210948817,30596.79994167557,15453.463114755481,1.225850671010443,0.6350291042273648,0.033946563474763644,0.04097074268605513
15,16,CHL_2035_highIR_MEX_FF_cost,17.40292200056335,117642.14743153541,56587.88437070722,48140.46356617608,23156.386085356084,1.236576767421299,30.82073916957067,57280.76420549267,27553.02697455919,0.47682666728333845,8.025740343461369,37.238394554410185,38614.19529929929,18574.088167986916,1.4919053147536216,0.5754593506071841,0.036721460196926875,0.04496000090721093
16,17,CHL_2035_highIR_MEX_FF_cost,16.638529000562063,121856.78840625835,55823.998801775,46025.977655958755,21085.030675113438,1.844905055753379,31.818644225324043,59135.38436510626,27090.600935045273,0.4769878573502157,8.376688913853862,44.76808346826405,46422.074283923444,21266.487104206,1.7361207495579942,0.5239840973072438,0.03941545498451593,0.049030753134231296
17,18,CHL_2035_highIR_MEX_FF_cost,15.645984000560128,120833.59920888333,52719.29908693368,43280.37111880157,18883.08255770173,2.752497664881226,33.88714189020527,62979.715493888994,27477.841256657943,0.48572144981006543,4.998192148442353,49.082275616706404,50895.65753508236,22205.606796332995,1.8284891901227172,0.4692634846414457,0.04059523064362479,0.05279801083819993
18,19,CHL_2035_highIR_MEX_FF_cost,14.935364000553726,122766.05182807083,51011.83025109535,41314.63362836194,17167.083620867088,4.106576309472096,37.28471819967737,69294.15741503486,28793.15366758574,0.505790859712753,5.703589271973479,54.07686488867988,56074.77569781551,23300.22751950352,1.9271847196374414,0.4266191950621679,0.04128754813213244,0.056057482359221165
19,20,CHL_2035_highIR_MEX_FF_cost,14.276228000525576,124282.192960175,49182.68400683695,39491.31265999333,15628.053426720904,6.1267877538521525,43.22750595352952,80338.90952752731,31792.83456973106,0.5409777652824976,4.205413152557976,58.09827804123786,60244.76301091395,23840.898455839313,1.9627259505652006,0.3883727557074412,0.040583833433523904,0.05880273779188439
20,21,CHL_2035_highIR_MEX_FF_cost,13.7632830005839,127410.57502744166,48019.70573464411,38072.389442366744,14349.083168673082,9.140832984211459,50.89806567226081,94594.74940714295,35651.766186559165,0.5632393379357397,4.8031069022632105,62.81851075314041,65139.388302270934,24550.350371906465,2.000991899480147,0.3565890658246945,0.03917871629069601,0.060825451938022565
21,22,CHL_2035_highIR_MEX_FF_cost,13.101040434553731,127482.87813020418,45759.005727289885,36240.475001739236,13008.241792835617,13.63762398806586,64.10898653308968,119147.426051371,42767.058847762164,0.6391060990694486,3.3176333722707336,66.02185994572635,68461.08766161447,24573.584691151453,1.9879616104819025,0.3232678167937576,0.036719059812262346,0.06447551644649437
22,23,CHL_2035_highIR_MEX_FF_cost,13.007245000581685,133801.64498294168,45740.075088596524,35981.015373542345,12300.1054670112,20.34659077143118,83.93162268579098,155988.06576306207,53324.50017215423,0.751492829952817,4.575043286118144,70.43930442251862,73041.73797674643,24969.30871129356,1.998422376220824,0.30566992096069534,0.033728370708367074,0.06680323810609845
23,24,CHL_2035_highIR_MEX_FF_cost,12.605775670839305,132415.26990309168,43110.612329782954,34870.459362271715,11352.820988308442,30.356003097178256,113.50591409064286,210952.2897936906,68680.01244895313,0.9112284568702416,1.0516681142206037,71.27364250237467,73906.90131009396,24061.966366921228,1.9194755989584815,0.2821289543804528,0.029903828203376722,0.07220572480847544
24,25,CHL_2035_highIR_MEX_FF_cost,12.388413600324895,133864.8209693125,41507.185298315795,34269.18614873155,10625.774936224327,45.289500063617496,157.62914296808293,292955.9125948252,90836.22762322413,1.1351200700176887,1.4502588457901222,72.42420147076793,75099.96855266755,23286.090311418357,1.8485980390851762,0.2640611329401105,0.026034700549730404,0.07824619324825088
25,26,CHL_2035_highIR_MEX_FF_cost,12.156108403541072,134020.4498010167,39576.610290420984,33626.57682935159,9930.02134041526,67.56946260166022,223.458592604586,415300.8427945773,122639.48996565516,1.4458843631695146,1.999918692440956,74.0108316052394,76745.21794145947,22663.075572661786,1.786514203886536,0.24677096033065926,0.02241262351766797,0.08790974016864701
26,27,CHL_2035_highIR_MEX_FF_cost,12.176649000571599,138825.72614587084,39043.44925126677,33683.39681986483,9473.143277239678,100.80995086853991,321.67253908384316,597832.8021683333,168134.93665918914,1.8713722990431574,2.7579040720236727,76.19880740894297,79014.03017155989,22221.963916830686,1.7343565931604976,0.23541708358268326,0.019222064418936893,0.0983813174667633
27,28,CHL_2035_highIR_MEX_FF_cost,11.947334057548499,138560.64722700417,37113.23643933799,33049.05922647529,8852.134958350698,150.40294539598088,471.1466425822906,875632.4626571783,234536.68318476347,2.4780340245493715,2.3108596910339454,77.7237314026153,80595.29363935557,21587.313920631925,1.6689216524018415,0.21998440584997309,0.016480503541166567,0.11766529954721142
28,29,CHL_2035_highIR_MEX_FF_cost,11.989359000535373,141433.389952175,36078.75785637633,33165.30983293466,8460.259512260567,224.39298689151062,694.4450304755775,1290635.5628102815,329232.91994348506,3.3016953313524113,3.186694226403928,79.8266139377822,82775.86876554084,21115.597431080358,1.6109665999894407,0.21024590913918723,0.014277543277869387,0.14199235630213497
29,30,CHL_2035_highIR_MEX_FF_cost,11.92710500068442,143118.78691601666,34770.182759916774,32993.10102733427,8015.552515897044,334.7820910920019,1027.5940395967295,1909797.5411058222,463978.28663581074,4.412068404769152,2.667971163639811,81.00000000243237,83992.60646876474,20405.694740233204,1.537003229189993,0.1991944955725574,0.012486336209410313,0.17682582147999093
