,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_2035_midpoint,22.192195425260945,3073.2095480380003,3073.2095480380003,2018.2582853809943,2018.2582853809943,2.154999999997889,6.851999999997888,411.52918897501627,411.52918897501627,0.12911535625031603,0.18400000004210723,4.881000000042107,643.4220737256907,643.4220737256907,0.01968395497183845,3.879765177264066,1.3108655382776786,1.310865538296319
1,2,CHL_2035_midpoint,20.545911172120896,3098.8987612339997,2951.33215355619,1868.5377746193562,1779.5597853517677,2.4782499999665264,9.330249999964416,560.3721855546826,533.6877957663643,0.25338581650041425,0.20153520004903067,5.082535200091138,669.9888011059716,638.0845724818777,0.039122614588107604,3.420907094041215,1.2582167414129053,1.2582167414315868
2,3,CHL_2035_midpoint,19.375880081227166,3132.759093719,2841.5048469106573,1762.1298731883137,1598.3037398533456,1.8526308740527413,11.182880874017156,671.6406737434208,609.1978900167082,0.32634583244855764,0.22074150461685332,5.303276704707991,699.0873376060082,634.0928232254042,0.058350734536390246,3.0724725559114123,1.2166300223208604,1.2166683884615104
3,4,CHL_2035_midpoint,18.188683250024837,3125.696478469,2700.0941396989524,1654.1608419574163,1428.926329301299,1.4886899078295832,12.67157078184674,761.0509700663323,657.4244423421508,0.36988538961221246,0.24177817000997306,5.545054874717964,730.9589646349116,631.4298366352762,0.077402118403994,2.746872713693529,1.1752825860850922,1.1829810578626228
4,5,CHL_2035_midpoint,17.975992985905165,3193.6688480149996,2627.439264927679,1634.8178306170055,1344.968675082506,1.7119933939804524,14.240564175827192,855.2842711364042,703.6444865144906,0.41041811653919247,0.26481962961507155,5.666874504333036,747.0174441896645,614.5731000475434,0.09630968071814568,2.5854781164002723,1.1610926198410723,1.176889587871301
5,6,CHL_2035_midpoint,18.22812193527221,3348.119748371,2623.3394313184704,1657.7475737673947,1298.8886014463556,1.9687924030602126,16.188356578887404,972.2681339389894,761.7975237646584,0.4473735110294302,0.29005694032063056,5.935931444653667,782.4850070845418,613.097477919996,0.11510550725792702,2.496896854847043,1.1442122202978058,1.1662142674372797
6,7,CHL_2035_midpoint,17.157395611381034,3327.030708502,2482.6815397670593,1560.3708954731374,1164.3727866657366,2.264111263096746,18.452467841984152,1108.2500183306547,826.9932270011591,0.4864801754026692,0.31769936673599036,6.253630811389657,824.3647008695954,615.1536322326398,0.13356828021648157,2.238312620233769,1.0966198088510748,1.1513200666570829
7,8,CHL_2035_midpoint,16.9536972594209,3369.113513659,2394.366073246545,1541.8456491564068,1095.7609167978155,0.46384613380286277,18.898313975787012,1135.0274114788735,806.6427905239544,0.4748144985520359,0.34797611638909365,6.58360692777875,867.8627375598614,616.7738446994108,0.1517188295692806,2.1064177357243334,1.0848584537651802,1.1414090328050859
8,9,CHL_2035_midpoint,16.71557699819172,3371.891102408,2282.2286225840367,1520.189919250755,1028.9243751081224,0.3563872380495627,19.155701213836576,1150.486016459476,778.6942214033573,0.4604095185998591,0.38113824028411336,6.865745168062864,905.054700608285,612.5766461607759,0.16957637624556135,1.977935623749514,1.0775665833122625,1.1427082689209875
9,10,CHL_2035_midpoint,17.852920027127755,3503.9809734150003,2258.6973777208254,1623.6250209828536,1046.6031651198555,0.4098453214971889,19.134546535333765,1149.215472430391,740.7945401840781,0.44724210508520557,0.4174607145881399,6.8522058826510035,903.2699280009529,582.2558493408219,0.18715854618491806,2.0119201510820686,1.116754302402198,1.171613704631164
10,11,CHL_2035_midpoint,17.609516381759917,3509.122000248,2154.2965042437063,1601.4887963082829,983.1751974506919,0.4713221195899553,19.42786865492372,1166.8323162691713,716.333823617307,0.43528397198022356,0.45724472069297517,7.131450603343978,940.0804621668359,577.1278551189428,0.20448137960126322,1.8899904545660458,1.111181072663872,1.1742839489198522
11,12,CHL_2035_midpoint,18.352765756464816,3684.7981174,2154.4251437084745,1669.0832447103955,975.8784049433581,0.542020437488572,19.840889092412294,1191.6382073476639,696.7261799202687,0.4245090140794836,0.5008201425781484,7.503270745922127,989.0944525762911,578.3030413716448,0.22155933525494592,1.8759635871027809,1.120451104719657,1.1706287144866698
12,13,CHL_2035_midpoint,17.745566947810225,3655.02842764,2035.2565930126416,1613.861848045618,898.6586647609864,0.6233235030716519,20.201212595483945,1213.279135396082,675.5992212826557,0.41489308416714565,0.5485483021689552,7.788819048091082,1026.7359360282096,571.7249877680679,0.23840528969047067,1.7275215065588685,1.1094309789097505,1.1697885606120706
13,14,CHL_2035_midpoint,18.05157500417201,3714.23990253,1969.7407217303567,1641.691600051248,870.6241066822125,0.7168220284988421,20.528034623982784,1232.9079743230138,653.8374221643347,0.40641375033984894,0.6008249553687766,7.99964400345986,1054.5272554249184,559.2383183892182,0.25503053161245726,1.673629741078773,1.1206383808727474,1.1854727869868014
14,15,CHL_2035_midpoint,17.61806993903101,3720.316572388,1879.0126757113112,1602.2666953624778,809.2535599796207,0.8243453327376659,21.04537995672045,1263.979589209413,638.3955837501146,0.3990500300099091,0.6580835736178007,8.35072757707766,1100.8077145493276,555.982699029104,0.2714447511362101,1.5556550934674913,1.1110573445211278,1.1847444689381292
15,16,CHL_2035_midpoint,18.26961433426103,3868.3521177189996,1860.7435100592515,1661.521079562328,799.2200481080466,0.9479971326088742,21.699377089329325,1303.2584726849823,626.8896085933999,0.39278209644800594,0.720798938186726,8.777526515264386,1157.0691072700113,556.5700242697301,0.28765602382943023,1.536367339146368,1.1180855287415592,1.1913546641112371
16,17,CHL_2035_midpoint,19.212975582885562,4002.83945802,1833.746876400773,1747.314603801781,800.464952545434,1.0901967024534611,21.942573791782785,1317.8647980968476,603.729048435036,0.3875909528418935,0.7894910769979817,8.720017592262368,1149.4881790800155,526.5937792294689,0.30367078970665795,1.5387604604431735,1.1549804830177917,1.2161014323682173
17,18,CHL_2035_midpoint,18.885068883305863,3980.2034044399998,1736.5495613746284,1717.49329047172,749.3366336266831,1.2537262077681413,22.51229999955093,1352.0823935756434,589.9090696940125,0.3834580691622421,0.8647295766384935,8.90074716890086,1173.312272295197,511.91225793556254,0.3194938268140246,1.4404747887083604,1.1578842700328098,1.234302050664146
18,19,CHL_2035_midpoint,18.797218974072667,4029.9036508400004,1674.5082040498976,1709.503823734327,710.3341483365538,1.4417851388577083,23.245085138408633,1396.0932625025475,580.1055866911395,0.38036497537889674,0.9471383052952677,9.138885474196128,1204.7040859041463,500.5794306964234,0.33512821946007076,1.3654990111523007,1.1619039292356843,1.2427482892936952
19,20,CHL_2035_midpoint,18.23543800479562,4093.7309791999996,1620.028359360463,1658.4129301077226,656.2903111991068,1.65805290959532,24.719138048003956,1484.624464836496,587.5163141534736,0.37829280513932917,1.0374005857953408,9.99228605999147,1317.2008641517227,521.2611101565126,0.35057532078446124,1.261608741561751,1.1277056553931253,1.2286679155859468
20,21,CHL_2035_midpoint,18.085846384148777,4189.56112652,1579.0015264389476,1644.808393827804,619.9109849749314,1.9067608458593541,24.470898893865424,1469.7152911974847,553.9202360699612,0.3285595620665749,1.1362648616542008,10.944550921603563,1442.7301065178926,543.7498037708373,0.3584160342330358,1.1916755501168088,1.0937773061494842,1.1897715834722835
21,22,CHL_2035_midpoint,17.19103128076395,4190.80733902,1504.2582960224977,1563.4298748627632,561.1812162335491,2.1927749720812173,24.185423865980113,1452.569741475024,521.3888178109426,0.2816321905088188,1.2445509029728121,11.987566624527346,1580.222285681566,567.2087238808725,0.3661592407923687,1.0787773580062923,1.0465456540843578,1.1477874470579998
22,23,CHL_2035_midpoint,17.25222167535533,4395.21270098,1502.5028952282948,1568.9948051683623,536.3606718823837,2.230320128558664,24.563113120486037,1475.253651660583,504.3152706402381,0.2528246299989759,1.3631566040288685,13.12998172393936,1730.8174695194843,591.6797288297083,0.3737877196879767,1.0310639982485676,1.015511739890739,1.103276641396187
23,24,CHL_2035_midpoint,15.974413151805331,4361.69833162,1420.0438213171713,1452.7851381946425,472.9851544841889,1.432861583245317,24.50728479590177,1471.9006182195435,479.2086062768282,0.228299653304402,1.4930654283956295,14.381268982325018,1895.7643743771132,617.2064828489772,0.3812826702176588,0.9092351286367725,0.9677693490509416,1.069556748431921
24,25,CHL_2035_midpoint,14.952740090267424,4409.373149880001,1367.2051182397179,1359.869584690986,421.65192038206914,1.64779081789186,24.443082219813178,1468.0446295931783,455.1935304996238,0.20578138794347195,1.6353545637242821,15.751803916434229,2076.430719267596,643.8345339700035,0.38862362060281597,0.8105555416144641,0.9239028356763505,1.0276150457728277
25,26,CHL_2035_midpoint,13.508133992337934,4401.465657319999,1299.765008139107,1228.4905944474451,362.7766775449617,1.7312129325104768,24.20550274926344,1453.7756735464068,429.30398582503454,0.1845176086228249,1.7912038536416166,17.252950829755214,2274.3145668249763,671.6113952960102,0.39578833114292705,0.6973776998005978,0.8729183382540294,0.9830112609321808
26,27,CHL_2035_midpoint,13.172450950888122,4564.91830058,1283.8409778429627,1197.9620655351248,336.91573175361737,1.9908948708664849,23.932286357033178,1437.3663740266704,404.2459754240359,0.1632413649931066,1.9619055808948902,18.897157043914113,2491.0567450543676,700.5866297818665,0.4028479063134486,0.6476643416743696,0.8418623291361588,0.9454080637153405
27,28,CHL_2035_midpoint,11.650489650991222,4554.97228987,1220.0416709343422,1059.5480445388196,283.7981626297116,1.5995776594929268e-09,23.468440224829894,1409.5079060472667,377.5343232523051,0.15113372035769335,2.1488751827555186,20.698056110280536,2728.45445286878,730.8119386696156,0.4097799387148877,0.5455546679618487,0.7947942092220711,0.9069102747835369
28,29,CHL_2035_midpoint,10.486263113253095,4658.751074870001,1188.4177562328373,953.6680353363147,243.274647761039,7.763594828522642e-10,23.11205298755669,1388.1033890133886,354.09634223406556,0.14084441003559536,2.3536629876687707,22.670580857665193,2988.4761622370515,762.3412537404525,0.41656028323867544,0.4676549645459709,0.7538798466682042,0.8625415199698596
29,30,CHL_2035_midpoint,8.714801799967013,4698.00008505,1141.3618371370658,792.563358477627,192.55035217180497,3.80025493710527e-10,22.702207666439527,1363.4881945293541,331.25444070871316,0.13083716897352843,2.577967070383032,24.831087213460087,3273.277940506073,795.2308335465858,0.42316294870993826,0.3701459603249328,0.7006225301978013,0.8096872069303461
