,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_2040_lowIR_MEX_FF_cost,28.542774,93298.49082726167,93298.49082726167,78955.84269010217,78955.84269010217,0.2969455262137381,4.9939455262137376,9281.31588824931,9281.31588824931,0.017791288818590212,0.18400000000000166,4.881000000000002,5061.332248910245,5061.332248910245,0.01968395496733408,1.9621316466917285,0.021432360510309233,0.021432360510309247
1,2,CHL_2040_lowIR_MEX_FF_cost,28.739112399332505,94404.13441219501,89908.69944018572,79498.95961951223,75713.29487572593,0.1805591473955044,5.174504673609242,9616.887526885348,9158.940501795569,0.026446075605839853,0.21886874501600198,5.099868745016003,5288.287265797769,5036.464062664541,0.04087510324478685,1.8815510909566633,0.0216761256913056,0.021676125691305673
2,3,CHL_2040_lowIR_MEX_FF_cost,28.744785064480325,95107.90331860584,86265.67194431368,79514.65150906175,72122.13288803786,0.2249717709179023,5.399476444527144,10035.000632218114,9102.041389766997,0.03551175899010896,0.2603452583960828,5.360214003412087,5558.251177326341,5041.497666509153,0.0638037756153802,1.7923071244006272,0.021927872540391174,0.021927872540391257
3,4,CHL_2040_lowIR_MEX_FF_cost,28.464441557051767,95174.48972858835,82215.30264860239,78739.15723258664,68017.84449418995,0.28030868798396513,5.6797851325111095,10555.958152828553,9118.633540938172,0.04494499454449039,0.3096817390000917,5.669895742412178,5879.3743431734565,5078.824613474533,0.08872645897267953,1.690311453525114,0.022185442956260706,0.02218544295626078
4,5,CHL_2040_lowIR_MEX_FF_cost,28.955638258195215,97150.27764382835,79925.77384429601,80097.91968032137,65896.75674668177,0.34925697672516026,5.88604210923627,10939.289557845477,8999.780591704464,0.0546669560157506,0.3683676824419704,5.895263424854148,6113.06840566182,5029.236505910043,0.11592908279816583,1.6376003019117884,0.022623444900868393,0.02262344490086847
5,6,CHL_2040_lowIR_MEX_FF_cost,30.247227265835747,101925.42668695917,79861.23883769507,83670.75035569754,65558.22227173914,0.43516466317368285,6.300206772409952,11709.020234419302,9174.323737376171,0.06455183799475468,0.43817484978547,6.312438274639619,6545.656096842621,5128.692828579994,0.14573069815623624,1.6291873816749902,0.023033325610743383,0.02303332561074345
6,7,CHL_2040_lowIR_MEX_FF_cost,29.354521715425903,101004.15841602876,75370.85813436566,81201.32257664774,60593.67713395192,0.5422032964114094,6.842410068821362,12716.712457578122,9489.4066304456,0.07594480530982675,0.5212107579897832,6.833649032629403,7086.123381803212,5287.774369968363,0.17807313290757726,1.50581347045584,0.02334896340885412,0.02334896340885419
7,8,CHL_2040_lowIR_MEX_FF_cost,29.276946383708417,102635.89407014583,72941.41371686547,80986.73146200285,57555.75803830713,0.67557051276947,7.499980581590831,13938.816226186655,9906.05645606565,0.08907767260122638,0.6199823070112063,7.435631339640608,7710.346381956705,5479.59922249296,0.21326413348609896,1.4303181430099705,0.02375413171758508,0.023754131717585166
8,9,CHL_2040_lowIR_MEX_FF_cost,28.55124030863826,102670.88225200833,69491.69444237177,78979.26243665541,53456.27360112209,0.8417424252937479,8.24272300688458,15319.213156143203,10368.646459385434,0.10421562365470817,0.7374714644981909,8.0741028041388,8372.406659210066,5666.774381864472,0.251640815738682,1.3284418552614858,0.024237404313858388,0.02423740431385847
9,10,CHL_2040_lowIR_MEX_FF_cost,29.37522710537159,106561.09726338251,68690.23341792828,81258.59842206443,52380.01706222416,1.0487880941321934,8.860511101016773,16467.380756999602,10615.020462715322,0.12166162222291022,0.8772252930425577,8.520328097181356,8835.118084318796,5695.195892988999,0.2935723963032508,1.3016958040133337,0.024995253868090185,0.02499525386809026
10,11,CHL_2040_lowIR_MEX_FF_cost,28.359366510245827,106746.2510468,65532.938283419644,78448.49561482426,48160.57117827474,1.3067613480567766,9.98927244907355,18565.19912101047,11397.42179501158,0.14176130568117412,1.0434630379593344,9.38579113514069,9732.556310965672,5974.945310133584,0.33946311447479083,1.196838354351306,0.025606402191977216,0.025606402191977316
11,12,CHL_2040_lowIR_MEX_FF_cost,28.897636629666405,112174.787227525,65586.27484961168,79937.47390662433,46737.785415090744,1.6281889833886003,11.48846143246215,21351.462298687235,12483.75779775232,0.1649083875391302,1.2412035086344688,10.49799464377516,10885.851022213936,6364.731636768911,0.3897553473908015,1.1614807053504195,0.026166213040997314,0.026166213040997435
12,13,CHL_2040_lowIR_MEX_FF_cost,26.99843422521823,111345.93981244584,62001.585649716246,74683.84557035,41586.75974696524,2.0286790465375955,13.254140478999746,24633.00089420392,13716.57661989402,0.19155058937029196,1.4764165991537073,11.711411242928868,12144.098218415462,6762.288298037163,0.444932919034013,1.033472566471833,0.026906296100176773,0.026934086562087473
13,14,CHL_2040_lowIR_MEX_FF_cost,25.724100170503043,112761.16642831666,59799.65408060373,71158.74604222656,37737.00231133909,2.5276787374493797,15.391819216449125,28605.905990127972,15170.322701116987,0.22219611048777976,1.7562035227041446,13.07761476563301,13560.777166999207,7191.56966300289,0.5055246008816412,0.9378022444390881,0.027713038065051394,0.027851715556139453
14,15,CHL_2040_lowIR_MEX_FF_cost,23.976573875147338,113280.10695893875,57214.15173686459,66324.68852304772,33498.474665401074,3.1494187366198974,18.234237953069023,33888.57998862659,17116.035724780526,0.2574206303320216,2.089011201124643,14.859625966757655,15408.626124215234,7782.403255030659,0.5721077968576782,0.8324705939098827,0.028460391437756118,0.029048740051995085
15,16,CHL_2040_lowIR_MEX_FF_cost,23.33600207103045,117642.14743153541,56587.88437070722,64552.72036754997,31050.96222507674,3.9240898107887445,21.864327763857766,40635.15142393612,19546.2026184289,0.297874817320215,2.4848872821441166,17.05051324890177,17680.457399536546,8504.602311246086,0.6453124003352698,0.771647462255383,0.02901494764819391,0.030303919274963276
16,17,CHL_2040_lowIR_MEX_FF_cost,22.96712003535636,121856.78840625835,55823.998801775,63532.30826675385,29104.882435709413,4.889308831528199,25.906636595385965,48147.83753281289,22057.07913275157,0.34429228785515775,2.9557834834190317,19.159296732320804,19867.15148898503,9101.37100625264,0.725824805338132,0.7232854334098158,0.029759431647422924,0.032126013275603646
17,18,CHL_2040_lowIR_MEX_FF_cost,21.5582348897868,120833.59920888333,52719.29908693368,59635.009639717435,26018.55717145025,6.091945394403359,31.314581989789325,58198.57782391,25391.846728234614,0.3974979244122975,3.515916421494262,21.991213153815067,22803.695211649938,9949.176686130431,0.81439204449932,0.6465871642677109,0.030288295901568767,0.035252311115038064
