,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL_2050_lowIR,28.298775305163094,93298.49082726167,93298.49082726167,78280.88647995476,78280.88647995476,0.7423326005924215,5.4393326005924205,10109.073841986114,10109.073841986114,0.044476351824504844,0.03664250349219009,4.73364250349219,4908.53051787282,4908.53051787282,0.003919942329514375,2.814824116046214,0.030688818055119048,0.0306888180592478
1,2,CHL_2050_lowIR,28.060710740220348,94404.13441219501,89908.69944018572,77622.34543066131,73926.04326729648,0.9249261650748611,6.364258765667282,11828.061737690166,11264.820702562063,0.0910330072464751,0.043586406311304324,4.777228909803495,4953.727257040514,4717.835482895727,0.008140033229180513,2.658232663805446,0.030668953294448208,0.03066895329873549
2,3,CHL_2050_lowIR,27.521418825630473,95107.90331860584,86265.67194431368,76130.54061966414,69052.64455298334,1.152432764177742,7.516691529845024,13969.873751489084,12671.087302937944,0.1395887010647697,0.051846206831377493,4.829075116634872,5007.488961326382,4541.94010097631,0.012706141702005885,2.4829949928361774,0.030548534264239754,0.030548534268695988
3,4,CHL_2050_lowIR,26.55765085801085,95174.48972858835,82215.30264860239,73464.53793747447,63461.430029132454,1.4358997789915162,8.95259130883654,16638.513079397773,14372.973181641526,0.18992643699944617,0.06167127299422053,4.890746389629093,5071.438726300157,4380.899450426656,0.017669345584528887,2.281946100987546,0.030280760430094422,0.030280760434734492
4,5,CHL_2050_lowIR,26.1920694967376,97150.27764382835,79925.77384429601,72453.25625717513,59607.47322950838,1.789091944728085,10.598683253564626,19697.79741478524,16205.42668109295,0.24164722084130755,0.0733582289767518,4.821104618605845,4999.22398719932,4112.873946307819,0.023086586029249165,2.143365522386664,0.030129196291154247,0.03012919629590896
5,6,CHL_2050_lowIR,26.409891719152686,101925.42668695917,79861.23883769507,73055.80235614278,57241.13275838596,2.229159746008762,12.806842999573387,23801.692426624122,18649.248822494148,0.29411117605188675,0.08725991043853304,4.887364529044378,5067.93192030984,3970.8572694435043,0.029021400154569908,2.0582766517260422,0.02981933741844087,0.029819337423156237
6,7,CHL_2050_lowIR,24.27308239499851,101004.15841602876,75370.85813436566,67144.89892199657,50104.55738120393,2.7774722186284615,15.58431521820185,28963.66243543036,21613.130852304053,0.3542133507270318,0.10379601682527587,4.991160545869653,5175.562759741554,3862.0846175783017,0.03546220332557994,1.8016596743133295,0.02899367311785253,0.029074038462709142
7,8,CHL_2050_lowIR,23.186067482455112,102635.89407014583,72941.41371686547,64137.96699461723,45581.655695576395,3.3775731791827583,18.943888397384608,35207.47502049192,25021.295178086217,0.42108555454186436,0.1234657823270277,5.09662632819668,5284.925055428572,3755.8975680299827,0.04247028141086506,1.6390251755015357,0.02827613734635728,0.028825613657774602
8,9,CHL_2050_lowIR,23.17876369166462,102670.88225200833,69491.69444237177,64117.76303838312,43397.42582960576,0.2799784936576699,19.124866891042277,35543.82601987695,24057.46052735216,0.40747990914983495,0.14686304803425598,5.144489376230937,5334.556440092968,3610.637777618548,0.05011276902263059,1.5604846379809643,0.028397416901222106,0.02904055416042539
9,10,CHL_2050_lowIR,24.434235800302528,106561.09726338251,68690.23341792828,67590.68610855934,43569.55891885576,0.3488455629907931,19.04271245403307,35391.14087793831,22813.444965039194,0.39552961837685646,0.17469419032853764,4.888183566559475,5068.781217787453,3267.381567343096,0.05846319345437048,1.566674199604215,0.0290115696897342,0.029417093389990493
