,year,total_fossil_gen,total_curtailment
0,1,79351.04981215329,3.1466770451515913e-06
1,2,80025.9129666893,3.308465238660574e-06
2,3,80195.50516415303,3.476059646345675e-06
3,4,79599.57180286075,3.652021405287087e-06
4,5,81167.55664310209,3.83768929168582e-06
5,6,84983.81823089287,4.032539436593652e-06
6,7,82797.17445287605,4.23668825533241e-06
7,8,82910.51078095932,4.4512125896289945e-06
8,9,81282.59019868488,4.676316166296601e-06
9,10,84000.28974908663,4.913061275146902e-06
10,11,81695.28642240216,5.161244189366698e-06
11,12,83764.7286865987,5.422334652394056e-06
12,13,79087.5287181642,26.329408586781938
13,14,76174.6830191342,328.29581124460674
14,15,76385.79141028451,554.1597590207384
15,16,79577.43316173475,280.5475340775156
16,17,83831.97774728845,16.912193844938884
17,18,82239.11141697934,109.60475572079304
18,19,83187.80839721889,324.7172919292643
19,20,81604.13318638473,694.7341745187296
20,21,80853.78767586616,1397.3890352727612
21,22,77421.05636591982,3533.466960846359
22,23,78487.72473928108,5230.147286898777
23,24,74300.48081381693,10992.233890417294
24,25,71863.20353675103,17661.571847567393
25,26,69082.890100156,27743.860194574314
26,27,68252.36655456857,38168.47429741183
27,28,64911.7472895738,54913.514983736735
28,29,63060.4501850222,74659.0673253425
29,30,59987.09277668651,100119.55930531636
