,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,USA_2041_highIR_MEX_FF_cost,479.8030640001251,1441501.1822344584,1441501.1822344584,1275898.9179662478,1275898.9179662478,3.0248113724498555,51.43121137244985,90750.03196035257,90750.03196035257,0.23371195260574631,1.5566000001534495,49.96300000015345,74852.23230917615,74852.23230917615,0.1580603482116567,31.707364010379198,0.022267852920807643,0.022267852920828002
1,2,USA_2041_highIR_MEX_FF_cost,482.21180186516943,1452222.6914922919,1383069.2299926588,1282304.2668818035,1221242.158935051,1.0023469269036966,52.43355829935355,92518.66647671937,88113.01569211368,0.2906072851214207,1.7004440534869456,51.66344405364039,77399.75814469384,73714.0553758989,0.31371915570222697,30.349088891694972,0.022380235682381608,0.022380235682549973
2,3,USA_2041_highIR_MEX_FF_cost,472.64378137756364,1431859.7659386252,1298739.0167243765,1256860.8549839342,1140009.8457904165,1.302099450977202,53.73565775033075,94816.21233726732,86001.09962563928,0.35383417386895005,1.8575806107885082,53.5210246644289,80182.69862887885,72728.07131871096,0.4672469392355956,28.330384677737648,0.02244597676300936,0.02244597676318893
3,4,USA_2041_highIR_MEX_FF_cost,472.46360508769067,1430880.0834424584,1236048.0150674514,1256381.7277116422,1085309.7745052518,1.691493169414406,53.42715091974516,94271.85407720451,81435.57203516208,0.4235529069339453,2.0292380207986405,53.550262685227544,80226.50166562753,69302.66853741714,0.6189055875014471,26.97103320623,0.02266375687590215,0.022663756876092463
4,5,USA_2041_highIR_MEX_FF_cost,485.25077730051134,1455002.1798421668,1197033.8941837335,1290385.5522269893,1061603.3872528332,2.1973353418003976,50.389486261545564,88911.91489902459,73148.05242591273,0.49962656995077653,2.2167581428975183,50.532020828125056,75704.71272876584,62282.45451536413,0.7689488607060078,26.381905776620144,0.02309916314098383,0.02309916314118407
5,6,USA_2041_highIR_MEX_FF_cost,488.6159163976349,1462507.7210146668,1145913.0680771442,1299334.1764750923,1018062.3262549811,2.854449956774628,50.14593621832019,88482.17246020489,69328.09738854539,0.5814718511233131,2.421606836524565,49.855627664649624,74691.37209260215,58522.644443985795,0.9176228667363814,25.299866869762532,0.023386557265071366,0.023386557265282965
6,7,USA_2041_highIR_MEX_FF_cost,485.1752960185142,1449077.4755909585,1081323.9232053098,1290184.8313620072,962755.7856693604,3.7080751402488894,49.32181135856908,87028.00960138884,64941.64070319659,0.6813715839013146,2.6453854199161686,47.968813084565795,71864.63464144146,53626.49684310955,1.0631698141179746,23.925444029669272,0.02373940396264475,0.02373940396287212
7,8,USA_2041_highIR_MEX_FF_cost,494.8853897622963,1458769.6969363752,1036720.3885722571,1316006.0464200238,935260.9275290647,4.816977510184671,45.26318886875375,79866.5970886934,56759.6994519591,0.8029364988265615,2.8898431877362354,41.983056272302036,62897.05344222554,44699.76160158617,1.2057556341934716,23.24216931002478,0.02435648196093399,0.024356481961177217
8,9,USA_2041_highIR_MEX_FF_cost,480.7304432275339,1436060.3356950835,971982.1614465624,1278365.0175841418,865247.7629414417,6.257497881247174,51.26348675000092,90454.08297448188,61222.88381333823,0.9504910940527347,3.1568910854484273,44.88274735775046,67241.2351517339,45511.51470212049,1.3455332839213865,21.502272156857757,0.024484293517445525,0.02448429351770594
9,10,USA_2041_highIR_MEX_FF_cost,480.1823477920395,1448915.2188255417,933983.6688986048,1276907.514651043,823105.9691295698,8.128806840183561,57.79929359018448,101986.47087291405,65741.38845826706,1.1292083033893545,3.448616647322386,46.73836400507284,70021.23331761111,45136.31132109881,1.4826429261477205,20.455006438838936,0.024697281586649508,0.02469728158692269
10,11,USA_2041_highIR_MEX_FF_cost,476.7872839304866,1460492.4587421669,896615.6771181466,1267879.314057099,778367.9147898195,10.559732004546182,67.23382559473066,118633.64013251595,72830.76399313644,1.3452679299017403,3.7673003148586646,49.380464319931505,73979.50456936422,45416.99834551184,1.6172120742237468,19.343221050441823,0.024877661213781488,0.024877661214067863
11,12,USA_2041_highIR_MEX_FF_cost,469.0029810001067,1468934.4847764168,858855.5702736274,1247179.1884614236,729199.8412730249,13.71762697774289,80.57505257247355,142174.1468075936,83126.2790819346,1.6060425408544001,4.115433263175444,53.11949758310695,79581.14951514581,46529.449923196924,1.7493557011942198,18.121345255475934,0.02500623415712249,0.025006234157254358
12,13,USA_2041_highIR_MEX_FF_cost,455.5142520000496,1463103.141095125,814710.5756148867,1211309.7744722117,674502.6074303479,16.84321469672379,95.45146726919734,168423.48204892364,93784.49690459714,1.898898562459211,4.495736874718629,55.64843445782558,83369.88458792165,46423.47128769939,1.8791763136955777,16.76206429725157,0.025211577936997454,0.025211577937237523
13,14,USA_2041_highIR_MEX_FF_cost,435.8394263090202,1442796.969841625,765146.0377533488,1158990.2069374106,614637.251927717,17.519359367098644,111.05302663629598,195952.33026022522,103917.70444569546,2.1639186146639764,4.9111840125218755,58.64181847034745,87854.43266340096,46591.08139023088,2.006763990618515,15.27435034765569,0.02541349231810938,0.025413492318451303
14,15,USA_2041_highIR_MEX_FF_cost,418.3229586978506,1439885.2529447917,727239.8972532604,1112410.1749439589,561842.729950332,22.758535593572443,132.42416222986841,233661.55752498732,118014.96455288994,2.4877309974833794,5.365022259307333,62.619440729654784,93813.52049621541,47382.20276032664,2.1321963865042277,13.962353681995696,0.025551789905785608,0.025551789906147086
15,16,USA_2041_highIR_MEX_FF_cost,408.16514199996135,1451699.4268292082,698292.2455937101,1085398.3688381657,522095.1736512068,29.56449100171175,155.20865323158017,273864.6410501268,131733.57490765714,2.881415683342426,5.860799304092004,61.700240033746795,92436.4169590249,44463.49704355708,2.255538699559011,12.974587160406148,0.025936907730777746,0.025936907731101296
16,17,USA_2041_highIR_MEX_FF_cost,395.2315379999619,1470013.177504125,673429.9740938288,1051005.150896985,481477.5692982189,36.10653521870271,185.2887884502829,326940.84049448324,149775.36604007529,3.321340134077085,6.402390674753103,62.07623070849989,92999.70862150747,42604.238061355514,2.3768436040870777,11.965199074630027,0.026212354056693303,0.026228982213870322
17,18,USA_2041_highIR_MEX_FF_cost,372.41712548338757,1456749.3513940417,635574.9166924849,990336.7508220631,432080.6440029649,26.186050415030067,209.79603886531297,370183.7215986932,161509.93154096956,3.548995457258683,6.994030033334052,67.39146074183395,100962.73792780632,44049.70813002495,2.4961511470558624,10.737636084117675,0.02632014180743583,0.02640567185339752
18,19,USA_2041_highIR_MEX_FF_cost,354.6300740000726,1464750.86388925,608634.2381809726,943037.1784680072,391851.4259614098,34.01700644014184,242.2564453054548,427459.8938544156,177618.41502397155,3.8414640241209175,7.640342270911478,73.47520301274542,110077.11636324898,45739.31547718134,2.6134886081675814,9.737899786566992,0.02632088981244035,0.026605227578473285
