,year,scenario,Annual_Emissions,Total_Annual_Demand,Discounted_Annual_Demand,Total_Annual_Fossil_Gen_GWh,Discounted_Annual_Fossil_Gen_GWh,RE_PV_MY_new_annual_installed_GWp,RE_PV_MY_total_capacity_GWp,RE_PV_MY_annual_generation_GWh,RE_PV_MY_discounted_annual_gen_GWh,RE_PV_MY_annual_CAPEX_BUSD,RE_WIND_MY_new_annual_installed_GWp,RE_WIND_MY_total_capacity_GWp,RE_WIND_MY_annual_generation_GWh,RE_WIND_MY_discounted_annual_gen_GWh,RE_WIND_MY_annual_CAPEX_BUSD,PP_CO2_MY_annual_OPEX_BUSD,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,USA_2050_lowIR_MEX_FF_cost,481.80126110771675,1441501.1822344584,1441501.1822344584,1281212.5512436263,1281212.5512436263,1.3350301044822586,49.741430104482255,87768.42410041777,87768.42410041777,0.1031510577313444,0.0,48.4064,72520.20691391181,72520.20691391181,0.0,31.83941311095534,0.022159235498268624,0.022159235498629835
1,2,USA_2050_lowIR_MEX_FF_cost,484.814793878214,1452222.6914922919,1383069.2299926588,1289226.1791039356,1227834.4562894625,1.5346509307400866,51.27608103522234,90476.30550737312,86167.91000702202,0.20238849257643776,0.0,48.4064,72520.20691391181,69066.86372753505,0.0,30.51291407324942,0.0222080731022354,0.022208073102738965
2,3,USA_2050_lowIR_MEX_FF_cost,475.98673197407845,1431859.7659386252,1298739.0167243765,1265750.4752655316,1148072.9934381237,1.7641201283525032,53.04020116357485,93589.083794288,84888.05786329976,0.2971611739843227,0.0,48.4064,72520.20691391181,65777.96545479528,0.0,28.530761959930814,0.022196856151990317,0.02219685615253454
3,4,USA_2050_lowIR_MEX_FF_cost,476.7265721972852,1430880.0834424584,1236048.0150674514,1267717.8685797544,1095102.3592093764,2.027900785079181,53.068101948654025,93638.3145448398,80888.2967669494,0.3867954378575714,0.0,46.4064,69523.90035470016,60057.359122945825,0.0,27.214388728712205,0.022330187686400695,0.022330187686975554
4,5,USA_2050_lowIR_MEX_FF_cost,490.6738525159245,1455002.1798421668,1197033.8941837335,1304806.6685527344,1073467.6753432853,2.3311233334019974,50.16422528205603,88514.4433920819,72821.05163349172,0.4704793438532032,0.0,41.1714,61681.067935963605,50745.16723872345,0.0,26.67674519995599,0.022678743413193543,0.022678743413795388
5,6,USA_2050_lowIR_MEX_FF_cost,495.51924464006464,1462507.7210146668,1145913.0680771442,1317691.6020435113,1032445.8495368345,2.679685335444496,49.74591061750053,87776.32993597475,68775.05130140492,0.547244927316517,0.0,38.0734,57039.78907574474,44692.16727068775,0.0,25.65731180683988,0.022867840033800428,0.02286784003443468
6,7,USA_2050_lowIR_MEX_FF_cost,493.98549657713136,1449077.4755909585,1081323.9232053098,1313613.038064335,980238.2742262229,3.0803661882916495,48.29407680579217,85214.57878725049,63588.43070895126,0.6271760637592401,0.0,33.5412,50249.85878191518,37497.21830188135,0.0,24.359901352795866,0.023107855915879206,0.02310785591655761
7,8,USA_2050_lowIR_MEX_FF_cost,506.17036476560827,1458769.6969363752,1036720.3885722571,1346015.207420291,956587.8779848235,3.540958980696335,42.95943578648851,75801.64002730242,53870.810360647934,0.7105241179855066,0.0,24.6656,36952.849533445646,26261.700258527388,0.0,23.772165355800865,0.023615518458890986,0.023615518459614033
8,9,USA_2050_lowIR_MEX_FF_cost,495.24516516063454,1436060.3356950835,971982.1614465624,1316962.7661158578,891372.2384333921,4.07042206560384,46.77265785209235,82530.04511617882,55859.58308463323,0.7975434299512675,0.0,24.4084,36567.52450993103,24750.339960270092,0.0,22.15149149730823,0.023610551547938004,0.02361055154870884
9,10,USA_2050_lowIR_MEX_FF_cost,498.9290061447644,1448915.2188255417,933983.6688986048,1326758.886812598,855240.6081105998,4.679053296685758,49.85871114877811,87975.36572660497,56709.70515489116,0.8884903935535501,4.731176180855121e-12,22.815400000004733,34180.96633552602,22033.355664820436,2.7600359396501025e-13,21.253584352156516,0.02370713266439615,0.02370713266520095
10,11,USA_2050_lowIR_MEX_FF_cost,501.09419742593474,1460492.4587421669,896615.6771181466,1332516.5932970115,818049.5971880167,5.378690317695545,54.11220146647366,95480.62123144987,58616.81883029227,0.9836222972392599,2.885561197206826e-12,21.690200000007618,32495.24426531786,19949.26113152298,4.2001130532317067e-13,20.32935053971941,0.02377046641065759,0.02377046641149761
