,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL-WECC,67891.09253439409,67891.09253439409,27.56161105400289,62686.809641595624,62686.809641595624,22.661469745865734,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,4.1777731208114833e-14,7.533000000000042,13761.40815212914,13761.40815212914,2.7004386777250182e-15,76.83005922003375,84.04705922003374,336993.3175186649,336993.3175186649,9.728799839560683,6.279247148506108,8.364506642229562,13.061506642229562,22603.23579562751,22603.23579562751,0.5011537146035557,5.0704083269973626e-14,4.697000000000051,8196.68719556173,8196.68719556173,5.424222237750594e-15,3.961806369348842,0.03997208737957326,0.043751474279265484
1,2,CHL-WECC,61078.344129661775,58169.85155205883,24.795853209630625,62777.744336382944,59788.327939412324,22.694342910835445,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,6.478949928980728e-14,7.533000000000107,13761.408152129256,13106.103002027861,6.250243267540423e-15,6.172414789120068,90.21947400915381,361742.1017853609,344516.2874146294,10.004203909351654,5.380129570049943,0.40410247997275445,13.465609122202316,23302.54437392663,22192.899403739648,0.49855529246667596,5.079020472407854e-14,4.697000000000101,8196.687195561817,7806.36875767792,1.0301012735531095e-14,3.7786223257708595,0.038889033179631216,0.04354180479279282
2,3,CHL-WECC,65892.66545252436,59766.589979613935,26.750313608430247,63131.864305575225,57262.46195517027,22.82235834205837,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,1.0443539251043842e-13,7.533000000000212,13761.408152129448,12482.00285907433,1.1123551897287925e-14,2.409248462156551,92.62872247131037,371402.17364895035,336872.7198629935,9.800290602977487,5.527811907214458,0.42245674437893277,13.888065866581249,24033.615426310225,21799.197665587504,0.49420310554225233,5.038495508364324e-14,4.697000000000152,8196.687195561906,7434.636912074291,1.4624599777161e-14,3.6189875955667627,0.03922639722452205,0.0436867733919027
3,4,CHL-WECC,66385.18234951148,57346.016498876124,26.9502597080664,62233.94100347792,53760.01814359392,22.497756374580288,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,1.886871112132255e-13,7.5330000000004,13761.408152129792,11887.621770547277,1.8672459034246134e-14,4.649134941856867e-12,92.62872247131502,371402.1736489689,320831.16177429556,9.333610098074292,5.303933065981038,0.5027922409766068,14.390858107557856,24903.708891811562,21512.760083629466,0.49062333156163734,4.980178410771836e-14,4.697000000000202,8196.687195561992,7080.60658292797,1.842476025065521e-14,3.397633146675137,0.03921483176610272,0.04365714300462845
4,5,CHL-WECC,70364.27275123497,57888.86132937198,28.565643080273382,62232.19263163813,51198.5788897738,22.49712433291507,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,4.741638488209996e-13,7.2090000000008745,13169.51962945844,10834.596390975727,3.5157598101214314e-14,5.897169460750418e-13,92.3047224713156,370103.07007664756,304484.7116801312,8.889152474356528,5.3541407843536195,1.65604221882023,15.903900326378086,27522.06303559472,22642.469370761948,0.5235063013053943,4.9261173651221635e-14,4.554000000000252,7947.139341833035,6538.131204041965,2.1750161834417558e-14,3.2357501858337034,0.03968926776924968,0.04345365163227397
5,6,CHL-WECC,63164.57395001581,49491.09648366937,25.64279575734011,58727.99854328853,46014.9235629881,21.23034765739442,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,21.41725540604698,28.532255406047852,52123.19290367919,40839.88551991573,0.6630776290158327,2.963912351413581e-13,92.2107224713159,369726.1696575178,289690.12835482194,8.465859499387197,4.577431513774597,6.869858767938692,22.75275909431678,39374.16968018042,30850.69222739039,0.6957241352398069,4.8247194001770604e-14,4.5330000000003,7910.492454222562,6198.077827534675,2.4603731290836163e-14,2.908143169180846,0.03738027203216856,0.04228098702478029
6,7,CHL-WECC,66074.90096348054,49306.1084301895,26.824295394342183,58689.21128385782,43794.79307647479,21.216325946748416,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,6.401119229515707,34.85137463556356,63667.06372265344,47509.34320848926,0.8157607860899222,5.763526514219788e-13,92.12872247131648,369397.3841855123,275650.0155565247,8.062723332749762,4.560321968708213,1.8303262446067802e-11,22.752759094335083,39374.1696802121,29381.61164515734,0.6625944145145901,5.684655338040466e-14,4.5330000000003565,7910.492454222662,5902.931264318811,2.77164683872975e-14,2.7678309224332023,0.037358931617972775,0.0426252762276228
7,8,CHL-WECC,68181.12755048128,48455.0544173475,27.679355989413803,59520.488909452055,42300.10022816452,21.516835302233634,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,2.207482383379586,35.844857018943145,65481.97366154052,46536.81614132919,0.835959843071297,1.236265418528497,92.15098788984497,369486.6591384433,262587.2703818437,7.781859727623939,4.4816079830604725,0.5062086880101082,23.24096778234519,40219.02597396373,28582.910875714446,0.6435926317835822,6.716245646045363e-14,4.5150000000004225,7879.0808362708685,5599.51564892373,3.1127464648055006e-14,2.6733663344199963,0.03782040143558118,0.04287840794467394
8,9,CHL-WECC,68163.44657444589,46135.703693124444,27.672178078934788,59367.67071449477,40182.376371527804,21.46159106630198,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,2.3840921808228707e-12,35.53785701894553,64921.141018148664,43941.183668898164,0.7961522314965327,3.8179710124923676,95.66195890233733,383564.1745231772,259611.33118132723,7.708701306211911,4.267091234577101,0.8701904728646426,24.012158255209833,41553.588714615944,28125.104475603104,0.6329800784370361,7.968395346816274e-14,4.416000000000503,7706.316937535519,5215.938639592406,3.488911033127257e-14,2.539526186680554,0.0376748879393297,0.04307864936900077
9,10,CHL-WECC,72948.27300474064,47023.10720154585,29.614664495188467,61836.008015852014,39860.04211033339,22.35390240575454,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,1.893521110933253e-12,35.090857018947425,64104.554074835825,41322.3671268051,0.7582402204729319,3.410419867751184,98.62537877008852,395446.24037654325,254908.17243152604,7.5897253726012455,4.3491671850709634,1.9850624944022477,25.56622074961208,44242.92938290802,28519.386759816873,0.6452514711412167,9.373234303596635e-14,3.9850000000005963,6954.183196576118,4482.728493524947,3.898853637116724e-14,2.5191546613730686,0.038118088170354364,0.043008306099990685
10,11,CHL-WECC,75818.97644623219,46546.27451023659,30.780078229924026,62659.28865404033,38467.36776215147,22.651520826301518,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,1.3634807617086836e-12,34.388857018948784,62822.128942381845,38567.33757337472,0.7221335433075833,2.1028409834514224e-12,97.92337877009062,392631.5159698503,241041.6914116913,7.2283098786679965,4.305064929451786,6.142785235663658e-12,25.38822074961822,43934.8963143128,26972.215140295677,0.6145252106108043,1.0701516414715317e-13,3.8070000000007034,6643.5571968296645,4078.5678137898244,4.327210512957802e-14,2.43113764256797,0.03867120991246911,0.043438431245627844
11,12,CHL-WECC,75741.49839451487,44284.485435646486,30.748624620224202,66168.17129821145,38687.15935478788,23.919992428817345,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,1.8368388814858885,35.44569590043467,64752.779572830135,37859.6091270131,0.7241345277110209,5.232356057491601,102.37573482758222,410483.58899313555,240001.2529941558,7.215716100810694,4.095872057942915,0.37139188312237265,25.630612632740597,44354.36100848884,25933.07626232645,0.5920817888011651,1.4400913179745709e-13,3.6780000000008477,6418.440601507912,3752.729287933171,4.892213812929513e-14,2.445028471222594,0.038596993957768416,0.04337541434502666
12,13,CHL-WECC,76013.91386386736,42327.39154152728,30.85921658348649,66273.91992132574,36903.79846149734,23.95822087331902,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,3.8352502123982783,39.15194611283295,71523.41834712027,39826.915611643926,0.7600069574050374,1.5843151116174032,103.83104993919964,416318.7897967122,231821.88004920725,6.965770481351376,3.9148604436758556,0.5363472636713528,25.903959896411948,44827.39469626243,24961.570726293186,0.5730072879709098,2.0204189669775734e-13,3.41500000000105,5959.481961433173,3318.4625490801845,5.6683183442272354e-14,2.332320062766632,0.03836365783993826,0.043551989377190466
13,14,CHL-WECC,78322.92716554558,41536.32052092516,31.796602095542372,67774.90897761696,35942.48126887172,24.500832920135423,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,2.3081212117444884e-12,39.15194611283526,71523.41834712449,37930.3958206155,0.7238161499095986,5.265627467970449,109.09667740717009,437431.73872932396,231979.39049805468,6.92430257040805,3.8416942849803863,1.124564010467617,26.638523906879563,46098.574506553225,24447.058295138046,0.5634135509540882,3.133451882787605e-13,3.025000000001363,5278.896905809056,2799.5117370059247,6.857514319866905e-14,2.2715648161926887,0.038236644535824336,0.043483157110697224
14,15,CHL-WECC,77089.42106698139,38935.39609590989,31.295838091720253,68353.52664849341,34523.17578437919,24.71000494401031,509221.18790452083,257191.30299688264,113159.62907680168,57153.30221955238,8.3451188139287e-13,36.790946112836096,67210.30476061645,33945.771045649504,0.6893487141996307,5.085699146264654,111.82137655343475,448356.6350083973,226450.56785565006,6.855813490178813,3.6011347849107,0.5854945676879953,26.91701847456756,46580.51572158129,23526.32572497463,0.5450997934294574,5.418805870131391e-13,2.7180000000019047,4743.154310741356,2395.6152384680063,8.882538664196352e-14,2.181864709572765,0.03856073959456191,0.044133925831936344
15,16,CHL-WECC,80150.04807431753,38553.543536559955,32.538354716634714,72176.26674102999,34718.01837881004,26.091936955682595,533169.7841134876,256463.78234405874,117662.3769139529,56597.615097635564,5.787900625348823e-13,36.33694611283668,66380.9301023052,31930.36236639036,0.6565225849520375,5.402206440897671,116.7695829943324,468196.859279895,225210.69458612133,6.787833124438109,3.565817241696449,0.10303541259078686,26.726053887158344,46250.047138127855,22247.06346095283,0.5205267354690494,1.4355054503525134e-12,2.4240000000033404,4230.09788419604,2034.749408896731,1.4262375561188872e-13,2.1941787615407966,0.038694936317029804,0.043840852178693664
