,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_payments_BUSD_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_payments_BUSD_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,Annual_NPV_OPEX_PP_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_payments_BUSD_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_payments_BUSD_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,Annual_NPV_OPEX_PP_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL-WECC,67891.09253422846,67891.09253422846,27.561611053935785,62686.80964156477,62686.80964156477,22.661469745854582,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,3.4838645704254644e-15,7.533000000000004,2.251908459812531e-16,13761.408152129068,13761.408152129068,76.83005922013811,84.04705922013811,9.728799839573899,336993.3175190833,336993.3175190833,6.279247148490819,8.364506642231898,13.061506642231898,0.5011537146036956,22603.235795631554,22603.235795631554,4.451472688636646e-15,4.6970000000000045,4.762097170730462e-16,8196.687195561648,8196.687195561648,3.961806369346893,0.03997208737954803,0.04375147427925717
1,2,CHL-WECC,61078.344129579986,58169.85155198094,24.79585320959728,62777.744336207455,59788.327939245195,22.694342910771983,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,4.935179022843805e-15,7.533000000000008,4.946602112493424e-16,13761.408152129075,13106.10300202769,6.172414789061095,90.2194740091992,10.004203909357184,361742.1017855429,344516.28741480276,5.3801295700427065,0.4041024800605234,13.46560912229242,0.49855529247142805,23302.544374082554,22192.899403888146,5.1757247526150324e-15,4.69700000000001,9.76818921361707e-16,8196.687195561657,7806.368757677768,3.778622325760293,0.03888903317961042,0.04354180479277613
2,3,CHL-WECC,65892.66545253147,59766.589979620374,26.750313608433423,63131.86430570574,57262.46195528865,22.82235834210554,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,8.335747189282311e-15,7.533000000000017,8.838351820286083e-16,13761.408152129092,12482.002859074006,2.409248462091014,92.62872247129022,9.80029060297534,371402.17364886944,336872.7198629201,5.527811907215115,0.4224567441885275,13.888065866480948,0.49420310553803953,24033.615426136654,21799.19766543007,4.355767614981495e-15,4.697000000000014,1.3464825472767083e-15,8196.687195561666,7434.636912074073,3.6189875955742434,0.03922639722453401,0.043686773391906644
3,4,CHL-WECC,66385.18234952573,57346.016498888435,26.950259708072423,62233.94100353527,53760.018143643465,22.49775637460101,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,1.4500696199668365e-14,7.5330000000000314,1.4625921351403172e-15,13761.408152129117,11887.621770546693,3.519501210545869e-13,92.62872247129057,9.333610098071789,371402.1736488709,320831.16177421086,5.303933065982223,0.5027922410177573,14.390858107498705,0.4906233315592583,24903.708891709197,21512.760083541038,4.001388469523868e-15,4.697000000000018,1.643647036159293e-15,8196.687195561672,7080.606582927693,3.3976331466782663,0.03921483176611076,0.04365714300462703
4,5,CHL-WECC,70364.2727512496,57888.86132938403,28.56564308027944,62232.19263141727,51198.5788895921,22.497124332835238,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,3.636055628930386e-14,7.209000000000068,2.725267783331091e-15,13169.519629456967,10834.596390974513,4.4817384134942606e-14,92.30472247129062,8.88915247435409,370103.0700765474,304484.7116800488,5.354140784354755,1.6560422190077504,15.903900326506456,0.5235063013094975,27522.063035816875,22642.469370944717,3.8601239584787616e-15,4.5540000000000225,1.894708843662931e-15,7947.139341832638,6538.131204041639,3.235750185822221,0.03968926776923662,0.0434536516322529
5,6,CHL-WECC,63164.57394990881,49491.09648358553,25.642795757296703,58727.99854326882,46014.92356297265,21.23034765738733,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,21.41725540628599,28.532255406286055,0.6630776290232013,52123.192904114345,40839.88552025669,2.2689190077680884e-14,92.21072247129065,8.465859499384848,369726.1696574166,289690.12835474266,4.577431513766848,6.869858767788891,22.75275909429535,0.6957241352394158,39374.16968014334,30850.692227361338,3.756206328914778e-15,4.533000000000026,2.1072790336254682e-15,7910.492454222084,6198.0778275343,2.9081431691798754,0.03738027203214895,0.04228098702477024
6,7,CHL-WECC,66074.9009634905,49306.10843019693,26.82429539434614,58689.21128384663,43794.79307646644,21.216325946744433,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,6.401119229274475,34.85137463556053,0.8157607860899962,63667.063722647894,47509.34320848513,4.380504987756915e-14,92.12872247129069,8.062723332747478,369397.3841854089,275650.0155564475,4.560321968708886,1.3226560501598491e-12,22.75275909429667,0.6625944145137646,39374.16968014562,29381.611645107732,4.386851586721274e-15,4.533000000000031,2.3375554199730794e-15,7910.4924542220915,5902.931264318386,2.7678309224326827,0.03735893161797727,0.042625276227615444
7,8,CHL-WECC,68181.12755051877,48455.05441737414,27.679355989428835,59520.488886272324,42300.10021169112,21.516835293854072,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,2.207482383289956,35.84485701885049,0.8359598430689702,65481.97366137126,46536.8161412089,1.2362654185429438,92.15098788983363,7.781859727622968,369486.65913839784,262587.2703818113,4.481607983062906,0.5062087248030108,23.24096781909968,0.6435926326949952,40219.02603756821,28582.910920916962,5.1774279730949685e-15,4.515000000000035,2.590933933624644e-15,7879.080836270193,5599.5156489232495,2.6733663333788744,0.037820401432788114,0.042878407944332814
8,9,CHL-WECC,68163.44657444183,46135.70369312169,27.672178078932816,59367.67071441627,40182.376371474675,21.461591066273616,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,1.7078262324315946e-13,35.53785701885066,0.7961522314942616,64921.14101797535,43941.18366878086,3.8179710125205952,95.66195890235423,7.708701306213187,383564.1745232449,259611.33118137304,4.267091234576797,0.8701904361744028,24.012158255274084,0.6329800784603155,41553.588714727135,28125.104475678363,6.171481603381478e-15,4.416000000000042,2.873693968210256e-15,7706.316937534714,5215.938639591861,2.5395261866771976,0.03767488793937832,0.043078649369051
9,10,CHL-WECC,72948.27300478189,47023.10720157244,29.614664495205155,61836.008015760446,39860.04211027436,22.353902405721435,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,1.445235213030419e-13,35.090857018850805,0.7582402204707286,64104.55407465933,41322.36712669132,3.4104198677146105,98.62537877006883,7.589725372599798,395446.24037646427,254908.17243147513,4.349167185073415,1.985062494419737,25.56622074969382,0.6452514711637614,44242.92938304947,28519.38675990805,7.28844532712456e-15,3.9850000000000483,3.1848009932368117e-15,6954.183196575162,4482.7284935243315,2.5191546613693383,0.038118088170406364,0.04300830610003835
