,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL,253379.97451227167,253379.97451227167,102.86416149279786,15269.487045968606,15269.487045968606,5.519965375578791,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,59.99999997739717,67.53299997739717,118215.69950363121,118215.69950363121,3.87829391202057,1.7018231576270004e-11,7.217000000017018,5868.250173048881,5868.250173048881,2.1549764546537005e-12,23.43511384264,4.518790789811244e-13,4.697000000000451,8580.556762319979,8580.556762319979,2.707402703701611e-14,14.017767707157299,18.7147677071573,75038.3382209144,75038.3382209144,1.4995929798382157,0.9650315813052164,0.0,0.08723455129379683,0.06269575370423966,0.06382927086011897
1,2,MEX-CHL,260534.4772195855,248128.07354246237,105.76866064788074,14282.891868312761,13602.754160297867,5.163308259070667,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,9.82257394224693e-09,67.53299998721974,118215.69952082551,112586.38049602429,3.6936132501010723,2.00943122319098e-11,7.217000000037112,5868.250173065219,5588.809688633542,4.4571339918090765e-12,22.949365521942354,0.0,4.697000000000451,8580.556762319979,8171.958821257122,2.5784787654301055e-14,0.4039781607619858,19.118745867919284,76658.12054124358,73007.7338488034,1.4690275500587109,0.8596940629308252,0.0,0.08308052504171126,0.06301383938997002,0.06434386413137576
2,3,MEX-CHL,273408.04871347087,247989.15983081257,110.99491872011042,14784.449720656386,13409.931719416223,5.344622927366444,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,7.933525588846548e-09,67.53299999515326,118215.69953471304,107225.1242945243,3.5177269052509796,2.3969606928690848e-11,7.217000000061081,5868.25017308471,5322.675893954385,6.955766049625033e-12,22.936517392751874,0.0,4.697000000000451,8580.556762319979,7782.817925006782,2.4556940623143863e-14,0.43252886313847927,19.551274731057763,78392.37915617046,71104.19878110698,1.440400522119367,0.8475076846671052,0.0,0.07912430956353453,0.06364646347562944,0.06476465198942287
3,4,MEX-CHL,274524.73069163907,237144.7840981657,111.44825586942333,14510.763674194157,12534.943245173657,5.245684600512209,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,1.5788564181346877e-09,67.53299999673212,118215.69953747682,102119.16599717249,3.350216100306626,2.871209776446027e-11,7.217000000089794,5868.2501731080565,5069.215137119582,9.693101364092495e-12,21.933521081239345,0.0,4.697000000000451,8580.556762319979,7412.207547625508,2.338756249823225e-14,0.10177911409585333,19.653053845153618,78800.4705472503,68070.809240687,1.3809995896310303,0.7922084130949749,0.0,0.07535648529860431,0.06368042098339602,0.06488149793499118
4,5,MEX-CHL,284717.9702276171,234238.1787239819,115.58638493736528,16680.868701618856,13723.391962500278,6.030184078241319,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,1.0338224272581197e-09,67.20899999776594,117648.54145876296,96789.74621377961,3.1906820003299057,3.411570941627725e-11,6.89300000012391,5604.800948241331,4611.083610834029,1.2676760911255349e-11,21.66468915018109,2.7324702529836163e-12,4.5540000000031835,8319.322013120875,6844.326808785124,1.1507976527878446e-13,1.4366294609396144e-08,19.510053859519914,78227.10081830282,64357.62943901178,1.3152377056361813,0.8673183720300174,0.0,0.07176808123676601,0.06446027789503947,0.06543602281140909
5,6,MEX-CHL,297945.82560260774,233448.35054969124,120.95647092823958,17402.514278172242,13635.325299288916,6.291061119102098,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,8.703486149720128e-10,67.11499999863629,117483.99559741856,92051.78469184267,3.0387447622459036,4.080636823847988e-11,6.799000000164717,5528.368148459451,4331.621102188766,1.596678273356028e-11,21.591637942340967,3.578545066242014e-12,4.533000000006762,8280.958868139398,6488.34795663625,2.1229451791377915e-13,0.8730829959848078,20.36213685550472,81643.59484299461,63969.89288403561,1.3229880997049526,0.8617525589150594,0.0,0.06835055355882476,0.06494764262179589,0.06566402765179197
6,7,MEX-CHL,306785.1749928432,228927.82103952163,124.54496392149456,16794.151457423846,12532.05439097713,6.071136134313091,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,2.905892136616773e-10,67.03299999892688,117340.45558989349,87561.25460953494,2.8940426307187486,4.854776372168648e-11,6.717000000213264,5461.69272738366,4075.599204871981,1.953740725288182e-11,21.173534167945352,0.0,4.533000000006762,8280.958868139398,6179.379006320238,2.0218525515598011e-13,3.947588000850711e-08,20.3621368949806,81643.59500127628,60923.70762671754,1.25998866936084,0.7920258375097544,0.0,0.06509576529411881,0.06542903327780288,0.06616362602673512
7,8,MEX-CHL,317764.2411043639,225829.1135358379,129.00211343265647,15633.923110024187,11110.737270984033,5.651710106043077,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,1.876843828405027e-10,65.81899999911457,115215.36327616165,81881.4076245277,2.7562310768800193,5.915584739689465e-11,5.50300000027242,4474.571248969166,3179.9942469794055,2.353926766079152e-11,20.886934710929655,1.7333445416902051e-12,4.515000000008496,8248.076172438554,5861.753745243192,2.3553185550361946e-13,0.6419880374946139,20.986124932475214,84145.52428706796,59800.65312482989,1.24520993490495,0.7021985955261912,0.0,0.06199596694677983,0.06617223372212554,0.06700264837096681
8,9,MEX-CHL,326122.1892021326,220732.33448297018,132.3951729060114,15897.124557326215,10759.799643471248,5.746858218847108,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,1.2857766008434358e-10,65.51199999924314,114677.96349021164,77618.5596474639,2.6249819779841643,7.064559889013992e-11,5.196000000343065,4224.944977290186,2859.609063035395,2.792139039435042e-11,20.41553361632991,1.6811554504873062e-12,4.416000000010177,8067.2213460695575,5460.212949217925,2.630219122003597e-13,0.4650984642881501,21.352223396763364,85613.42497465732,57946.535940937916,1.216521798731626,0.680019337467384,0.0,0.059043778044552214,0.06658931438024686,0.06753435705473154
9,10,MEX-CHL,347796.174551401,224192.5151422744,141.19411739028305,17909.396470025276,11544.556648657835,6.474300552103546,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,9.310007096088679e-11,65.06499999933625,113895.49539780049,73418.05185046527,2.4999828361775402,8.323780933296771e-11,4.749000000426303,3861.482620790505,2489.146127181626,3.264727865250612e-11,20.735565725508945,3.8003682399348405e-12,3.9850000000139776,7279.86346560821,4692.664898779245,3.3169659995330135e-13,0.8379953810920412,21.759218777855406,87245.30507803979,56239.1015514463,1.2100955860387004,0.7296159801951752,0.0,0.0562321695662402,0.06772172615713198,0.06841478309283182
10,11,MEX-CHL,349243.22749214777,214405.0460667799,141.7815745785323,20149.9432708881,12370.317232092639,7.2842649422558665,467041.73056302086,286723.10834925075,106735.79417421001,65526.51867074607,5.379058406401096e-11,64.36299999939004,112666.65289009364,69167.55144130475,2.3809360344559503,1.0759863824647259e-10,4.0470000005339015,3290.6759669399867,2020.1895892125106,3.840025205717218e-11,19.830322710716477,0.0,3.807000000013977,6954.690141424091,4269.576452089505,3.159015237650489e-13,0.0839861818808316,21.665204959736236,86868.34925406941,53329.630920280724,1.157290827844022,0.7818040490682554,0.011936014083971935,0.05355444720594305,0.06810576736188283,0.06874625897627602
11,12,MEX-CHL,366305.68020973017,214171.3446933489,148.70838438338373,20165.721143358835,11790.479502014381,7.289968690487652,482258.77962185425,281966.72042499855,112079.27607091668,65530.4314544661,4.809666886175811e-11,63.58299999943813,111301.2723259545,65075.54877795504,2.267558128054238,1.4237243802852997e-10,3.2670000006762745,2656.4463515690777,1553.1691643316685,4.5594818184305344e-11,19.80870767068783,0.0,3.678000000013977,6719.030822212004,3928.4781644807745,3.0085859406195134e-13,1.685697971784859,23.221902931521097,93110.05263732487,54439.51938279186,1.1924382302546064,0.7451583045273091,0.01136763219611088,0.05100423543423147,0.06860136306361132,0.06928469505715971
12,13,MEX-CHL,373076.53562752163,207742.97488145737,151.45713501563364,18278.84474130651,10178.344713017574,6.607857210516523,488625.7698542333,272085.11214065354,111173.78134071667,61905.721370801184,4.37060055583967e-11,63.45399999948184,111075.4593865633,61850.972027700256,2.1595791695762667,1.94523920278282e-10,3.1380000008707984,2551.5545307044513,1420.8010372167205,5.4923301153211086e-11,19.21414774678598,0.0,3.4150000000139773,6238.578101647828,3473.8737232206354,2.8653199434471553e-13,0.5175018119917814,23.476404743512873,94130.49773955134,52415.383333060345,1.1615012872853308,0.6432713858627102,0.010826316188235301,0.048575462318315686,0.0689383510814882,0.06957646449082881
13,14,MEX-CHL,392598.05638401397,208203.1315222878,159.38224775410538,19169.700725163348,10166.101580034709,6.929904321248726,508220.45096948347,269520.15598369716,112974.79703528751,59912.94695263169,4.1242626978657224e-11,63.453999999523084,111075.45938663553,58905.68764546711,2.0567420662638116,2.857796542828764e-10,3.138000001156578,2551.554530936823,1353.1438450915368,6.805975798538121e-11,19.256707634496394,2.9311558437770292e-12,3.025000000016908,5526.11969473292,2930.6192603383247,3.190023384114661e-13,1.0926191316042249,24.1790238751171,96947.704603286,51413.43764717566,1.157070349869221,0.6424976198581935,0.010024366137791306,0.046262345065062556,0.0695833160967242,0.07033083249753713
14,15,MEX-CHL,399651.4595498275,201851.14458650266,162.24570373052433,19011.202213588575,9601.948986001053,6.872606633818911,509221.18790452083,257191.30299688264,113159.62907680168,57153.30221955238,3.9714381409334785e-11,61.09299999956279,106942.55744807518,54013.25857840498,1.9588019678709194,4.665387860716213e-10,0.7770000016231168,631.7902721315068,319.0970194679417,8.878374480110115e-11,18.669212362805624,3.682781011945851e-12,2.718000000020591,4965.287051343442,2507.807367057186,3.57374282673347e-13,0.6064528846806428,24.478476759797744,98148.38457930839,49571.603689288204,1.1282897006110553,0.6068431759152665,0.009512919154815004,0.044059376252440524,0.07052279854624442,0.07131256312563317
15,16,MEX-CHL,424763.9314692893,204318.71368906918,172.4405637307243,20892.429113173424,10049.615624089978,7.552675801699543,533169.7841134876,256463.78234405874,117662.3769139529,56597.615097635564,3.9546199145347994e-11,60.63899999960235,106147.83594025034,51058.924012615586,1.8655256836871628,1.0133350126923859e-09,0.3230000026364518,262.6361121465536,126.33246051862977,1.3304240807325158e-10,18.897437829101996,7.455209734983722e-12,2.4240000000280464,4428.203021524864,2130.041367171555,4.405023183031343e-13,0.9732457763249691,25.157722536122712,100871.8741302638,48521.09617313708,1.1139036166849616,0.6351357074424875,0.009059921943892095,0.04196131071661002,0.07135574646810591,0.07207220134482666
16,17,MEX-CHL,423271.7654463092,193905.67268459557,171.83479207470717,21317.250540063153,9765.678089580326,7.706250021984447,539123.5874406751,246978.72718391134,121753.03351477502,55776.46749052352,3.783442338305052e-11,60.16499999964018,105318.10467436546,48247.43722562314,1.7766911273216135,10.500775290313921,10.500775292950372,8538.336764563963,3911.5104504895235,0.46778835389415463,17.93433566659823,9.372406803124751e-12,1.577000000037419,2880.8895070254166,1319.7686767524679,5.356950879724656e-13,2.6680273371931067,26.97874987331582,108173.42696682762,49555.493266798956,1.1612723878616615,0.6171908552614762,0.008659424360016767,0.03996315306343812,0.07174927295124156,0.07268546124212659
17,18,MEX-CHL,414739.02987147646,180949.2649558655,168.37077447886347,20606.626059598337,8990.602692638322,7.449357140422971,548695.5857853708,239394.06658485616,121064.52021838333,52820.04915847829,4.1037366449130386e-11,59.99999999968122,105029.27417046698,45823.924422747295,1.6920867879258519,22.62111375850491,33.121889051455284,26931.901227303584,11750.299296535331,1.3832345514947109,16.735997515767995,1.1450475987320197e-11,0.8930000000488696,1631.3470702938755,711.7513231128939,6.410075450114168e-13,1.0763197824184154,27.37106965573424,109746.46409902832,47882.018763409906,1.1436673190873963,0.5682060901747414,0.007864134183628392,0.038060145774702965,0.07284209354819131,0.07381271260473551
18,19,MEX-CHL,408983.4632482629,169941.07647888936,166.03419860797075,18898.508893300805,7852.720791363302,6.83186766045492,557320.5149268375,231578.18533348237,122576.23604638335,50932.95787318439,4.5630185685654196e-11,59.99999999972685,105029.27417054687,43641.832783602054,1.6115112265965676,18.360524570404515,51.4824136218598,41861.11717399756,17394.158821623907,2.0252104237649124,15.717850163532468,1.5998304333322612e-11,0.18400000006486736,336.13422287062434,139.6707124105743,7.787770448978297e-13,2.307175684842601,28.96924534057684,116154.47564649714,48264.5837864216,1.1643519013518524,0.49629195401416043,0.007206720938891499,0.036247757880669494,0.07331536993558095,0.07454102485676167
19,20,MEX-CHL,421701.7298377412,166881.6942294558,171.19740785876806,21036.397496047543,8324.816822486051,7.60472080401368,578237.6129490834,228828.25866820314,124517.65061733333,49275.86259721409,7.865468042745063e-11,59.99999999980551,105029.27417068456,41563.65027015167,1.5347725967594565,10.099070466113364,61.58148408797316,50072.82176181284,19815.51589479164,2.2906608492162395,15.434887899282359,1.5541410959455428e-11,8.04095073042487e-11,1.4689340891084152e-07,5.813070996795221e-08,8.920441930894758e-13,9.107032957737597e-08,28.785245431647166,115416.71348909663,45674.31273489722,1.1089065754730534,0.5261284231811187,0.006331572488220577,0.034521674172066176,0.07417349371459117,0.07528191058554033
20,21,MEX-CHL,435744.32205989223,164227.4522059989,176.8982509380103,21835.74853012676,8229.663971664353,7.893688600886409,592841.7972196584,223435.8383796172,127432.48426498333,48027.96309585133,59.99999997691778,59.999999999326114,105029.27416984538,39584.4288283996,0.5751778154860492,1.1318417741024462e-09,61.581484089087986,50072.82176271932,18871.919900143206,2.181581761195187,15.189397054532837,6.708400846474614e-11,1.4704163669001373e-10,2.686180775054234e-07,1.0123932832135857e-07,1.4354508849068207e-12,14.693852532576795,29.461330257066663,118127.5289579124,44521.02330201298,0.9041335885458903,0.5201147630091868,0.0072673077868218,0.032877784925777316,0.07047247496763127,0.07150327214892871
21,22,MEX-CHL,435197.23955974856,156210.72625279133,176.6761529495919,21860.83545070473,7846.779969702724,7.902757597936108,592294.7146458251,212599.6654393108,127470.38989519166,45754.523170684304,9.752279753482835e-09,59.99999999925581,105029.27416972232,37699.45602700307,0.547788395576569,2.516172277199322e-09,61.581484091584066,50072.821764748915,17973.25704848394,2.077696915500833,14.447930071120657,6.140334963627258e-11,2.0844498632628633e-10,3.807907253552353e-07,1.3668192339235177e-07,1.8675525318031662e-12,0.9055249523253904,29.96287704863007,120138.52040423188,43122.804598360344,0.8693255772231686,0.49591649408521166,0.006978744411398564,0.03131217611978791,0.07029383988109053,0.07151789747806964
22,23,MEX-CHL,428850.2175046478,146602.3915694335,174.09946509992685,22085.354678141066,7549.875649624839,7.983921972212036,610227.1120079583,208606.05957348197,133687.71965480832,45701.12972986064,7.603147714368436e-09,59.99999999892544,105029.274169144,35904.243835043315,0.5217032337956297,29.859764874018374,91.44124896557847,74352.2412449489,25417.304084587176,2.83474702010502,13.559255196256899,9.30715938395074e-11,3.0151658016579375e-10,5.508154419614535e-07,1.8829618782704342e-07,2.47338272544299e-12,2.17196798923426,31.702316174725848,127112.93886889434,43453.541765773145,0.864955405283623,0.4771521410562901,0.006600267513041256,0.029821120114083728,0.07065392627038591,0.0719375430723877
23,24,MEX-CHL,389794.6734351564,126905.96082291428,158.24416398512355,20549.904422666856,6690.459216886724,7.428852098507336,620596.6214081334,202048.45240491748,132668.32425344168,43192.99956506396,1.3246709325799113e-09,59.99999999867125,105029.27416869905,34194.51793799163,0.4968602226467827,64.83847836087713,156.2797273264269,127073.37355205404,41371.44415934456,4.42287951840901,11.737532316511334,9.815955270159076e-11,3.996761328673845e-10,7.301349254019172e-07,2.3771098107093857e-07,3.0256497492655173e-12,0.5017633394963165,32.10230040012631,128716.70719016246,41906.466437763294,0.8315690416893455,0.4228370225072408,0.006329926791364724,0.028401066775317833,0.07148003114357909,0.07317853067323274
24,25,MEX-CHL,396293.9575521003,122878.03927582095,160.8826653595111,20309.26248268207,6297.250577387053,7.341859315277019,638102.0321649875,197854.96366051,134118.43330885,41585.82234645809,7.40475533758046e-10,59.9999999983779,105029.27416818554,32566.207559832805,0.47320021203525586,17.26607474981898,173.54580207621177,141112.676051439,43754.51257766224,4.637329378805635,11.36498985262068,1.1879235627513527e-10,5.157360188895361e-10,9.421550318190692e-07,2.921320418784224e-07,3.5868246558346983e-12,0.6381201161311314,32.74042050189115,131275.300103046,40704.257974679225,0.805242282042202,0.39798623649086184,0.006028501654550345,0.027048635024112224,0.07194072226252121,0.07397162945397884
25,26,MEX-CHL,396302.0628270426,117029.09758236624,160.8859558417689,19597.36358006889,5787.155783163116,7.084505726285641,637968.5620221667,188393.88462118132,133877.9137434833,39534.518997564504,4.746685565380455e-10,59.99999999798223,105029.27416749293,31015.435771064804,0.4506668685977574,4.530044874897221e-09,173.545802080701,141112.67605508925,41670.96436075625,4.416504170392841,10.824021235393051,1.285007546054988e-10,6.406582284287929e-10,1.1703649764275257e-06,3.4561202143703407e-07,4.10690384074881e-12,1.1978437501383419,33.06518125604468,132577.45397919227,39150.48962468794,0.7634317089949751,0.3657482454959087,0.005741430078302736,0.02576060478486878,0.0718161028635899,0.07393494622078702
26,27,MEX-CHL,406573.7385295373,114345.09703551761,165.05592748335914,21361.868870470164,6007.827701041883,7.72237968228157,665572.8589337501,187186.20000946656,138849.59830930832,39050.16307605678,3.332070139810142e-10,59.99999999802485,105029.27416756754,29538.51025817794,0.429206541520377,16.99756171278187,190.54336379343434,154933.6466054455,43573.65263983771,4.56441587329134,10.575778024815017,1.359694984740698e-10,7.766277269028627e-10,1.4187562899469689e-06,3.990120616999747e-07,4.613297980541162e-12,1.002779253769689,34.06796047033849,136598.17638518312,38416.97151943271,0.7449318654860055,0.37969471070584665,0.005468028593273339,0.02453390931892265,0.07212299655575816,0.07392281561480578
27,28,MEX-CHL,322227.56941104436,86308.1128022806,130.81408189866283,18525.339967143613,4961.981169107332,6.696965974142317,663751.8832984334,177784.82617472723,138547.0738168792,37109.60082425291,2.42434426319935e-10,59.9999999980796,105029.27416766336,28131.914531623705,0.4087681347806443,117.83018413188137,308.3735479252565,250743.12400884257,67161.12426663659,6.641665155316013,7.982637353082928,1.467197478267831e-10,9.216141301879557e-10,1.6836198333049074e-06,4.509547421861796e-07,5.064623147951113e-12,3.942513993531815,37.368486426375696,149831.89570627888,40132.221397545705,0.7572777389571406,0.3135972098875832,0.005207646226127768,0.023365627922783475,0.07116387067309736,0.0750718345350801
28,29,MEX-CHL,249191.0314702137,63567.046561173345,101.16358466389974,18845.80290770785,4807.444408608891,6.812814288545115,680389.9604869292,173563.1496962495,141703.67852729585,36147.70675208214,2.562970996952006e-10,59.99999999820733,105029.27416788695,26792.299553984365,0.389302985505344,159.99999998722086,468.37354791240676,380841.50666232756,97150.24510954494,9.201785580401875,5.879316136442924,1.681391610549822e-10,1.0880721357924507e-09,1.9877080525154268e-06,5.070516766947551e-07,5.521574103651668e-12,8.187010980917328e-09,36.90338797027456,147967.0467377504,37745.45212965335,0.7096812212507331,0.303830486624082,0.004890778873991416,0.022252978974079497,0.07176771984250482,0.07873250077611757
29,30,MEX-CHL,192580.54486957577,46786.734889311265,78.18153863961197,18727.890734171706,4549.872155617247,6.770188684075277,687950.9843993626,167135.1607491409,142897.5025869375,34716.42254625242,3.0227843834519023e-10,59.999999998416506,105029.27416825312,25516.475765788353,0.3707647481007663,159.99999999520077,628.3735479075243,510939.88932229095,124130.96640829297,11.416312866287216,4.327305109912399,2.2855835018732599e-10,1.3128301177398415e-09,2.3982996262611984e-06,5.826580710684442e-07,6.102415004956866e-12,2.5455155864491474e-09,36.06539259172803,144607.03812706974,35131.74791649784,0.6564757888422735,0.2875519202350101,0.004657884608228762,0.021193313308647137,0.0723554367751759,0.08463773903769295
