,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL-WECC,60935.46363239061,60935.46363239061,22.028352909500125,1269274.6935529637,1269274.6935529637,5438.664363417345,93880.1087116843,93880.1087116843,1458789.7759355872,1458789.7759355872,2.1550000000000424,6.852000000000041,12687.940675138512,12687.940675138512,0.0,0.18400000000006822,4.881000000000069,20256.704404279048,20256.704404279048,0.0,3.8511213015670913,10.925600000000205,59.33200000000021,104716.74903044027,104716.74903044027,0.0,1.556600000000827,49.963000000000825,84798.33335317843,84798.33335317843,0.0,10.05265557293946,0.0,0.0,0.008954754009191804,0.008954754009198257
1,2,CHL-WECC,55957.471596176874,53292.83009159702,20.228793854432745,1245679.4070690838,1186361.340065794,5337.561864174038,94327.5195459942,89835.73290094685,1463666.395514373,1393967.9957279742,2.4782500000000875,9.33025000000013,17276.94957446177,16454.23768996359,0.0,0.20153520000011765,5.082535200000186,21093.098375485682,20088.665119510173,0.0,3.3681068617889354,14.229501440000295,73.5615014400005,129830.80436518026,123648.38510969547,0.0,1.9784386000010916,51.941438600001916,88156.18408115084,83958.27055347699,0.0,9.395981813321097,0.0,0.0,0.008602275643891818,0.008602275643898287
2,3,CHL-WECC,51186.205412327785,46427.397199390274,18.50396681517273,1213311.018809475,1100508.8605981632,5198.867852055963,95373.3506943904,86506.44053912962,1468274.3811979285,1331768.1462112728,2.8499875000001382,12.180237500000267,22554.30980868358,20457.423862751548,0.0,0.2207415045601746,5.303276704560361,22009.200692148494,19962.993825077996,0.0,2.9342115030014666,18.53250267545643,92.09400411545693,162539.35003314575,147427.98188947458,0.0,2.514595460601428,54.45603406060334,92424.01235640385,83831.30372462934,0.0,8.716030175937448,0.0,0.0,0.008212399971807371,0.008214376671327331
3,4,CHL-WECC,47431.58081642151,40973.182867009185,17.146658759878832,1167897.3500790014,1008873.6422235192,5004.27663945951,96872.94173910294,83682.48935458627,1463960.4294797697,1264624.0617469125,3.2774856250002036,15.45772312500047,28623.274078038747,24725.86034168124,0.0,0.24177816994480256,5.545054874505163,23012.607559589458,19879.15565022305,0.0,2.589505157194981,24.136731484514478,114.23073559997141,201609.1025312604,174157.52297269012,0.0,3.1960508304244546,55.6520848910278,94453.97687065793,81592.89655169673,0.0,7.990279246410271,0.0,0.0,0.007835703369990206,0.007846720313686899
4,5,CHL-WECC,45657.74266754863,37562.73788600315,16.50541094754678,1118140.3311668353,919896.8176155697,4791.074779403526,98576.40281861245,81099.0505549539,1458455.2051849046,1199874.706678723,3.769108468750264,19.083831593750734,35337.787962031805,29072.48561003434,0.0,0.2648196295405868,5.66687450404575,23518.172858963033,19348.459013652155,0.0,2.3739650343953915,31.43567908543163,140.43141468540307,247851.4327445727,203907.98709967363,0.0,4.062180605469525,54.47926549649733,92463.4412747076,76069.90196447578,0.0,7.285582795515314,0.0,0.0,0.007512139681259909,0.0075407851061453065
5,6,CHL-WECC,44158.857957465334,34599.62069103801,15.963559628197553,1049564.4331438453,822361.1967628382,4497.236657000735,100176.5632388491,78490.95856452058,1459692.0347679048,1143706.9042262407,4.334474739062828,23.397306332813564,43325.10722544941,33946.355176191304,0.0,0.29005694023584794,5.935931444281598,24634.789721548008,19302.002352281103,0.0,2.186696027673597,40.941828440866026,178.27524312626906,314643.0912963354,246531.095129203,0.0,5.163031549551802,56.54429704604913,95968.25951467962,75193.64248018713,0.0,6.513100678361677,0.0,0.0,0.007061902117567873,0.0071181573547921245
6,7,CHL-WECC,42792.62365406145,31932.514633137387,15.469661828814106,974496.4902738903,727184.2850107324,4175.581031314986,101633.81302918412,75840.71610126545,1466456.9353155636,1094292.7436370363,4.984645949922269,28.38195228273583,52555.2432586051,39217.53169355444,0.0,0.3176993666403672,6.253630810921965,25953.278178720826,19366.735770154886,0.0,2.0181349248142735,52.8810958499998,226.62413897626888,399975.44470804086,298467.83511772216,0.0,6.562213099480377,58.57431014552951,99413.64364936034,74183.99152689976,0.0,5.759299537285006,0.0,0.0,0.006533721640801361,0.006646621714277522
7,8,CHL-WECC,41558.0364422719,29534.52061638985,15.023354847990534,916620.6476630137,651425.1811058839,3927.5911483453337,102552.59861585977,72882.21719261966,1470264.9922342617,1044889.8803247977,5.732342842410614,34.09629512514645,63136.56885433013,44869.98073324733,0.0,0.34797611628123654,6.583606927203201,27322.71654134752,19417.744534373123,0.0,1.866581702955828,58.16920543499939,275.91774441126825,486975.14316995617,346084.1424883307,0.0,8.340572849439589,58.0392829949691,98505.5834715043,70006.07908677237,0.0,5.159287434358591,0.0,0.0,0.006049807431969426,0.006285600752531703
8,9,CHL-WECC,41102.76023154025,27819.96601273379,14.858771131982492,850621.556997963,575734.1519663497,3644.7942847182726,104503.11236935748,70731.8199060881,1469260.4433941033,994453.3011608507,6.592194268772201,40.58948939391865,75160.1041249563,50871.31692594511,0.0,0.38113824016288167,6.865745167366083,28493.622284458135,19285.605128899024,0.0,1.758221852004775,63.98612597849918,339.64667038976745,599452.1530073117,405732.81280819175,0.0,10.600868091637738,68.38295108660684,116061.09084554744,78554.71468425382,0.0,4.559814483573465,0.0,0.0,0.00545599667629498,0.005931397473192079
9,10,CHL-WECC,41537.689985945624,26775.565324031253,15.015999542989391,798760.482651788,514888.12903977366,3422.5768416953592,106180.22490052864,68444.71969689173,1461182.5089093253,941891.2734644419,7.581023409088034,47.73951280300668,88399.89876015187,56983.36293354449,0.0,0.41746071445044725,6.852205881816531,28437.43271157913,18331.022680227557,0.0,1.692215728478785,70.3847385763491,408.4384089661166,720864.6660503102,464675.79112239473,0.0,13.47370334447155,80.26365443107838,136225.2892058281,87812.03603642483,0.0,4.077913981995029,0.0,0.0,0.004933987109211928,0.005711099821772282
