,year,location,fossil_gen,curtailment
0,1,MEX,353009.2949114881,2.8760405257344246e-07
1,2,MEX,354785.0218587608,3.01864929497242e-07
2,3,MEX,365032.33562689717,3.1740637496113777e-07
3,4,MEX,358429.6503396036,3.332970663905144e-07
4,5,MEX,358943.155229548,3.498862497508526e-07
5,6,MEX,358310.5206284812,3.677560016512871e-07
6,7,MEX,345336.41090776125,3.864988684654236e-07
7,8,MEX,324620.7631835291,193.65517860802356
8,9,MEX,292825.311179621,4262.097366756818
9,10,MEX,271012.2758263083,24389.252691597852
10,11,MEX,208901.6912275743,51829.52972680918
11,12,MEX,198908.8488598123,158714.5769201906
12,13,MEX,189818.5952400974,321551.2229917118
13,14,MEX,181812.5180081768,493161.1576702249
14,15,MEX,171921.98899214543,696514.797103653
15,16,MEX,163957.85211140715,906025.7147047013
16,17,MEX,153002.24071334448,1155231.4508167855
17,18,MEX,143065.82707871182,1429758.0013534264
18,19,MEX,132994.80990445687,1735271.6837665862
19,20,MEX,123139.0742267385,2061633.7417402393
20,21,MEX,113482.60219095314,2428180.044090993
21,22,MEX,102209.64718252946,2847155.0805764096
22,23,MEX,90533.7251455639,3289746.5065729627
23,24,MEX,81284.12601773509,3788649.4244176145
24,25,MEX,73763.2837983456,4332451.892397892
25,26,MEX,62104.23470031369,4944130.4047824005
26,27,MEX,53027.126245084575,5589031.792456394
27,28,MEX,45665.96045983364,6327187.3888186775
28,29,MEX,37066.91001479979,7110863.808298043
29,30,MEX,33417.23039440053,7975759.280435167
30,1,CHL,75502.6231030486,1.9815342966467142e-07
31,2,CHL,70369.76866316577,2.0817969925701618e-07
32,3,CHL,62283.781365320865,488.0272392861225
33,4,CHL,55329.64686008728,7268.275465427083
34,5,CHL,52676.03559274623,22758.610168070867
35,6,CHL,51951.977885650595,47755.95948421344
36,7,CHL,49484.73976769243,91692.44461565859
37,8,CHL,47962.1070711505,156195.11105820345
38,9,CHL,46039.709170108305,254765.08381072627
39,10,CHL,45286.96057876934,383126.0990806094
40,11,CHL,42631.648673115684,528407.4016297634
41,12,CHL,39654.45417589212,684452.9438409935
42,13,CHL,34935.022567876,862933.8038746212
43,14,CHL,29813.27460986967,1059231.4784595598
44,15,CHL,23451.042482374487,1279293.5025919178
45,16,CHL,17184.267956719996,1519100.618122023
46,17,CHL,18161.77037364158,1769202.944915428
47,18,CHL,17943.27866987219,2049141.4081243894
48,19,CHL,17533.91054038768,2353927.389154558
49,20,CHL,17098.33694412577,2690923.744661966
50,21,CHL,16174.0775423094,3056085.046714069
51,22,CHL,15571.89475917381,3459976.1192778074
52,23,CHL,16502.18595417722,3843552.6047883714
53,24,CHL,15735.443119280897,3844172.2370412145
54,25,CHL,15441.848127661562,3842429.090986384
55,26,CHL,14341.076000527704,3841172.690028401
56,27,CHL,12972.688328368717,3834999.026009439
57,28,CHL,10847.545816974418,3833138.9624083275
58,29,CHL,10549.24324887973,3829967.917068413
59,30,CHL,9705.856438998802,3827439.1333274115
60,1,USA,0.0,0.0
61,2,USA,0.0,0.0
62,3,USA,0.0,0.0
63,4,USA,0.0,0.0
64,5,USA,0.0,0.0
65,6,USA,0.0,0.0
66,7,USA,0.0,0.0
67,8,USA,0.0,0.0
68,9,USA,0.0,0.0
69,10,USA,0.0,0.0
70,11,USA,0.0,0.0
71,12,USA,0.0,0.0
72,13,USA,0.0,0.0
73,14,USA,0.0,0.0
74,15,USA,0.0,0.0
75,16,USA,0.0,0.0
76,17,USA,0.0,0.0
77,18,USA,0.0,0.0
78,19,USA,0.0,0.0
79,20,USA,0.0,0.0
80,21,USA,0.0,0.0
81,22,USA,0.0,0.0
82,23,USA,0.0,0.0
83,24,USA,0.0,0.0
84,25,USA,0.0,0.0
85,26,USA,0.0,0.0
86,27,USA,0.0,0.0
87,28,USA,0.0,0.0
88,29,USA,0.0,0.0
89,30,USA,0.0,0.0
