,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh
0,1,MEX-CHL_lowIR_MEX_FF_Costs,353009.2949163623,353009.2949163623,143.31047743860586,75502.62310802776,75502.62310802776,27.294424761421375,374452.1939849834,374452.1939849834,93298.49082726167,93298.49082726167,1.0820000000115084,8.61500000001151,15080.453283076487,15080.453283076487,0.0,0.909000000022104,8.126000000022104,6362.445790742821,6362.445790742821,0.0,8.772633987966525,2.1550000000077865,6.852000000007786,12734.535475514655,12734.535475514655,0.0,0.18400000001428776,4.8810000000142875,5061.332248925059,5061.332248925059,0.0,1.8763156868575988,0.0,0.0,0.02276629413992573,0.022766294140432113,0.0,0.0,0.0
1,2,MEX-CHL_lowIR_MEX_FF_Costs,355323.64389382733,338403.4703750736,144.25002906428927,71391.07022360573,67991.49545105307,25.808086059044125,379910.9161654542,361819.9201575754,94404.13441219501,89908.69944018572,1.3314511312468942,9.946451131258403,17411.14238156068,16582.040363391123,0.0,1.03922253375099,9.165222533773093,7176.129895528828,6834.4094243131685,0.0,8.409664642290952,2.6850711986881497,9.537071198695935,17724.776928220148,16880.739931638236,0.0,0.2188687450417275,5.099868745056015,5288.287265839258,5036.464062704055,0.0,1.689656653454119,0.0,0.0,0.022357054340513476,0.022357054341028793,0.0,0.0,0.0
2,3,MEX-CHL_lowIR_MEX_FF_Costs,366994.034086941,332874.4073350938,148.98783403020735,65704.49732816879,59595.91594391726,23.752372897624994,395379.57904738747,358620.9333763151,95107.90331860584,86265.67194431368,1.6384123058031872,11.584863437061589,20279.163302750414,18393.79891405933,0.0,1.1881006321544898,10.353323165927584,8106.381663435505,7352.727132367805,0.0,8.272261896684423,3.345525448721882,12.882596647417817,23942.481614579967,21716.536611863914,0.0,0.2603452584368864,5.360214003492902,5558.251177410142,5041.497666585163,0.0,1.4810181071222872,0.0,0.0,0.02191872027655609,0.021923069580342937,0.0,0.0,0.0
3,4,MEX-CHL_lowIR_MEX_FF_Costs,363221.8246241926,313764.66871758347,147.45643769903418,59422.68442308748,51331.549010333634,21.481478686999406,396200.1210200833,342252.56107986893,95174.48972858835,82215.30264860239,2.0161422532185305,13.601005690280122,23808.395927435035,20566.587562842054,0.0,1.3583068748812253,11.71163004080881,9169.900474486649,7921.304804653189,0.0,7.797365782300665,4.1684334231091,17.051030070526917,31689.571997511015,27374.643772820225,0.0,0.3096817390581631,5.6698957425510645,5879.374343317474,5078.82461359894,0.0,1.2756403244558017,0.0,0.0,0.02129625780685303,0.02137501300348239,0.0,0.0,0.0
4,5,MEX-CHL_lowIR_MEX_FF_Costs,368758.0211542884,303378.13660299015,149.7039563319642,56708.38971083752,46654.13255656851,20.500253005636864,406474.23776424583,334407.3613477888,97150.27764382835,79925.77384429601,2.4809564544969733,15.757962144777093,27584.12210800711,22693.52552321891,0.0,1.5528967129679143,12.940526753776723,10132.094508286687,8335.699226792693,0.0,7.539250072720913,5.193754305327431,22.101784375854347,41076.46777673277,33793.71169562703,0.0,0.368367682520263,5.895263425071327,6113.068405887024,5029.236506095319,0.0,1.1594018481632824,0.0,0.0,0.020716775970895752,0.02099434291406962,0.0,0.0,0.0
5,6,MEX-CHL_lowIR_MEX_FF_Costs,376511.31380556716,295006.46633807896,152.85154504301855,56594.29560384226,44343.11147846128,20.45900764367577,420723.56842009997,329647.9247071313,101925.42668695917,79861.23883769507,3.052931864941691,18.716894009718786,32763.696542946167,25671.21355163051,0.0,1.7753633186573363,14.62189007243406,11448.55807824382,8970.244822637886,0.0,7.331205694967602,6.4712761476655505,28.5520605235199,53064.393992322315,41577.34120077622,0.0,0.43817484988763605,6.312438274958964,6545.656097173765,5128.692828839455,0.0,1.1019706633512403,0.0,0.0,0.02004572162553991,0.020593376434653865,0.0,0.0,0.0
6,7,MEX-CHL_lowIR_MEX_FF_Costs,377025.8003461539,281342.4571475471,153.06041011492727,54072.57251591627,40349.786147127255,19.547397182221285,429195.7010480417,320272.4402922998,101004.15841602876,75370.85813436566,3.756774108258469,22.391668117977254,39196.34416516054,29248.915507911028,0.0,2.029700292949904,16.569590365383963,12973.556543721788,9681.067642061067,0.0,6.991641402573688,8.0630335047575,36.6150940282774,68049.65175742461,50779.697877150975,0.0,0.5212107581199565,6.83364903307892,7086.1233822693375,5287.774370316193,0.0,1.0027325355422594,0.0,0.0,0.019185436940745884,0.020206013775304083,0.0,0.0,0.0
7,8,MEX-CHL_lowIR_MEX_FF_Costs,377282.44234298763,268127.58795905526,153.16459855309807,53027.5462333287,37685.687090638545,19.169617045986996,436285.8940402417,310060.23949352815,102635.89407014583,72941.41371686547,4.622884599079059,25.800552717056313,45163.55541806153,32096.895637913418,0.0,2.320473356583436,17.676063721967402,13839.896286540421,9835.755901781473,0.0,6.663238688370486,10.04631973900301,46.64341376728041,86687.42079945505,61607.13151930626,0.0,0.6199823071746575,7.435631340253577,7710.346382592321,5479.59922294468,0.0,0.9365270098894571,0.0,0.0,0.018320075731608272,0.01984264463235927,0.0,0.0,0.0
8,9,MEX-CHL_lowIR_MEX_FF_Costs,374062.2927789277,253180.08360347737,151.8573208748758,51693.43810931953,34988.15367098125,18.687332956833362,444323.0794083416,300735.3496013636,102670.88225200833,69491.69444237177,5.688673686664327,31.18222640372064,54584.11010365584,36944.67425946202,0.0,2.6529023113987518,20.02196603336615,15676.676533477686,10610.591743649125,0.0,6.291778257630018,12.517440270923698,59.0618540382041,109767.26145626443,74294.8032156941,0.0,0.7374714647011815,8.074102804954759,8372.406660056171,5666.774382437149,0.0,0.869490606877556,0.0,0.0,0.017227630227722678,0.01934291127490299,0.0,0.0,0.0
9,10,MEX-CHL_lowIR_MEX_FF_Costs,381841.16006740904,246138.21635839893,155.015292070246,52299.53614334161,33712.74731205295,18.906439214426445,465597.93798560835,300128.5821981441,106561.09726338251,68690.23341792828,7.000176539077819,37.73540294279846,66055.36636055472,42579.87812004671,0.0,3.0329547434194986,22.60792077678565,17701.41156575385,11410.487724925768,0.0,6.116780814722575,15.596389026699951,74.22724306490406,137952.34384976586,88925.31085870246,0.0,0.8772252932925241,8.520328098247283,8835.118085424105,5695.195893701491,0.0,0.8377954834518286,0.0,0.0,0.016231495338658704,0.018856348981430158,0.0,0.0,0.0
10,11,MEX-CHL_lowIR_MEX_FF_Costs,284205.90899530036,174477.77426681374,115.37850446300402,51436.01380784753,31577.250585943086,18.594273299578308,467086.6593182209,286750.69070753315,106746.2510468,65532.938283419644,8.61404156353472,45.64744450633318,79905.29940437194,49054.92233248646,0.0,3.4674531497531875,25.37337392653884,19866.689162615254,12196.42378090407,0.0,4.335947168304585,19.432675164210107,93.48191822911417,173737.42031617946,106659.70496808412,0.0,1.04346303828148,9.385791136528763,9732.556312405028,5974.9453110172235,0.0,0.7847262543112716,0.49714210208450377,0.0,0.014786019962488095,0.015946853791620943,1.5151472673045342e-05,94664.40220894919,94664.40222410066
