,year,location,fossil_gen,curtailment
0,1,MEX,353009.2949113985,1.9720755517482758e-07
1,2,MEX,354785.0218586687,2.0727748051285744e-07
2,3,MEX,365032.3356268023,2.171727828681469e-07
3,4,MEX,358429.6503395086,2.284068614244461e-07
4,5,MEX,358943.1552294551,2.400483936071396e-07
5,6,MEX,358310.52062839246,2.5180634111166e-07
6,7,MEX,345336.4109076812,2.641463652253151e-07
7,8,MEX,324620.76318346267,193.65517847746378
8,9,MEX,292825.3111795637,4262.0973666039645
9,10,MEX,271012.2758262343,24389.252691383997
10,11,MEX,598650.6332724724,441578.4717715053
11,12,MEX,574818.6530019351,534624.3810620306
12,13,MEX,557446.6850296847,689179.3127810118
13,14,MEX,538380.3448638117,849728.9845255734
14,15,MEX,527858.5194855292,1052451.3275967918
15,16,MEX,516840.4445731721,1258908.3071662914
16,17,MEX,507294.2454430262,1509523.455546409
17,18,MEX,499166.6803672073,1785858.854642028
18,19,MEX,495805.17161662376,2098082.0454790764
19,20,MEX,489823.3484823109,2428318.015996424
20,21,MEX,482213.3497732663,2796910.7916742936
21,22,MEX,478017.5171382382,3222962.9505337114
22,23,MEX,469509.8694892037,3668722.6509191855
23,24,MEX,457483.6537155092,4164848.952119431
24,25,MEX,438842.1939211352,4697530.802527579
25,26,MEX,424602.38306589174,5306628.553161317
26,27,MEX,399958.9026994545,5935963.568941661
27,28,MEX,376350.94750708545,6657872.375915942
28,29,MEX,359928.15778808465,7433725.0561618935
29,30,MEX,333170.9706305867,8275513.020893548
30,1,USA,1261958.0287400656,1.2596137821674347e-07
31,2,USA,1245088.7198850685,1.3317912817001343e-07
32,3,USA,1189410.3481351444,1.3899989426136017e-07
33,4,USA,1149654.4758887666,1.4668330550193787e-07
34,5,USA,1132635.818373081,1.5366822481155396e-07
35,6,USA,1075354.171113982,50.51816442958079
36,7,USA,987912.9022597136,7860.698919146089
37,8,USA,939260.7037490336,27526.93829933298
38,9,USA,868744.9880882759,96514.03355310042
39,10,USA,843795.3254479372,182872.0532218113
40,11,USA,495718.3242980926,0.0
41,12,USA,480276.7412653237,93131.3221017078
42,13,USA,459753.8294469906,244059.50581598328
43,14,USA,440058.6530895373,427602.66797734844
44,15,USA,425537.8319538738,619519.3145088737
45,16,USA,420316.7547068405,809159.8878853177
46,17,USA,411436.9517968525,1013913.8955344134
47,18,USA,391814.8780400826,1278776.0394290544
48,19,USA,369205.2369914867,1547374.2070187097
49,20,USA,341313.5517546856,1875628.5678609614
50,21,USA,326477.00222652755,2197489.047758359
51,22,USA,304825.8097863737,2543193.8235631725
52,23,USA,278982.7766464975,2920292.5371315936
53,24,USA,252398.32109867057,3352144.3556371955
54,25,USA,224771.38703034466,3818079.957240801
55,26,USA,198779.6081281529,4313369.958324469
56,27,USA,182604.82244647632,4842119.649425641
57,28,USA,160020.78753143115,5421882.563032327
58,29,USA,127330.25075677969,6070049.3229169715
59,30,USA,104781.05530253223,6779694.583448602
