,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
0,1,MEX-WECC_highIR_MEX_FF_Costs,353009.294922232,353009.294922232,143.31047744098876,1261958.0287509044,1261958.0287509044,474.5605786698063,374452.1939849834,374452.1939849834,1441501.1822344584,1441501.1822344584,1.082000000003981,8.615000000003981,15080.45328306331,15080.45328306331,0.0,0.9090000000077508,8.12600000000775,6362.445790731583,6362.445790731583,0.0,8.772633988112393,10.925600000003708,59.3320000000037,104690.92118557847,104690.92118557847,0.0,1.556600000012915,49.96300000001291,74852.2323089656,74852.2323089656,0.0,31.36091897248871,0.0,0.0,0.02210054150380586,0.022100541504074016,0.0,0.0,0.0
1,2,MEX-WECC_highIR_MEX_FF_Costs,354785.02187002014,337890.49701906677,144.0313657585283,1245088.719896414,1185798.7808537276,468.2168582057662,379910.9161654542,361819.9201575754,1452222.6914922919,1383069.2299926588,1.5809022624575488,10.19590226246153,17847.803569084106,16997.908161032483,0.0,1.1694450665387335,9.295445066546485,7278.090737948428,6931.514988522312,0.0,8.396916741420826,14.192908043862602,73.5249080438663,129734.21346317048,123556.39377444808,0.0,1.7004440533324816,51.663444053345394,77399.7581442519,73714.055375478,0.0,29.46828550299597,0.0,0.0,0.02170063481721937,0.021700634817493486,0.0,0.0,0.0
2,3,MEX-WECC_highIR_MEX_FF_Costs,365032.33563867793,331095.08901467384,148.19144723456282,1189410.3481470086,1078830.2477523887,447.27895083103095,395379.57904738747,358620.9333763151,1431859.7659386252,1298739.0167243765,2.30984469818192,12.50574696064345,21891.158770714726,19855.92632264374,0.0,1.5045123912421456,10.79995745778863,8456.08465017498,7669.918050045333,0.0,8.22804405710366,18.437306760403363,91.96221480426968,162266.7191755618,147180.69766490866,0.0,1.8575806106188157,53.52102466396421,80182.69862818268,72728.07131807953,0.0,26.810010486894626,0.0,0.0,0.021140884055635266,0.021140884055916506,0.0,0.0,0.0
3,4,MEX-WECC_highIR_MEX_FF_Costs,358429.650351909,309625.0084024697,145.5109682940637,1149654.4759011543,993114.7616034158,432.32871531710515,396200.1210200833,342252.56107986893,1430880.0834424584,1236048.0150674514,3.3748971434965487,15.88064410414,27798.875393769868,24013.713762029904,0.0,1.9355826110753698,12.735540068864,9971.595287196636,8613.838926419727,0.0,7.694491083809769,23.950995773849716,113.91321057811939,200999.10588939115,173630.5849384655,0.0,2.0292380206122975,53.55026268457651,80226.50166465217,69302.6685365746,0.0,24.67989494060649,0.0,0.0,0.020512180324352872,0.020512180324639508,0.0,0.0,0.0
4,5,MEX-WECC_highIR_MEX_FF_Costs,358943.15524237,295303.4221275044,145.7194348474344,1132635.8183859983,931822.2908240892,425.92883213987295,406474.23776424583,334407.3613477888,1455002.1798421668,1197033.8941837335,4.931037458120671,20.48768156226067,35863.43873218882,29504.939799518772,0.0,2.490162305145384,14.901702374009382,11667.643803120896,9598.999431817725,0.0,7.3385853432906085,31.113557202992475,139.79176778111187,246661.6487420643,202929.1488563422,0.0,2.2167581426930756,50.532020827269584,75704.7127274842,62282.454514309735,0.0,23.15671574926943,0.0,0.0,0.01991281153095008,0.019912811531236918,0.0,0.0,0.0
5,6,MEX-WECC_highIR_MEX_FF_Costs,358310.52064179856,280745.66864378605,145.46260544390972,1075354.1711274434,842568.1312993529,404.3880114066461,420723.56842009997,329647.9247071313,1462507.7210146668,1145913.0680771442,7.204702655972254,27.598384218232923,48310.63771223459,37852.64876631372,0.0,3.203639188781125,18.01134156279051,14102.410080174253,11049.607308085084,0.0,6.9768106114667265,40.41808745508445,177.11185523619633,312512.6959745678,244861.87464967606,0.0,2.4216068363002274,49.85562766356981,74691.37209098443,58522.644442718265,0.0,20.938660630920207,0.0,0.0,0.01891804036489159,0.018918547846478707,0.0,0.0,0.0
6,7,MEX-WECC_highIR_MEX_FF_Costs,345336.4109215356,257695.346848883,140.19553206899388,987912.9022737871,737195.8182126757,371.50563481295984,429195.7010480417,320272.4402922998,1449077.4755909585,1081323.9232053098,10.526738196944507,38.04312241517743,66594.02557442563,49693.48720764973,0.0,4.121540202694493,22.050881765485,17265.264566895894,12883.606246822528,0.0,6.403987064541589,52.50514375031024,225.08479898650654,397160.63761151925,296367.3827237357,0.0,2.6453854196700757,47.968813083239894,71864.63463945506,53626.496841627275,0.0,18.320053278403197,0.0,0.0,0.01756639818151541,0.01763991473354515,0.0,0.0,0.0
7,8,MEX-WECC_highIR_MEX_FF_Costs,324620.76319772936,230701.91577721745,131.7856419938557,939260.7037638501,667515.0462898469,353.2099269110995,436285.8940402417,310060.23949352815,1458769.6969363752,1036720.3885722571,15.380539955405046,52.20966237058248,91392.38239160925,64950.85988182954,0.0,5.3024365858398275,26.139318351324828,20466.403644698603,14545.090965194368,0.0,5.733173308979627,58.16920543498178,274.3784044214883,484138.87804747885,344068.46181848686,0.0,2.8898431874657264,41.98305627070562,62897.053439833864,44699.76159988646,0.0,16.58841641534898,0.0,0.0,0.016335088081960773,0.016574035339657615,0.0,0.0,0.0
8,9,MEX-WECC_highIR_MEX_FF_Costs,292825.3111943519,198195.69681463685,118.8777059349486,868744.9881039498,588000.8035138967,326.692421521478,444323.0794083416,300735.3496013636,1436060.3356950835,971982.1614465624,22.472394097198297,74.37505646778078,130192.63662066689,88119.50111116485,0.0,6.821681304592562,32.65399965591739,25567.228976266797,17304.906949137778,0.0,4.925361261540537,63.9861259784696,338.10733039995796,596588.1460116991,403794.3401404356,0.0,3.1568910851495255,44.882747355855145,67241.23514889443,45511.514700198626,0.0,14.612407968123824,0.0,0.0,0.014570347736672701,0.01535122213693549,0.0,0.0,0.0
9,10,MEX-WECC_highIR_MEX_FF_Costs,271012.27584200527,174696.9294122337,110.0223115990272,843795.3254643923,543917.9902572454,317.31007593621075,465597.93798560835,300128.5821981441,1448915.2188255417,933983.6688986048,32.834250157922014,106.76230662570279,186886.12622869964,120468.4632844245,0.0,8.776217323502586,40.98321697941998,32088.788624304838,20684.71925785512,0.0,4.34139339282342,70.38473857630584,406.8990689762638,717970.7132858598,462810.32336731686,0.0,3.4486166469940525,46.738364002849195,70021.23331427974,45136.311318951375,0.0,13.516905975882821,0.0,0.0,0.013057035130884683,0.014470563235099293,0.0,0.0,0.0
