,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh
0,1,MEX_2042_high-CHL_2035_high,353009.2962992154,353009.2962992154,143.31047799999985,76880.0590866465,76880.0590866465,27.79237200000001,374452.1939849834,374452.1939849834,93298.49082726167,93298.49082726167,1.082000000000033,8.615000000000034,15080.453283056399,15080.453283056399,0.06993856690645324,0.9089982272539752,8.125998227253975,6362.4444027116715,6362.4444027116715,0.11510419095399384,8.772634022331804,1.5025537640525526,6.199553764052552,11521.95524527115,11521.95524527115,0.09002448470120122,0.025017958597574073,4.722017958597574,4896.476495345874,4896.476495345874,0.0026763715783112616,2.764453164637639,0.0,0.999913231364836,0.02739652650133055,0.027396526501330665,0.0,0.0,0.0
1,2,MEX_2042_high-CHL_2035_high,357327.5603003193,340311.96219078026,145.06355499999998,76981.74550300732,73315.9480981022,27.829131944573643,379910.9161654542,361819.9201575754,94404.13441219501,89908.69944018572,0.41646709238613083,9.031467092386164,15809.473890213607,15056.641800203433,0.09025290512305803,0.525480581174786,8.651478808428761,6773.881974924755,6451.316166595005,0.1725096306724448,8.457092572403079,0.5209445611140663,6.720498325166618,12490.13781886659,11895.369351301513,0.11315250209570418,0.03449996750148534,4.756517926099059,4932.251090326744,4697.381990787375,0.0060370059081564465,2.636294861711558,0.0,0.9522983155855581,0.02751129163471075,0.027511291634711273,0.0,0.0,0.0
2,3,MEX_2042_high-CHL_2035_high,371381.92911756603,336854.3574762503,150.769179,76191.70538812393,69108.12280101943,27.543530072922977,395379.57904738747,358620.9333763151,95107.90331860584,86265.67194431368,0.505557409532587,9.53702450191875,16694.446019796793,15142.35466648235,0.11098695539331717,0.6760403445649565,9.327519152993718,7303.203910026643,6624.221233584256,0.24075262349287832,8.371167637642294,0.7772208567165327,7.49771918188315,13934.613383979744,12639.105110185708,0.14343463472456347,0.04757573456528762,4.804093660664347,4981.584546508036,4518.444033113864,0.010295229407583484,2.4849898796790573,0.0,0.9069507767481505,0.02757686473443207,0.027576864734432514,0.0,0.0,0.0
3,4,MEX_2042_high-CHL_2035_high,370508.13384328363,320058.8565755608,150.41444608009022,74035.18184585757,63954.37369256673,26.763940342823073,396200.1210200833,342252.56107986893,95174.48972858835,82215.30264860239,0.5788985624717911,10.115923064390543,17707.800950381166,15296.664248250656,0.1304872858602249,0.8697382241180992,10.197257377111816,7984.186226427488,6897.040256065208,0.3222401775766476,7.953782644759263,1.1595711045017079,8.657290286384859,16089.69210065253,13898.880985338541,0.18262290924369096,0.06560732323383281,4.86970098389818,5049.615782084366,4362.047970702401,0.015728621997527364,2.2996713692373163,0.0,0.8637626445220481,0.02772482126167375,0.0277248212616746,0.0,0.0,0.0
4,5,MEX_2042_high-CHL_2035_high,379246.390590701,312006.94409485837,153.96189869532577,73115.94499017726,60152.66889016593,26.43163346178408,406474.23776424583,334407.3613477888,97150.27764382835,79925.77384429601,0.8458244428276743,10.637747507218217,18621.248324962664,15319.747080660969,0.15526629060601094,1.118934076307072,10.99219145341889,8606.598848591435,7080.670172277134,0.4198929619024453,7.753684567701329,1.7300168089618024,10.244307095346661,19039.184490310905,15663.584198197996,0.2326850462312245,0.09047303002756171,4.817174013925742,4995.1481633466,4109.520755937371,0.022698445895091936,2.1629696679525887,0.0,0.8226310900209981,0.027923974907161496,0.027923974907162367,0.0,0.0,0.0
5,6,MEX_2042_high-CHL_2035_high,390443.4512079767,305922.6605477007,158.50754699999987,73025.53395239767,57217.41667203443,26.398949600393593,420723.56842009997,329647.9247071313,101925.42668695917,79861.23883769507,1.2358278884473992,11.779575395665615,20620.004230827075,16156.31286754334,0.1861338546197746,1.4395290817425919,12.33772053516148,9660.112981305181,7568.951291894244,0.5372555761213612,7.6024840372709095,2.581090670223717,12.804397765570378,23797.147925871464,18645.688087240906,0.2956752547205768,0.1247630410586075,4.92093705498435,5102.744808696924,3998.1340784251306,0.03167493642362519,2.057423868693012,0.0,0.7834581809723791,0.028068006120608106,0.028068006120608956,0.0,0.0,0.0
6,7,MEX_2042_high-CHL_2035_high,394512.4910699349,294391.2950018554,160.1594469746793,65506.518976574385,48881.97304038922,23.680803129588558,429195.7010480417,320272.4402922998,101004.15841602876,75370.85813436566,1.8056590617770916,13.503234457442709,23637.248567106373,17638.478814901835,0.2292468164004326,1.8519803990793626,14.107700934240842,11045.961411010958,8242.666475550423,0.6768872060732887,7.3159180720911055,3.850846427274744,16.655244192845124,30953.998544498638,23098.350301372637,0.38434231626010085,0.17204924395092888,5.092986298935278,5281.1505425238975,3940.87584678721,0.043133408678076385,1.7576979865863145,0.0,0.7461506485451229,0.028151326379820266,0.028190484962054223,0.0,0.0,0.0
7,8,MEX_2042_high-CHL_2035_high,398194.5891587202,282989.4602739365,161.65426097158723,64314.07291232777,45706.81088341871,23.249730300025227,436285.8940402417,310060.23949352815,102635.89407014583,72941.41371686547,2.638235208847601,14.927469666290309,26130.355071007732,18570.355498636138,0.28889670511784904,2.3826065357583763,15.27630746999922,11960.949810524891,8500.423720963452,0.8433081023097203,7.0325710772675905,1.9834721516939182,18.62071634453904,34606.855351540944,24594.445992853827,0.4152161353843304,0.2372573006631111,5.312243599598389,5508.508470541766,3914.7941268776626,0.05779150428264671,1.6435255057459697,0.0,0.7106196652810695,0.02860423337901447,0.0286994288490734,0.0,0.0,0.0
8,9,MEX_2042_high-CHL_2035_high,397861.9070803273,269288.59936376545,161.5192026935862,63489.127388032866,42971.940477074204,22.951510018156036,444323.0794083416,300735.3496013636,102670.88225200833,69491.69444237177,3.854706109553649,18.475175775843958,32340.571698649914,21889.37191615722,0.37088534840175685,3.065266731257271,18.03457420125649,14120.600629376238,9557.378321448889,1.0419239216807428,6.692090982788931,0.9106181504623337,19.432334495001374,36115.25875633113,24444.228696136113,0.41640943456326035,0.32717973892405355,5.540423338522443,5745.118483072852,3888.522328862247,0.07657083613939521,1.545185035674633,0.0,0.6767806336010185,0.029082477683743,0.029224894201871368,0.0,0.0,0.0
9,10,MEX_2042_high-CHL_2035_high,407322.65587393526,262563.81575385213,165.35996395982986,66562.36887380459,42906.69646063241,24.062496034986985,465597.93798560835,300128.5821981441,106561.09726338251,68690.23341792828,5.632082818543768,23.660258594387724,41416.99644778831,26697.765193205178,0.4830483757171556,3.9435215142486633,21.531095715505153,16858.28566389662,10867.001251094427,1.2791962592092831,6.524973385298982,0.45660668100996754,19.457941176011342,36162.84912231644,23310.894980084115,0.4063363770934785,0.45118350947779823,5.560606848000241,5766.047687624412,3716.8457507797075,0.10065445237036502,1.5428389913314202,0.0,0.6445529843819223,0.02967494791431679,0.029775055828046675,0.0,0.0,0.0
