,year,location,fossil_gen,curtailment
0,1,MEX,353009.2962992201,1.4319084584712982e-08
1,2,MEX,357327.5603003228,1.3184035196900368e-07
2,3,MEX,371381.92911757005,7.200287654995918e-08
3,4,MEX,370507.97179005883,3.4732511267066e-07
4,5,MEX,379246.1904966299,3.6478741094470024e-07
5,6,MEX,390443.4512079708,3.415043465793133e-07
6,7,MEX,394513.11235694506,4.020403139293194e-07
7,8,MEX,398196.5413792317,4.2247120290994644e-07
8,9,MEX,397866.3483412153,4.432513378560543e-07
9,10,MEX,407331.43426389794,4.653702490031719e-07
10,11,MEX,399008.1278137799,198.94531699863728
11,12,MEX,405217.47034246323,5744.543183875969
12,13,MEX,392119.67780826724,7645.6066937315045
13,14,MEX,383294.10708556266,9769.653218843858
14,15,MEX,363781.857323069,11174.272007205116
15,16,MEX,355004.315611081,13415.998876098543
16,17,MEX,326368.9556167133,20047.014585007913
17,18,MEX,297876.88687533623,40352.80485301779
18,19,MEX,267754.88215820305,83260.20584395167
19,20,MEX,241776.5291845692,110397.90687165549
20,21,MEX,213704.67376739398,150456.38486773358
21,22,MEX,183563.19463603367,229916.42091574194
22,23,MEX,161053.03866314847,332898.2808690212
23,24,MEX,139824.9517203358,493207.1331053284
24,25,MEX,122699.09697316324,718991.7936443121
25,26,MEX,106453.29681157414,769856.38490774
26,27,MEX,95565.81306901324,801470.3499584001
27,28,MEX,84663.87744847154,847979.5904973157
28,29,MEX,76984.41256453202,888791.7160312511
29,30,MEX,70499.35216569057,957360.6414391871
30,1,CHL,76880.0590866472,1.333683030679822e-07
31,2,CHL,77074.16259339485,1.474982127547264e-07
32,3,CHL,76640.7332719237,9.466020856052637e-08
33,4,CHL,75328.80901580417,3.4515687730163336e-07
34,5,CHL,75669.64042928965,3.6206620279699564e-07
35,6,CHL,77459.14418414047,2.556625986471772e-07
36,7,CHL,72007.297024557,3.9929000195115805e-07
37,8,CHL,67783.55784931945,464.6768171360163
38,9,CHL,65787.26009643408,1203.764835706068
39,10,CHL,68007.37753213226,1106.2533476253302
40,11,CHL,64066.72420422309,620.4829032131238
41,12,CHL,62231.193102130084,0.0
42,13,CHL,57644.7083426669,0.0
43,14,CHL,54185.38435365424,0.0
44,15,CHL,50594.10848595719,0.0
45,16,CHL,48140.463564616526,658.9617361732671
46,17,CHL,46025.97765440492,8552.363619203985
47,18,CHL,43280.3711172487,12839.291811585805
48,19,CHL,41314.633626830626,18120.118671348668
49,20,CHL,39491.31265854004,30055.813408741393
50,21,CHL,38072.38944075218,43396.03339634443
51,22,CHL,36773.3020196242,56974.71401604508
52,23,CHL,35981.01537193361,69795.05247972545
53,24,CHL,35105.990821653184,96621.10131954151
54,25,CHL,34499.31812460839,131041.21626400773
55,26,CHL,34006.02484626743,129862.32630349902
56,27,CHL,33683.39681828428,123943.73881864347
57,28,CHL,33376.83504701272,123089.6306294502
58,29,CHL,31973.57747396442,124023.60748006325
59,30,CHL,32993.10102544164,132832.94273044146
60,1,USA,0.0,0.0
61,2,USA,0.0,0.0
62,3,USA,0.0,0.0
63,4,USA,0.0,0.0
64,5,USA,0.0,0.0
65,6,USA,0.0,0.0
66,7,USA,0.0,0.0
67,8,USA,0.0,0.0
68,9,USA,0.0,0.0
69,10,USA,0.0,0.0
70,11,USA,0.0,0.0
71,12,USA,0.0,0.0
72,13,USA,0.0,0.0
73,14,USA,0.0,0.0
74,15,USA,0.0,0.0
75,16,USA,0.0,0.0
76,17,USA,0.0,0.0
77,18,USA,0.0,0.0
78,19,USA,0.0,0.0
79,20,USA,0.0,0.0
80,21,USA,0.0,0.0
81,22,USA,0.0,0.0
82,23,USA,0.0,0.0
83,24,USA,0.0,0.0
84,25,USA,0.0,0.0
85,26,USA,0.0,0.0
86,27,USA,0.0,0.0
87,28,USA,0.0,0.0
88,29,USA,0.0,0.0
89,30,USA,0.0,0.0
