,year,location,fossil_gen,curtailment
0,1,MEX,353009.29629922734,1.367880031466484e-08
1,2,MEX,357313.1734778627,6.302143447101116e-07
2,3,MEX,371144.23783883837,6.622285582125187e-07
3,4,MEX,369636.0842345823,6.952323019504547e-07
4,5,MEX,377410.92379852093,7.298076525330544e-07
5,6,MEX,387153.30639664154,7.664784789085388e-07
6,7,MEX,389036.41389633174,8.046627044677734e-07
7,8,MEX,389446.8111949989,8.448841981589794e-07
8,9,MEX,384233.7142966347,8.870265446603298e-07
9,10,MEX,386434.8712551663,9.316136129200459e-07
10,11,MEX,404572.1633232139,44019.8947129522
11,12,MEX,405217.47034247575,69580.96690762672
12,13,MEX,393243.2580893018,65557.3856507059
13,14,MEX,387223.2540495741,49888.661222621566
14,15,MEX,367204.69101012114,36399.96734541614
15,16,MEX,355004.3156110739,17525.595945160603
16,17,MEX,327066.2539904524,7781.820276252809
17,18,MEX,298353.05245734047,3894.8232522089966
18,19,MEX,267754.88215820264,12552.068236309802
19,20,MEX,241776.52918456844,32009.71796566504
20,21,MEX,213704.67376739267,79041.24159599177
21,22,MEX,183563.1946360376,177207.7889024677
22,23,MEX,161053.0386631529,244107.41346317588
23,24,MEX,139824.9517203399,351388.8484930791
24,25,MEX,122699.09697316735,499658.7791451835
25,26,MEX,106453.29681157783,547904.0542731491
26,27,MEX,95565.81306901644,566447.0174878099
27,28,MEX,84663.87744847468,612541.5899233645
28,29,MEX,76984.4125645345,637563.5074739236
29,30,MEX,70499.35216569378,684836.0583778094
30,1,USA,1273305.9483558494,4.12575900554657e-07
31,2,USA,1271178.1621258769,4.3190084397792816e-07
32,3,USA,1234649.7752777794,4.523899406194687e-07
33,4,USA,1219770.7038252072,4.735775291919708e-07
34,5,USA,1235068.2711476805,4.966277629137039e-07
35,6,USA,1219716.5193814603,5.213078111410141e-07
36,7,USA,1178999.7544285993,5.459878593683243e-07
37,8,USA,1163813.291467387,5.729962140321732e-07
38,9,USA,1073092.9487158044,191.7378548574634
39,10,USA,1009386.3799084246,7144.467686986551
40,11,USA,968368.7328693174,0.0
41,12,USA,940103.3063507105,0.0
42,13,USA,928524.9038060326,0.0
43,14,USA,907844.5714526025,0.0
44,15,USA,899039.472844036,0.0
45,16,USA,915824.5414608048,6344.824649722315
46,17,USA,925986.5820156387,24770.553163549397
47,18,USA,899987.2415985035,64643.042907698546
48,19,USA,884315.4764048643,109181.70660079503
49,20,USA,843612.3262007196,182837.60913577536
50,21,USA,830320.1459154837,267616.16059929645
51,22,USA,807495.3636608039,372690.9670658109
52,23,USA,775199.0501288624,509854.82966629206
53,24,USA,745458.3952708781,647648.3554094217
54,25,USA,718032.5907380441,676791.9611689979
55,26,USA,703809.108339051,719438.881947583
56,27,USA,690482.5914570317,761334.2507665898
57,28,USA,679758.4529758145,716857.6944285303
58,29,USA,668771.0429751762,659594.7289029835
59,30,USA,664217.9996862268,574711.3137900056
