,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-CHL_annual_forward_GWh,HVDC_CHL-MEX_annual_reverse_GWh,HVDC_MEX-CHL_annual_total_GWh
0,1,MEX_2042_low-CHL_2040_low,353737.39192546264,353737.39192546264,143.60606152519625,78547.58015382061,78547.58015382061,28.395185868346612,374452.1939849834,374452.1939849834,93298.49082726167,93298.49082726167,0.6660605280259698,8.19906052802597,14352.356269047812,14352.356269047812,0.04305297486422407,0.9090000000021212,8.12600000000212,6362.445790727174,6362.445790727174,0.11510441543269467,8.790727926739674,0.5203842823679167,5.217384282367916,9696.579864730196,9696.579864730196,0.031178469607918525,0.177248017107632,4.874248017107632,5054.330808886226,5054.330808886226,0.01896164123258618,2.8244138871710813,0.0,0.3431093090350864,0.026010755342786383,0.02601075534281027,0.0,0.0,0.0
1,2,MEX_2042_low-CHL_2040_low,356947.69801267097,339950.18858349614,144.90934306680808,78229.56530782554,74504.3479122148,28.280222547474846,379910.9161654542,361819.9201575754,94404.13441219501,89908.69944018572,0.8196183396522329,9.018678867678203,15787.088257563386,15035.322150060367,0.08753632395796582,1.039222533719498,9.165222533721618,7176.129895488523,6834.409424274783,0.2339916223810538,8.448102136488467,0.6483846166243119,5.865768898992227,10901.611520038263,10382.487161941202,0.06381525762072625,0.2108372340267626,5.0850852511343945,5272.957584516359,5021.864366206056,0.0393751684739586,2.6790273422274185,0.0,0.32677077050960607,0.02629591773978162,0.026295917739806784,0.0,0.0,0.0
2,3,MEX_2042_low-CHL_2040_low,369720.6049408759,335347.4874747173,150.09473454663748,77171.84021739439,69997.13398403118,27.897851754108725,395379.57904738747,358620.9333763151,95107.90331860584,86265.67194431368,1.0085783414990057,10.027257209177208,17552.592443434332,15920.71876955495,0.13330595355876068,1.188100632109835,10.353323165831455,8106.381663360239,7352.727132299536,0.35721908240860334,8.3337204112342,0.8078695404910274,6.6736384394832555,12403.04808205797,11249.930233159155,0.09785339613292089,0.2507917435548347,5.3358769946892295,5533.015019348261,5018.60772730001,0.06146246039025832,2.5169569437977932,0.0,0.31121025762819626,0.02654997557552119,0.02654997557554705,0.0,0.0,0.0
3,4,MEX_2042_low-CHL_2040_low,367305.0934025283,317291.94981321954,149.11411415843762,75058.33826760291,64838.21467884929,27.13381445875323,396200.1210200833,342252.56107986893,95174.48972858835,82215.30264860239,1.2411023786662696,11.268359587843479,19725.12714348852,17039.306462359156,0.18009559557423488,1.3583068748206988,11.711630040652153,9169.900474363989,7921.304804547231,0.48537565443759867,7.885022244808319,1.0065834039236639,7.680221843406919,14273.797070136723,12330.242582992525,0.1331407680815872,0.29831779441430606,5.634194789103535,5842.3543910534245,5046.845386937414,0.08547059194506645,2.3314525234220604,0.0,0.2963907215506631,0.026849966920224653,0.026849966920252093,0.0,0.0,0.0
4,5,MEX_2042_low-CHL_2040_low,374510.7695871965,308110.9369755988,152.03938810777504,74749.31424813697,61496.44582093836,27.02210134864425,406474.23776424583,334407.3613477888,97150.27764382835,79925.77384429601,1.527233979704222,12.4715935675477,21831.37366925932,17960.72514580597,0.22748049666048537,1.5528967128893854,12.940526753541537,10132.094508102542,8335.699226641196,0.6190845740820573,7.6568648947806075,1.254175455654072,8.791397299060991,16338.931813209092,13442.07963818293,0.1693976736205106,0.35485022434463026,5.846045013448165,6062.031582697421,4987.248385351717,0.11167500027765037,2.2112891988293004,0.0,0.28227687766729814,0.027219808791487502,0.027219808791516028,0.0,0.0,0.0
5,6,MEX_2042_low-CHL_2040_low,384318.4343038273,301123.54953323805,156.02098613745616,76243.33697861689,59738.649541618586,27.562195047780964,420723.56842009997,329647.9247071313,101925.42668695917,79861.23883769507,1.8793321718308715,14.256925739378572,24956.57603861892,19554.130351717682,0.2748321635926949,1.7753633185586069,14.621890072100145,11448.55807798237,8970.244822433035,0.759006628580317,7.483221329450498,1.562668396313286,10.333065695374277,19204.143559313736,15046.948983339036,0.20617555142770155,0.42209577864655673,6.247140792094722,6477.946149254598,5075.64031291457,0.14038302869518654,2.148082360217522,0.0,0.268835121587903,0.027546480488720597,0.02754648048874983,0.0,0.0,0.0
6,7,MEX_2042_low-CHL_2040_low,387360.9208540654,289054.68319664564,157.2561383172833,71182.82971349044,53117.723508369774,25.73280648991594,429195.7010480417,320272.4402922998,101004.15841602876,75370.85813436566,2.312605310656096,16.48753105003467,28861.22365095632,21536.689454116782,0.32831400770870117,2.029700292828122,16.569590364928267,12973.556543364986,9681.067641794816,0.9039330818364233,7.183297932119842,1.9470421828357298,12.280107878210007,22822.748017810074,17030.685964447945,0.2483079150157763,0.5020846377659369,6.74922542986066,6998.58068496596,5222.448661725313,0.17153863971754252,1.9100071019139606,0.0,0.2560334491313362,0.02780644123426411,0.027806441234294675,0.0,0.0,0.0
7,8,MEX_2042_low-CHL_2040_low,390728.38399014587,277683.36765370966,158.62322059171154,68022.54025605427,48342.349388002374,24.590352370184366,436285.8940402417,310060.23949352815,102635.89407014583,72941.41371686547,2.84576798239163,18.119299032426298,31717.613764391495,22541.115938631192,0.38879741031155457,2.320473356434604,17.67606372136287,13839.89628606709,9835.755901445087,1.054361816770498,6.900709369562338,2.4259614328172594,14.688069311027267,27297.97719029222,19400.16273945859,0.29663011231847936,0.5972317095633356,7.328457139423994,7599.21254958475,5400.618482680401,0.20543828685114549,1.7382941992937875,0.0,0.24384138012508208,0.02825672585367983,0.02827160792772014,0.0,0.0,0.0
8,9,MEX_2042_low-CHL_2040_low,391336.2439685668,264871.7737063874,158.8699922914311,64214.81494380077,43463.11437935231,23.213848246628814,444323.0794083416,300735.3496013636,102670.88225200833,69491.69444237177,3.5018493524550576,21.314148384881356,37310.15890729356,25252.984152001507,0.4572643977705281,2.652902311217712,20.02196603258058,15676.676532862604,10610.591743232813,1.2108057413752094,6.582328448377429,2.4103645631756274,16.999433874202893,31593.67976276361,21383.84605476756,0.337999577417488,0.7104095367168349,7.93986667614083,8233.21107559913,5572.561331856035,0.2424067152883608,1.5628466668527503,0.0,0.23222988583341148,0.028629238769686354,0.028700986607720448,0.0,0.0,0.0
9,10,MEX_2042_low-CHL_2040_low,403825.65435848566,260309.61739696618,163.9402932486057,67256.52386431624,43354.15495675331,24.313435146521908,465597.93798560835,300128.5821981441,106561.09726338251,68690.23341792828,4.309187875880149,25.176336260761506,44070.872062557304,28408.47707701826,0.5348202986606558,3.0329547431986215,22.607920775779203,17701.411564965823,11410.4877244178,1.3737931463794568,6.468954301932007,0.3847081310191864,16.95314200522208,31507.64569274561,20310.10934257509,0.33012412173556904,0.8450350203729353,8.353901696513764,8662.542933987115,5583.952412367571,0.28279959305611885,1.5589287039349347,0.0,0.22117131984134428,0.02915881971287947,0.029202933878384064,0.0,0.0,0.0
