,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh,HVDC_MEX-USA_annual_forward_GWh,HVDC_USA-MEX_annual_reverse_GWh,HVDC_MEX-USA_annual_total_GWh
0,1,MEX_2042_low-WECC_2040_low,353443.5617800565,353443.5617800565,143.48677588872602,1265614.5999413345,1265614.5999413345,475.9356359225391,374452.1939849834,374452.1939849834,1441501.1822344584,1441501.1822344584,0.8339166698265907,8.36691666982659,14646.18641468894,14646.18641468894,0.05390289908232154,0.9090000000025775,8.126000000002577,6362.445790727532,6362.445790727532,0.11510441543275246,8.783425953796186,8.853293442321386,57.259693442321385,101034.34998449536,101034.34998449536,0.6840494307321907,1.5566000000029196,49.963000000002914,74852.23230895061,74852.23230895061,0.1580603481963716,48.580616418748164,0.0,0.057118748208290236,0.032177190768971124,0.0321771907689855,0.0,0.0,0.0
1,2,MEX_2042_low-WECC_2040_low,356292.2962593247,339325.9964374521,144.64327092780553,1255938.9342533648,1196132.3183365378,472.29709216491216,379910.9161654542,361819.9201575754,1452222.6914922919,1383069.2299926588,1.026173099248707,9.393089769075297,16442.490011154325,15659.514296337451,0.10959664578869191,1.039222533720038,9.165222533722615,7176.129895489303,6834.409424275526,0.2339916223811735,8.432590337467122,10.17708512784434,67.43677857016573,118991.74931399728,113325.47553714026,1.3421455502197834,1.6285220274387457,51.59152202744166,77292.0079252683,73611.43611930315,0.30681705791413055,45.91353903934801,0.0,0.05439880781741927,0.032319003792335266,0.03231900379235031,0.0,0.0,0.0
2,3,MEX_2042_low-WECC_2040_low,368620.27257162286,334349.45357970323,149.6480348153565,1212381.0187940171,1099665.3231691765,455.9170944985094,395379.57904738747,358620.9333763151,1431859.7659386252,1298739.0167243765,1.2627535432775678,10.655843312352866,18652.924812943205,16918.752664801093,0.16690083285561458,1.1881006321104746,10.353323165833089,8106.381663361518,7352.727132300696,0.35721908240878963,8.308918270909203,11.698817211262966,79.13559578142869,139634.23482988658,126652.36719264089,1.9706335191469448,1.7037671809380845,53.29528920837975,79844.51231507551,72421.32636288028,0.4467239405254922,42.210653429848875,0.0,0.05180838839754216,0.03228801170247606,0.03228801170249187,0.0,0.0,0.0
3,4,MEX_2042_low-WECC_2040_low,365657.2532958749,315868.4835727242,148.44514380601962,1191527.1277493255,1029285.9326200845,448.07496791726163,396200.1210200833,342252.56107986893,1430880.0834424584,1236048.0150674514,1.553876740900261,12.209720053253127,21372.967250409747,18462.77270308584,0.22548208907802772,1.3583068748214515,11.71163004065454,9169.900474365859,7921.304804548846,0.4853756544378565,7.849647685265762,13.448086797278576,90.58368257870725,159834.30819029035,138070.88495004026,2.565045913206816,1.7824890040984631,53.07777821247821,79518.64750321527,68691.19749764842,0.578213142739204,39.509140523621944,0.0,0.049341322283373484,0.0324793940427617,0.0324793940427784,0.0,0.0,0.0
4,5,MEX_2042_low-WECC_2040_low,372189.19584254106,306200.9725104589,151.09690345780461,1202658.1952293618,989429.8735439341,452.26081697419664,406474.23776424583,334407.3613477888,1455002.1798421668,1197033.8941837335,1.9121173238949964,13.797837377148124,24152.94741419511,19870.6896111765,0.28480861760093223,1.552896712890266,12.940526753544809,10132.094508105105,8335.699226643304,0.6190845740823918,7.609400367857409,15.458916507647011,100.80759908635429,177874.3411794015,146337.66069026914,3.119998324894706,1.8648481349326962,49.70762634741091,74469.64343379499,61266.35994985215,0.7016961783810299,37.979265695983905,0.0,0.046991735507974745,0.03288486927747197,0.03288486927748939,0.0,0.0,0.0
5,6,MEX_2042_low-WECC_2040_low,381167.80010218074,298654.9451952775,154.7419294718821,1185992.7180276616,929256.3278157215,445.99374760702017,420723.56842009997,329647.9247071313,1462507.7210146668,1145913.0680771442,2.352948959272715,16.05678633642084,28107.210240558536,22022.73468990784,0.34409353651945884,1.775363318559632,14.62189007210444,11448.558077985736,8970.24482243567,0.7590066285807334,7.421874043047842,17.770416208107882,115.48001529446216,203763.72243816458,159654.2083073182,3.6290716666583522,1.9510126336632623,48.56063898107417,72751.28054925113,57002.53195442609,0.8175649111656088,35.66950414320647,0.0,0.0447540338171188,0.03299481973368119,0.03299481973369933,0.0,0.0,0.0
6,7,MEX_2042_low-WECC_2040_low,383190.08934806054,285942.3445100877,155.56291419245335,1148247.206171184,856839.7443899293,431.79951012787984,429195.7010480417,320272.4402922998,1449077.4755909585,1081323.9232053098,2.8954127112162746,18.870199047637115,33032.05515726822,24649.02814090386,0.41105351908078946,2.029700292829313,16.569590364933752,12973.556543369283,9681.067641798021,0.9039330818369262,7.105953203420185,20.427543680255518,131.37535897471767,231810.9511249981,172980.9008384543,4.159137470940926,2.0411583256622814,46.069597306736455,69019.3182952073,51503.277977247744,0.9246518523495637,32.88979358840743,0.0,0.04262288934963695,0.03313161107915344,0.03313161107917262,0.0,0.0,0.0
7,8,MEX_2042_low-WECC_2040_low,385302.1524333432,273827.0461933271,156.4203442190595,1142264.317538467,811785.924548413,429.5496388746583,436285.8940402417,310060.23949352815,1458769.6969363752,1036720.3885722571,3.5629394914134034,21.21913853905052,37143.845321515,26397.437399241764,0.4867795463051365,2.3204733564359716,17.676063721369726,13839.896286072457,9835.7559014489,1.0543618167710909,6.804875924950371,23.48197903312802,145.9817380078457,257583.8102257161,183060.00487119667,4.711862671216771,2.1354691602369122,39.329466466973365,58921.569172643794,41874.45915296845,1.0233968303875043,31.16040271379084,0.0,0.04059322795203519,0.03362260474178325,0.03362260474180349,0.0,0.0,0.0
8,9,MEX_2042_low-WECC_2040_low,384365.18448405986,260153.48625222966,156.03996521462486,1069881.2587904069,724137.7486461475,402.32991724939137,444323.0794083416,300735.3496013636,1436060.3356950835,971982.1614465624,4.384362122296733,25.29650066134725,44281.21839213593,29971.271606386246,0.572501128312209,2.6529023112192314,20.021966032588956,15676.676532869164,10610.591743237253,1.2108057413758924,6.465074286854161,26.993129861483464,172.71766786932918,304759.1814579608,206273.00995039105,5.288933930773155,2.2341375859922157,41.30640405296558,61883.32470067407,41885.07001061833,1.1142186156712421,27.79602748178237,0.0,0.03866021709717637,0.03337406194688713,0.03338228713996717,0.0,0.0,0.0
9,10,MEX_2042_low-WECC_2040_low,394953.6125339689,254590.62013182545,160.33852817319035,1033839.9794629115,666422.468704217,388.7765581170071,465597.93798560835,300128.5821981441,1448915.2188255417,933983.6688986048,5.395160727751979,30.244661389099228,52942.91388742528,34127.47434238537,0.6696021512288255,3.032954743200255,22.60792077578921,17701.41156497366,11410.487724422852,1.373793146380226,6.326831500895996,31.029286700706585,202.15395457003575,356699.31445498724,229931.55850646054,5.892051533675505,2.3373649435375197,42.050768996503095,62998.4974820584,40609.39318525929,1.197515923834904,25.58062646121134,0.0,0.03681925437826321,0.033204676681647914,0.03328484903630115,0.0,0.0,0.0
