,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,EL_Transport_MY_annual_OPEX_BUSD_target_loc1,EL_Transport_MY_annual_CAPEX_BUSD_target_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,CHL-WECC,64351.215087881996,64351.215087881996,23.263157307914604,1272789.2114752145,1272789.2114752145,5453.723580681684,93476.79041948917,93476.79041948917,1441031.1121847085,1441031.1121847085,0.4789777777778212,5.17597777777782,9455.561235410933,9455.561235410933,0.028697627106184995,0.20875555555580713,4.905755555555807,19670.01409620181,19670.01409620181,0.022332255188811295,4.066996793554143,3.911664638300688e-14,48.40640000000004,83768.38164136153,83768.38164136153,3.0223464143341704e-15,0.0,48.4064,84473.51906817862,84473.51906817862,0.0,10.080490554883696,0.0,1.567419954699811e-12,0.0092528146688836,0.009252814668883912
1,2,CHL-WECC,63078.16370316287,60074.44162205987,22.802945413184485,1278021.6615653033,1217163.4872050507,5476.143896774701,94258.17065420083,89769.68633733412,1452621.5198656667,1383449.0665387302,0.5747733333333431,5.750751111111164,10505.566603120991,10005.301526781896,0.057578729832687414,0.2505066666666983,5.156262222222505,20674.440347922828,19689.94318849793,0.046596010585375276,3.7967047105141836,3.674009599999995,52.08040960000003,90126.33923223433,85834.60879260412,0.24933739063276406,4.768209400906558e-16,48.4064,84473.51906817862,80450.97054112249,4.5758788090466553e-17,9.639934818663994,0.0,1.4927809092379153e-12,0.009360559410005088,0.009360559410005421
2,3,CHL-WECC,61642.76420626472,55911.80426872083,22.28404418885731,1249155.930139173,1133021.2518269143,5352.458278816139,95288.08910061957,86429.10576019915,1431385.3375485833,1298308.6961891912,0.68972800000001,6.440479111111173,11765.573044373054,10671.72158219778,0.0864917708979108,0.30060800000001586,5.456870222222522,21879.75184998797,19845.579909286138,0.0730992271101209,3.5336260297831563,4.40881152000001,56.48922112000004,97755.88834128171,88667.47241839611,0.49840163790111,3.0625968008545956e-14,48.406400000000026,84473.51906817868,76619.97194392623,2.821095088825185e-15,8.973528314469164,0.0,1.4216961040361097e-12,0.00950732114168395,0.0095073211416843
3,4,CHL-WECC,58469.561460430254,50508.205559166614,21.136921876629916,1244800.4652804926,1075305.4445787647,5333.795721661769,95073.26788676542,82127.86341584314,1430742.10386425,1235928.8231199654,0.8276736000000094,7.268152711111183,13277.58077387553,11469.673490012336,0.11521999573119907,0.36072960000001353,5.817599822222535,23326.125652466104,20149.984366669778,0.10218834736114508,3.192118591339329,5.290573824000013,59.77979494400006,103450.3015574661,89364.26006475852,0.7454315345785377,0.8641375682195667,47.270537568219595,82491.3370263447,71259.11847648823,0.07405778371776292,8.516419121063812,0.0,1.3539962895581996e-12,0.009669868909273483,0.009669868909273863
4,5,CHL-WECC,57821.60106483234,47569.97429246648,20.9026822497401,1267386.6415624549,1042682.1265316033,5430.5743249653015,97140.76079378958,79917.9443082169,1455487.092595625,1197432.8331060617,0.9932083200000092,8.118361031111192,14830.7553000744,12201.299088404026,0.14346675717351978,0.43287552000001306,6.107475342222548,24488.404428889582,20146.67092735194,0.13425348587418603,3.006422375283884,6.348688588800015,60.893483532800076,105377.56511633907,86694.38360875484,0.9880060868992376,5.367685939200002,47.4032235074196,82722.88591688583,68056.32296574849,0.5052110147335557,8.258042442130302,0.0,1.2895202757697139e-12,0.010205029340869719,0.010205029340870123
5,6,CHL-WECC,58381.9775137291,45743.80703217993,21.105260017145618,1260609.753503604,987720.7275754277,5401.536308397451,101838.64234628459,79793.24103593682,1462367.1304515419,1145802.9116921772,1.1918499840000103,9.289211015111203,16969.68328556994,13296.190890926497,0.17083793670920217,0.5194506240000143,6.6059259662225625,26486.981546992658,20753.243112835968,0.16973429419339653,2.8910086044337726,7.6184263065600195,65.4139098393601,113200.26616474528,88695.37059127206,1.2228996672879724,6.441223127040007,50.7464466344596,88557.1107832504,69386.81352552281,0.9740071825749779,7.822748162397387,0.0,1.2281145483521083e-12,0.010812073632983277,0.010812073632983726
6,7,CHL-WECC,52652.6906632896,39290.248447292295,19.034105632851187,1233290.481030531,920300.3454703747,5284.47705054848,101197.18405026916,75514.89683458139,1448604.9349352918,1080971.3060925147,1.4302199808000051,10.719430995911207,19582.432642150197,14612.712741172149,0.20086338830389677,0.623340748800014,7.229266715022577,28986.315477674845,21630.034901207546,0.20863091210398044,2.4831437018688742,9.142111567872014,70.0238214072321,121177.82350324656,90424.75762903836,1.4792316234094791,7.729467752448008,53.943714386907615,94136.63040157546,70246.20299314722,1.4805698091509536,7.288778736125368,0.0,1.169632903192484e-12,0.011362878759869098,0.011363056591339321
7,8,CHL-WECC,48270.875773271655,34305.21020109455,17.450066404665023,1239532.9190674466,880912.903662925,5311.22502359534,102477.20270712793,72828.63472791575,1459170.3233453748,1037005.1062814902,1.7162639769599966,12.417694972871205,22684.849174342475,16121.698785022894,0.23384945961673495,0.7480088985600138,7.959275613582589,31913.3437738088,22680.217602070265,0.2513847917009602,2.1680892847091755,10.970533881446416,72.11875528867853,124803.15446969778,88695.27182295982,1.7595482535192581,9.275361302937617,54.343475689845235,94834.24980823285,67396.93079560713,2.030210846065313,6.976830197010365,0.0,1.1139360982785561e-12,0.012088789255057542,0.012091822708883732
8,9,CHL-WECC,43905.00864008528,29716.638037819313,15.871792338416771,1194396.6683642834,808414.6790248709,5117.822508407378,102561.68769824333,69417.78727026445,1435921.8566113338,971888.433351863,2.0595167723518943,14.378211745223101,26266.35342144577,17778.101892591374,0.2701307820695545,0.8976106782720115,8.757886291854602,35115.43632022555,23767.509516340444,0.2984847751065548,1.878091523990183,13.164640657735687,85.0261959464142,147139.7755576206,99589.99181746412,2.066628004426821,1.775002850373803e-14,54.08627568984525,94385.41268949785,63883.762509574066,1.9335341391098233,6.402644257876971,0.0,1.0608915221700536e-12,0.012317984059701822,0.012339802863084825
9,10,CHL-WECC,44486.35065465896,28676.298281984604,16.0819492207112,1185795.41643482,764374.2982440807,5080.967348064903,106579.42127470627,68702.04523900844,1449122.0074615832,934116.9666971697,0.9134515014054587,14.860663246628558,27147.703749926848,17499.651892042173,0.2767844260830362,1.0771328139264145,9.404019105781016,37706.15683493965,24305.72489210873,0.35047205503844936,1.812342051421429,15.797568789282826,99.23076473569705,171721.10652607965,110692.9563694971,2.403498589019708,7.239282283740062e-14,52.49327568984532,91605.48450075414,59049.71208363734,1.8414610848665025,6.053844442093118,0.0,1.0103728782571938e-12,0.012680091450416263,0.012702593884741743
