,year,scenario,Fossil_Gen_GWh_loc0,Discounted_Fossil_Gen_GWh_loc0,Annual_Emissions_loc0,Fossil_Gen_GWh_loc1,Discounted_Fossil_Gen_GWh_loc1,Annual_Emissions_loc1,Total_Annual_Demand_loc0,Discounted_Annual_Demand_loc0,Total_Annual_Demand_loc1,Discounted_Annual_Demand_loc1,RE_PV_MY_new_annual_installed_GWp_loc0,RE_PV_MY_total_capacity_GWp_loc0,RE_PV_MY_annual_generation_GWh_loc0,RE_PV_MY_discounted_annual_gen_GWh_loc0,RE_PV_MY_annual_CAPEX_BUSD_loc0,RE_WIND_MY_new_annual_installed_GWp_loc0,RE_WIND_MY_total_capacity_GWp_loc0,RE_WIND_MY_annual_generation_GWh_loc0,RE_WIND_MY_discounted_annual_gen_GWh_loc0,RE_WIND_MY_annual_CAPEX_BUSD_loc0,PP_CO2_MY_annual_OPEX_BUSD_loc0,RE_PV_MY_new_annual_installed_GWp_loc1,RE_PV_MY_total_capacity_GWp_loc1,RE_PV_MY_annual_generation_GWh_loc1,RE_PV_MY_discounted_annual_gen_GWh_loc1,RE_PV_MY_annual_CAPEX_BUSD_loc1,RE_WIND_MY_new_annual_installed_GWp_loc1,RE_WIND_MY_total_capacity_GWp_loc1,RE_WIND_MY_annual_generation_GWh_loc1,RE_WIND_MY_discounted_annual_gen_GWh_loc1,RE_WIND_MY_annual_CAPEX_BUSD_loc1,PP_CO2_MY_annual_OPEX_BUSD_loc1,System_LCOE_USD_per_kWh,System_LCUE_USD_per_kWh
0,1,MEX-CHL,253379.97441186968,253379.97441186968,102.86416145203783,15269.487012106089,15269.487012106089,5.5199653633374055,374416.17568612914,374416.17568612914,93476.79041948917,93476.79041948917,59.99999999999623,67.53299999999622,118215.69954319058,118215.69954319058,3.878293913481333,0.0,7.217,5868.250173035043,5868.250173035043,0.0,23.43511383335381,0.0,4.696999999999999,8580.556762319155,8580.556762319155,0.0,14.017767666270506,18.714767666270507,75038.33805697558,75038.33805697558,1.4995929754642279,0.9650315791651082,0.06251262338592832,0.06364282957556286
1,2,MEX-CHL,260534.47712931316,248128.07345648872,105.76866061123299,14282.891844853755,13602.754137955957,5.163308250590173,379874.37278915837,361785.1169420556,94258.17065420083,89769.68633733412,1.6590355985474604e-12,67.53299999999788,118215.69954319349,112586.38051732712,3.693613250934697,0.0,7.217,5868.250173035043,5588.809688604802,0.0,22.949365513990642,0.0,4.696999999999999,8580.556762319155,8171.958821256338,0.0,0.4039781509862381,19.118745817256745,76658.12033810814,73007.73365534109,1.4690275449046422,0.8596940615188176,0.06283365484032351,0.0641598764113316
2,3,MEX-CHL,273408.0486279359,247989.1597532298,110.99491868538584,14784.449530520464,13409.931546957336,5.344622858631739,395341.54777322913,358586.43788955023,95288.08910061957,86429.10576019915,1.3743335225719437e-12,67.53299999999925,118215.69954319588,107225.12430221848,3.51772690565216,0.0,7.217,5868.250173035043,5322.675893909336,0.0,22.93651738557622,0.0,4.696999999999999,8580.556762319155,7782.817925006036,0.0,0.43252895782297146,19.551274775079715,78392.37933267995,71104.1989412063,1.440400526257512,0.8475076737677036,0.06347173204229964,0.0645868507322863
3,4,MEX-CHL,274524.730604736,237144.78402309556,111.44825583414355,14510.763534582788,12534.943124572108,5.245684550042283,396162.01080828754,342219.64004603174,95073.26788676542,82127.86341584314,2.6348337855554906e-13,67.53299999999952,118215.69954319636,102119.16600211326,3.350216100621116,0.0,7.217,5868.250173035043,5069.215137056511,0.0,21.933521074296124,0.0,4.696999999999999,8580.556762319155,7412.207547624796,0.0,0.10177908095351249,19.653053856033228,78800.47059087295,68070.8092783699,1.3809995905797208,0.7922084054729572,0.06350612633147282,0.06470391588726941
4,5,MEX-CHL,284717.9701380985,234238.17865033477,115.58638490102369,16680.868579450762,13723.391861992284,6.030184034077156,406435.13927540835,334375.19492426165,97140.76079378958,79917.9443082169,1.6813044168309097e-13,67.20899999999969,117648.54146267312,96789.7462169965,3.190682000591545,0.0,6.893,5604.800948140577,4611.083610751139,0.0,21.664689143369483,0.0,4.553999999999999,8319.32201311506,6844.32680878034,0.0,2.4174312764362946e-12,19.510053856035647,78227.10080433237,64357.62942751825,1.3152377053142261,0.8673183656779077,0.06428963080717744,0.06526279258460266
5,6,MEX-CHL,297945.82550986373,233448.3504770239,120.9564708905884,17402.51423843561,13635.325268154225,6.291061104737171,420683.0993580875,329616.2161381121,101838.64234628459,79793.24103593682,1.5154297473767717e-13,67.11499999999984,117483.99559980545,92051.78469371285,3.0387447624681423,0.0,6.799,5528.368148325519,4331.621102083826,0.0,21.59163793561995,0.0,4.5329999999999995,8280.958868127042,6488.347956626569,0.0,0.8730829480404301,20.362136804076076,81643.5946367874,63969.89272246686,1.3229880955334476,0.8617525569473448,0.06478251489120618,0.06549707848875896
6,7,MEX-CHL,306785.174896138,228927.82096735874,124.54496388223531,16794.15147684114,12532.054405466613,6.071136141332491,429154.4170030792,320241.63350231334,101197.18405026916,75514.89683458139,5.140458318257472e-14,67.03299999999989,117340.45559177178,87561.25461093654,2.894042630922042,0.0,6.717,5461.692727210251,4075.5992047425807,0.0,21.173534161271,0.0,4.5329999999999995,8280.958868127042,6179.379006311017,0.0,6.6567945790949566e-12,20.362136804082734,81643.5946368141,60923.70735475026,1.259988662413309,0.7920258384254886,0.06526637514103717,0.06599914162072594
7,8,MEX-CHL,317764.241003233,225829.1134639661,129.0021133916005,15633.922912675946,11110.737130732323,5.651710034701088,436243.92799642915,310030.41500969115,102477.20270712793,72828.63472791575,3.592772231553712e-14,65.81899999999993,115215.36327771145,81881.40762562912,2.756231077068612,0.0,5.503,4474.571248747658,3179.9942468219833,0.0,20.88693470428222,0.0,4.515,8248.076172423032,5861.753745232161,0.0,0.6419881578238866,20.98612496190662,84145.5244050755,59800.65320869564,1.2452099367640768,0.7021985866622822,0.06601231165952778,0.06684071937783823
8,9,MEX-CHL,326122.18909617804,220732.33441125596,132.39517286299736,15897.124390427975,10759.79953050795,5.746858158512898,444280.3402784083,300706.42207592586,102561.68769824333,69417.78727026445,2.747112263484004e-14,65.51199999999996,114677.96349153643,77618.55964836058,2.624981978160584,1.773985182670207e-15,5.1960000000000015,4224.944977011237,2859.6090628465913,1.3818711994692947e-16,20.415533609697082,0.0,4.4159999999999995,8067.221346050966,5460.212949205341,0.0,0.4650984417059067,21.352223403612523,85613.42500211958,57946.535959525456,1.2165217990161121,0.6800193303281039,0.06643202245170521,0.0673748327926244
9,10,MEX-CHL,347796.1744403656,224192.51507069997,141.19411734520642,18336.044522300213,11819.577787241216,6.628535102945063,465553.1524597542,300099.713048861,106579.42127470627,68702.04523900844,2.188781310823816e-14,65.06499999999998,113895.49539896235,73418.05185121422,2.4999828363434133,4.8202227785322505e-15,4.749000000000006,3861.4826204438764,2489.1461269581864,4.822737982019337e-16,20.73556571888905,0.0,3.985,7279.863465582677,4692.664898762786,0.0,0.5965069270596287,21.51773033067215,86277.03808911797,55614.948017107934,1.1952536481031135,0.7469973161536414,0.06764099871798962,0.06826919599400771
